week_start,geo,orders,net_revenue,average_order_value
2024-08-05,FL,975,282617.39,289.86
2024-08-05,NY,1093,324280.77,296.69
2024-08-12,CA,1186,335575.4,282.95
2024-08-12,TX,952,269294.07,282.87
2024-08-12,FL,847,250914.78,296.24
2024-08-12,NY,881,255212.31,289.68
2024-08-19,CA,1179,344008.23,291.78
2024-08-19,TX,974,280294.7,287.78
2024-08-19,FL,796,227327.35,285.59
2024-08-19,NY,863,249632.94,289.26
2024-08-26,CA,1239,364354.7,294.07
2024-08-26,TX,1003,292975.34,292.1
2024-08-26,FL,851,253814.09,298.25
2024-08-26,NY,856,255529.84,298.52
2024-09-02,CA,1113,328375.82,295.04
2024-09-02,TX,954,276641.0,289.98
2024-09-02,FL,761,219964.76,289.05
2024-09-02,NY,867,261717.46,301.87
2024-09-09,CA,1085,312232.87,287.77
2024-09-09,TX,978,286361.92,292.8
2024-09-09,FL,809,234340.49,289.67
2024-09-09,NY,824,236123.35,286.56
2024-09-16,CA,1128,328912.85,291.59
2024-09-16,TX,911,262201.02,287.82
2024-09-16,FL,800,236630.32,295.79
2024-09-16,NY,836,250707.57,299.89
2024-09-23,CA,1138,325988.74,286.46
2024-09-23,TX,911,273761.73,300.51
2024-09-23,FL,780,232350.63,297.89
2024-09-23,NY,847,248893.05,293.85
2024-09-30,CA,1053,311993.22,296.29
2024-09-30,TX,892,265370.91,297.5
2024-09-30,FL,813,233157.13,286.79
2024-09-30,NY,807,230501.84,285.63
2024-10-07,CA,979,289040.3,295.24
2024-10-07,TX,817,243135.53,297.6
2024-10-07,FL,681,205074.59,301.14
2024-10-07,NY,789,234930.26,297.76
2024-10-14,CA,1046,307012.45,293.51
2024-10-14,TX,814,244754.26,300.68
2024-10-14,FL,699,200593.78,286.97
2024-10-14,NY,725,217869.3,300.51
2024-10-21,CA,965,278095.83,288.18
2024-10-21,TX,826,241870.84,292.82
2024-10-21,FL,674,194359.12,288.37
2024-10-21,NY,770,224012.88,290.93
2024-10-28,CA,1000,298248.8,298.25
2024-10-28,TX,877,253401.59,288.94
2024-10-28,FL,706,204657.29,289.88
2024-10-28,NY,744,222286.53,298.77
2024-11-04,CA,1473,410338.64,278.57
2024-11-04,TX,1284,367145.7,285.94
2024-11-04,FL,1095,314074.89,286.83
2024-11-04,NY,1160,336712.17,290.27
2024-11-11,CA,1334,386709.49,289.89
2024-11-11,TX,1028,297442.28,289.34
2024-11-11,FL,957,267275.06,279.28
2024-11-11,NY,948,271385.93,286.27
2024-11-18,CA,1475,417565.74,283.1
2024-11-18,TX,1249,353775.52,283.25
2024-11-18,FL,1066,295650.71,277.35
2024-11-18,NY,1154,325272.57,281.87
2024-11-25,CA,1555,443360.12,285.12
2024-11-25,TX,1252,358726.42,286.52
2024-11-25,FL,1043,299312.59,286.97
2024-11-25,NY,1080,307182.69,284.43
2024-12-02,CA,1346,369800.67,274.74
2024-12-02,TX,1158,323559.48,279.41
2024-12-02,FL,959,268775.84,280.27
2024-12-02,NY,1093,312409.53,285.83
2024-12-09,CA,1410,389195.32,276.03
2024-12-09,TX,1183,332308.3,280.9
2024-12-09,FL,957,268785.68,280.86
2024-12-09,NY,1036,284232.42,274.36
2024-12-16,CA,1396,401380.84,287.52
2024-12-16,TX,1093,309529.36,283.19
2024-12-16,FL,1012,291729.93,288.27
2024-12-16,NY,1031,281174.62,272.72
2024-12-23,CA,1383,399474.86,288.85
2024-12-23,TX,1182,334580.58,283.06
2024-12-23,FL,1032,298228.04,288.98
2024-12-23,NY,1044,301973.19,289.25
2024-12-30,CA,1410,402954.75,285.78
2024-12-30,TX,1156,323071.03,279.47
2024-12-30,FL,992,279109.82,281.36
2024-12-30,NY,1089,308702.65,283.47
2025-01-06,CA,1069,299973.83,280.61
2025-01-06,TX,858,235613.55,274.61
2025-01-06,FL,782,222917.54,285.06
2025-01-06,NY,791,227347.63,287.42
2025-01-13,CA,1094,302189.05,276.22
2025-01-13,TX,931,260045.05,279.32
2025-01-13,FL,721,208889.13,289.72
2025-01-13,NY,884,243233.22,275.15
2025-01-20,CA,1054,308380.2,292.58
2025-01-20,TX,901,249843.06,277.3
2025-01-20,FL,726,208341.94,286.97
2025-01-20,NY,855,243022.2,284.24
2025-01-27,CA,1098,319151.35,290.67
2025-01-27,TX,913,259358.46,284.07
2025-01-27,FL,706,207428.49,293.81
2025-01-27,NY,766,216550.93,282.7
2025-02-03,CA,1283,368814.53,287.46
2025-02-03,TX,1048,293795.28,280.34
2025-02-03,FL,1020,292957.8,287.21
2025-02-03,NY,1022,298112.0,291.69
2025-02-10,CA,1144,331257.57,289.56
2025-02-10,TX,905,259533.62,286.78
2025-02-10,FL,802,230572.59,287.5
2025-02-10,NY,821,230565.74,280.84
2025-02-17,CA,1095,313939.86,286.7
2025-02-17,TX,930,269178.83,289.44
2025-02-17,FL,841,237484.56,282.38
2025-02-17,NY,822,243150.2,295.8
2025-02-24,CA,1139,326361.49,286.53
2025-02-24,TX,1022,301779.49,295.28
2025-02-24,FL,811,233461.7,287.87
2025-02-24,NY,829,248754.31,300.07
2025-03-03,CA,1128,324522.56,287.7
2025-03-03,TX,922,266576.65,289.13
2025-03-03,FL,890,266168.45,299.07
2025-03-03,NY,865,256564.92,296.61
2025-03-10,CA,1167,348049.39,298.24
2025-03-10,TX,976,284354.31,291.35
2025-03-10,FL,814,234125.51,287.62
2025-03-10,NY,854,249365.83,292.0
2025-03-17,CA,1216,366727.82,301.59
2025-03-17,TX,995,293609.88,295.09
2025-03-17,FL,859,258068.39,300.43
2025-03-17,NY,887,263139.09,296.66
2025-03-24,CA,1241,373833.46,301.24
2025-03-24,TX,1002,305009.38,304.4
2025-03-24,FL,851,244444.4,287.24
2025-03-24,NY,818,241501.13,295.23
2025-03-31,CA,1168,347625.33,297.62
2025-03-31,TX,969,287581.74,296.78
2025-03-31,FL,855,257252.42,300.88
2025-03-31,NY,888,268435.6,302.29
2025-04-07,CA,1166,335160.13,287.44
2025-04-07,TX,995,288917.02,290.37
2025-04-07,FL,862,254625.49,295.39
2025-04-07,NY,887,252533.69,284.71
2025-04-14,CA,1206,356215.55,295.37
2025-04-14,TX,998,289827.94,290.41
2025-04-14,FL,871,258442.7,296.72
2025-04-14,NY,859,243831.38,283.85
2025-04-21,CA,1214,361435.06,297.72
2025-04-21,TX,1005,290583.08,289.14
2025-04-21,FL,813,240204.49,295.45
2025-04-21,NY,919,272541.21,296.56
2025-04-28,CA,1156,336375.59,290.98
2025-04-28,TX,988,289806.43,293.33
2025-04-28,FL,805,231302.0,287.33
2025-04-28,NY,909,257999.06,283.83
2025-05-05,CA,1454,421531.52,289.91
2025-05-05,TX,1198,345729.14,288.59
2025-05-05,FL,960,269266.7,280.49
2025-05-05,NY,1061,303824.0,286.36
2025-05-12,CA,1200,342876.61,285.73
2025-05-12,TX,999,285595.53,285.88
2025-05-12,FL,857,237739.13,277.41
2025-05-12,NY,887,249684.85,281.49
2025-05-19,CA,1217,341814.49,280.87
2025-05-19,TX,993,273912.46,275.84
2025-05-19,FL,809,227803.7,281.59
2025-05-19,NY,905,250483.7,276.78
2025-05-26,CA,1200,333294.34,277.75
2025-05-26,TX,1026,290744.29,283.38
2025-05-26,FL,823,233604.27,283.84
2025-05-26,NY,859,235977.04,274.71
2025-06-02,CA,1269,353369.31,278.46
2025-06-02,TX,1011,288832.97,285.69
2025-06-02,FL,822,235005.41,285.89
2025-06-02,NY,892,247474.5,277.44
2025-06-09,CA,1198,340277.39,284.04
2025-06-09,TX,1063,295069.37,277.58
2025-06-09,FL,821,227094.78,276.61
2025-06-09,NY,872,237184.72,272.0
2025-06-16,CA,1150,321163.58,279.27
2025-06-16,TX,960,272196.82,283.54
2025-06-16,FL,826,224555.52,271.86
2025-06-16,NY,891,244747.71,274.69
2025-06-23,CA,1207,330690.27,273.98
2025-06-23,TX,994,279026.57,280.71
2025-06-23,FL,852,235062.06,275.89
2025-06-23,NY,936,263437.92,281.45
2025-06-30,CA,1157,326377.79,282.09
2025-06-30,TX,985,274280.22,278.46
2025-06-30,FL,847,239837.89,283.16
2025-06-30,NY,859,241635.51,281.3
2025-07-07,CA,1156,329142.6,284.73
2025-07-07,TX,958,271320.41,283.22
2025-07-07,FL,845,234961.24,278.06
2025-07-07,NY,900,252220.88,280.25
2025-07-14,CA,1224,341197.69,278.76
2025-07-14,TX,984,279347.6,283.89
2025-07-14,FL,850,244702.45,287.89
2025-07-14,NY,879,243040.62,276.5
2025-07-21,CA,1196,330957.25,276.72
2025-07-21,TX,962,277336.5,288.29
2025-07-21,FL,846,233119.15,275.55
2025-07-21,NY,892,256864.49,287.96
2025-07-28,CA,1161,337605.94,290.79
2025-07-28,TX,1027,298782.09,290.93
2025-07-28,FL,885,257968.35,291.49
2025-07-28,NY,807,237662.11,294.5
2025-08-04,CA,1519,426968.24,281.09
2025-08-04,TX,1275,373464.92,292.91
2025-08-04,FL,1041,293998.3,282.42
2025-08-04,NY,1102,312487.31,283.56
2025-08-11,CA,1284,373560.83,290.94
2025-08-11,TX,1089,317840.86,291.86
2025-08-11,FL,889,255868.03,287.82
2025-08-11,NY,955,268297.59,280.94
2025-08-18,CA,1265,360355.92,284.87
2025-08-18,TX,1050,302290.77,287.9
2025-08-18,FL,904,267539.09,295.95
2025-08-18,NY,869,246417.09,283.56
2025-08-25,CA,1249,368126.24,294.74
2025-08-25,TX,1023,301273.77,294.5
2025-08-25,FL,860,251285.33,292.19
2025-08-25,NY,923,271095.91,293.71
2025-09-01,CA,1310,387227.22,295.59
2025-09-01,TX,1034,309898.02,299.71
2025-09-01,FL,809,240002.56,296.67
2025-09-01,NY,919,265379.99,288.77
2025-09-08,CA,1228,371103.04,302.2
2025-09-08,TX,1001,293376.48,293.08
2025-09-08,FL,879,250480.41,284.96
2025-09-08,NY,915,261720.34,286.03
2025-09-15,CA,1231,372518.39,302.61
2025-09-15,TX,1043,305308.85,292.72
2025-09-15,FL,850,247278.43,290.92
2025-09-15,NY,946,281733.54,297.82
2025-09-22,CA,1152,335462.77,291.2
2025-09-22,TX,1028,296753.5,288.67
2025-09-22,FL,874,253598.18,290.16
2025-09-22,NY,918,265870.11,289.62
2025-09-29,CA,1159,336104.6,290.0
2025-09-29,TX,1007,289357.43,287.35
2025-09-29,FL,869,255105.65,293.56
2025-09-29,NY,892,259090.27,290.46
2025-10-06,CA,1049,307253.07,292.9
2025-10-06,TX,930,266501.58,286.56
2025-10-06,FL,775,234631.77,302.75
2025-10-06,NY,823,235973.07,286.72
2025-10-13,CA,1078,323332.05,299.94
2025-10-13,TX,888,266809.95,300.46
2025-10-13,FL,790,235341.43,297.9
2025-10-13,NY,796,229445.53,288.25
2025-10-20,CA,1089,317933.12,291.95
2025-10-20,TX,915,274121.37,299.59
2025-10-20,FL,751,217468.0,289.57
2025-10-20,NY,804,230775.66,287.03
2025-10-27,CA,1048,311648.92,297.37
2025-10-27,TX,903,269600.63,298.56
2025-10-27,FL,725,211700.8,292.0
2025-10-27,NY,777,230985.38,297.28
2025-11-03,CA,1674,488098.41,291.58
2025-11-03,TX,1313,389304.08,296.5
2025-11-03,FL,1128,318082.06,281.99
2025-11-03,NY,1197,335204.04,280.04
2025-11-10,CA,1343,394087.09,293.44
2025-11-10,TX,1196,336553.2,281.4
2025-11-10,FL,1001,285389.92,285.1
2025-11-10,NY,1051,308587.11,293.61
2025-11-17,CA,1448,403099.12,278.38
2025-11-17,TX,1155,329627.75,285.39
2025-11-17,FL,970,282123.9,290.85
2025-11-17,NY,1034,287551.81,278.1
2025-11-24,CA,1712,470329.99,274.73
2025-11-24,TX,1349,372812.64,276.36
2025-11-24,FL,1181,334947.91,283.61
2025-11-24,NY,1196,345146.29,288.58
2025-12-01,CA,1466,406926.02,277.58
2025-12-01,TX,1200,338352.38,281.96
2025-12-01,FL,1099,313025.93,284.83
2025-12-01,NY,1099,319444.23,290.67
2025-12-08,CA,1438,396574.65,275.78
2025-12-08,TX,1247,351295.41,281.71
2025-12-08,FL,1051,299586.99,285.05
2025-12-08,NY,1093,299068.83,273.62
2025-12-15,CA,1544,440780.87,285.48
2025-12-15,TX,1273,365270.82,286.94
2025-12-15,FL,1030,294307.22,285.74
2025-12-15,NY,1146,327560.21,285.83
2025-12-22,CA,1530,424414.66,277.4
2025-12-22,TX,1224,347604.95,283.99
2025-12-22,FL,1067,305176.91,286.01
2025-12-22,NY,1143,318119.74,278.32
2025-12-29,CA,1575,453952.92,288.22
2025-12-29,TX,1269,365771.86,288.24
2025-12-29,FL,1098,308796.44,281.24
2025-12-29,NY,1164,337441.17,289.9
2026-01-05,CA,1179,333416.84,282.8
2026-01-05,TX,874,253946.18,290.56
2026-01-05,FL,806,232649.09,288.65
2026-01-05,NY,814,235937.57,289.85
2026-01-12,CA,1134,320259.53,282.42
2026-01-12,TX,923,268520.38,290.92
2026-01-12,FL,862,245436.38,284.73
2026-01-12,NY,810,232522.1,287.06
2026-01-19,CA,1174,342728.14,291.93
2026-01-19,TX,937,272507.28,290.83
2026-01-19,FL,811,226415.44,279.18
2026-01-19,NY,866,248642.56,287.12
2026-01-26,CA,1164,330608.39,284.03
2026-01-26,TX,970,281008.35,289.7
2026-01-26,FL,785,219742.47,279.93
2026-01-26,NY,896,257098.68,286.94
2026-02-02,CA,1454,430844.5,296.32
2026-02-02,TX,1231,347968.79,282.67
2026-02-02,FL,1032,304537.3,295.09
2026-02-02,NY,1051,294801.53,280.5
2026-02-09,CA,1182,334686.27,283.15
2026-02-09,TX,992,294364.99,296.74
2026-02-09,FL,880,257764.72,292.91
2026-02-09,NY,891,263134.5,295.32
2026-02-16,CA,1177,348575.88,296.16
2026-02-16,TX,1049,306229.37,291.93
2026-02-16,FL,861,249063.82,289.27
2026-02-16,NY,849,253816.93,298.96
2026-02-23,CA,1193,342594.02,287.17
2026-02-23,TX,1007,285536.44,283.55
2026-02-23,FL,931,277938.7,298.54
2026-02-23,NY,887,253614.28,285.92
2026-03-02,CA,1246,370214.81,297.12
2026-03-02,TX,1038,299739.71,288.77
2026-03-02,FL,895,268172.09,299.63
2026-03-02,NY,856,243770.85,284.78
2026-03-09,CA,1278,383157.08,299.81
2026-03-09,TX,1005,295882.35,294.41
2026-03-09,FL,943,270541.98,286.89
2026-03-09,NY,966,282184.2,292.12
2026-03-16,CA,1259,371623.67,295.17
2026-03-16,TX,1029,293998.69,285.71
2026-03-16,FL,918,274880.72,299.43
2026-03-16,NY,941,270904.82,287.89
2026-03-23,CA,1262,360446.69,285.62
2026-03-23,TX,1065,304039.57,285.48
2026-03-23,FL,896,263691.43,294.3
2026-03-23,NY,863,246737.18,285.91
2026-03-30,CA,1257,376390.56,299.44
2026-03-30,TX,1034,308387.76,298.25
2026-03-30,FL,928,272806.06,293.97
2026-03-30,NY,960,285496.33,297.39
2026-04-06,CA,1348,398920.61,295.94
2026-04-06,TX,1052,314577.14,299.03
2026-04-06,FL,876,250598.69,286.07
2026-04-06,NY,958,290170.2,302.89
2026-04-13,CA,1315,394286.28,299.84
2026-04-13,TX,1073,321089.62,299.24
2026-04-13,FL,928,262746.76,283.13
2026-04-13,NY,944,269886.53,285.9
2026-04-20,CA,1338,395257.49,295.41
2026-04-20,TX,1085,314799.07,290.14
2026-04-20,FL,897,257820.22,287.42
2026-04-20,NY,910,271840.16,298.73
2026-04-27,CA,1318,379855.86,288.21
2026-04-27,TX,1067,317148.14,297.23
2026-04-27,FL,943,274961.13,291.58
2026-04-27,NY,948,283182.93,298.72
2026-05-04,CA,1489,424535.59,285.11
2026-05-04,TX,1271,368929.52,290.27
2026-05-04,FL,1155,321731.92,278.56
2026-05-04,NY,1153,326156.68,282.88
2026-05-11,CA,1256,356774.85,284.06
2026-05-11,TX,1112,321234.98,288.88
2026-05-11,FL,860,240164.86,279.26
2026-05-11,NY,914,269207.08,294.54
2026-05-18,CA,1301,367505.7,282.48
2026-05-18,TX,1105,323807.31,293.04
2026-05-18,FL,917,263218.02,287.04
2026-05-18,NY,1003,281089.53,280.25
2026-05-25,CA,1372,396732.95,289.16
2026-05-25,TX,1085,309085.39,284.87
2026-05-25,FL,874,248548.42,284.38
2026-05-25,NY,957,278962.93,291.5
2026-06-01,CA,1406,386562.32,274.94
2026-06-01,TX,1069,294970.95,275.93
2026-06-01,FL,967,270246.63,279.47
2026-06-01,NY,907,247960.95,273.39
2026-06-08,CA,1328,380456.05,286.49
2026-06-08,TX,1073,292675.29,272.76
2026-06-08,FL,944,269650.39,285.65
2026-06-08,NY,960,261655.81,272.56
2026-06-15,CA,1247,338590.52,271.52
2026-06-15,TX,1172,331108.28,282.52
2026-06-15,FL,891,244315.08,274.2
2026-06-15,NY,931,261419.01,280.79
2026-06-22,CA,1259,345523.13,274.44
2026-06-22,TX,1053,293458.78,278.69
2026-06-22,FL,982,282897.62,288.08
2026-06-22,NY,936,256948.4,274.52
2026-06-29,CA,1297,370693.58,285.81
2026-06-29,TX,1070,299315.59,279.73
2026-06-29,FL,895,259394.84,289.83
2026-06-29,NY,904,250446.62,277.04
2026-07-06,CA,1215,337159.18,277.5
2026-07-06,TX,1057,301118.25,284.88
2026-07-06,FL,972,278867.2,286.9
2026-07-06,NY,869,251152.44,289.01
2026-07-13,CA,1222,342729.63,280.47
2026-07-13,TX,1041,292857.48,281.32
2026-07-13,FL,905,263181.97,290.81
2026-07-13,NY,880,252019.12,286.39
2026-07-20,CA,1281,365589.55,285.39
2026-07-20,TX,1013,284077.56,280.43
2026-07-20,FL,880,256404.54,291.37
2026-07-20,NY,946,269675.83,285.07
2026-07-27,CA,1176,332622.39,282.84
2026-07-27,TX,1044,307721.33,294.75
2026-07-27,FL,939,267730.41,285.12
2026-07-27,NY,909,255449.74,281.02
