time,geo,kpi_bookings,kpi_revenue,revenue_per_kpi,population,paid_search_impressions,paid_search_spend,paid_social_upper_impressions,paid_social_upper_spend,paid_social_prospecting_impressions,paid_social_prospecting_spend,paid_social_retargeting_impressions,paid_social_retargeting_spend,organic_sessions,email_sends,availability_index,snowfall_index,holiday_flag,adr_price_index,promotional_package
2023-01-23,CO,307,80029.08,260.68,5800000,305051.0,2238.25,0,0.0,161260,1442.0,87318,972.06,3576,6955,0.7888,65.984,0,109.944,1
2023-01-23,UT,271,75234.57,277.62,3400000,281487.0,2065.86,0,0.0,141737,1267.66,71525,795.92,3252,6023,0.8282,63.08,0,109.065,1
2023-01-23,CA,280,76894.14,274.62,8200000,294703.0,2171.64,0,0.0,144497,1288.0,75029,835.95,3296,6242,0.7748,48.655,0,110.466,1
2023-01-23,PN,255,66014.1,258.88,6100000,257651.0,1900.01,0,0.0,124327,1111.38,64815,721.44,3102,5803,0.8077,55.608,0,109.955,1
2023-01-23,NE,226,58611.06,259.34,7400000,218955.0,1610.34,0,0.0,110545,991.6,58317,648.77,2810,5457,0.8201,58.361,0,108.84,1
2023-01-30,CO,266,78016.69,293.3,5800000,282879.0,2089.07,0,0.0,114715,1022.28,81680,908.39,3634,5585,0.8012,70.374,0,114.976,0
2023-01-30,UT,241,65547.81,271.98,3400000,267751.0,2000.44,0,0.0,105868,943.25,72309,805.2,3186,4680,0.8503,65.395,0,113.479,0
2023-01-30,CA,241,64841.16,269.05,8200000,288644.0,2118.31,0,0.0,108097,965.43,68493,763.61,3361,5015,0.8099,46.063,0,116.237,0
2023-01-30,PN,235,63499.72,270.21,6100000,241214.0,1772.54,0,0.0,92543,823.62,60011,668.23,2888,4924,0.834,52.058,0,116.29,0
2023-01-30,NE,214,52343.48,244.6,7400000,233387.0,1711.85,0,0.0,80179,715.44,49231,548.72,2802,4391,0.8439,56.67,0,116.279,0
2023-02-06,CO,277,80497.65,290.61,5800000,304784.0,2239.27,123575,758.31,118434,1055.39,82338,915.2,3560,5797,0.8166,76.173,0,115.129,0
2023-02-06,UT,248,63882.59,257.59,3400000,260505.0,1920.43,113430,695.27,106434,948.19,66027,735.4,3111,5252,0.8274,68.6,0,115.429,0
2023-02-06,CA,259,69140.73,266.95,8200000,289640.0,2123.99,126352,778.24,124828,1115.39,75574,841.55,3280,5676,0.8661,49.933,0,113.96,0
2023-02-06,PN,227,55807.29,245.85,6100000,253757.0,1889.72,106294,651.46,90876,813.73,54434,605.11,2755,4909,0.8584,59.001,0,113.258,0
2023-02-06,NE,201,58579.76,291.44,7400000,206496.0,1527.22,99371,612.19,91907,820.66,47387,527.77,2395,4076,0.862,65.241,0,113.667,0
2023-02-13,CO,327,81521.13,249.3,5800000,365220.0,2663.18,162561,999.34,129794,1163.68,88490,984.43,3918,6336,0.833,71.441,1,117.889,0
2023-02-13,UT,308,90667.39,294.37,3400000,332636.0,2423.66,117841,722.54,115808,1037.19,75500,840.11,3583,5095,0.8735,73.569,1,118.265,0
2023-02-13,CA,317,93908.59,296.24,8200000,359121.0,2635.1,115899,707.19,106724,952.89,77831,867.07,3274,6119,0.8256,51.559,1,118.189,0
2023-02-13,PN,262,74921.97,285.96,6100000,295013.0,2178.15,101734,626.1,101031,902.78,64524,718.34,3112,5190,0.8256,57.325,1,117.941,0
2023-02-13,NE,247,73105.97,295.98,7400000,276172.0,2035.49,88870,545.03,98170,878.96,56831,631.49,2910,4275,0.824,66.551,1,118.259,0
2023-02-20,CO,333,95085.94,285.54,5800000,370589.0,2714.84,140382,858.7,121400,1086.79,89577,995.21,3582,6362,0.8483,77.989,1,116.472,0
2023-02-20,UT,314,87533.27,278.77,3400000,351577.0,2617.92,111608,684.75,124305,1111.82,62589,696.31,3103,5580,0.8926,70.826,1,117.428,0
2023-02-20,CA,318,91546.94,287.88,8200000,349882.0,2541.86,118130,724.99,116240,1036.02,88446,985.26,3774,5363,0.9006,51.68,1,116.509,0
2023-02-20,PN,253,69038.49,272.88,6100000,292651.0,2160.67,104968,642.45,96511,862.81,53161,591.02,3048,5224,0.9183,62.282,1,118.11,0
2023-02-20,NE,250,65535.06,262.14,7400000,262360.0,1907.77,96329,589.76,93172,831.73,48740,541.58,2999,4535,0.8441,62.13,1,118.76,0
2023-02-27,CO,303,83820.09,276.63,5800000,307636.0,2248.97,155897,957.9,123368,1105.54,99951,1113.44,3590,5550,0.8853,81.479,0,112.554,0
2023-02-27,UT,259,60966.26,235.39,3400000,267091.0,1975.01,105885,650.1,110169,983.88,63585,708.08,3013,4836,0.9217,76.959,0,110.864,0
2023-02-27,CA,255,72659.88,284.94,8200000,282005.0,2082.75,115618,705.07,112255,1001.87,75346,838.29,3252,5458,0.9147,47.783,0,111.333,0
2023-02-27,PN,242,63323.36,261.67,6100000,245948.0,1809.6,91184,559.7,102769,916.33,58886,655.9,2660,4836,0.8732,63.739,0,110.575,0
2023-02-27,NE,205,57274.43,279.39,7400000,204712.0,1500.68,101851,623.54,99095,885.28,41623,463.31,2504,4244,0.9317,66.345,0,111.767,0
2023-03-06,CO,284,73571.51,259.05,5800000,288223.0,2132.73,145370,889.47,117005,1042.42,92865,1033.44,3507,5385,0.882,82.083,0,111.356,0
2023-03-06,UT,258,73509.47,284.92,3400000,259439.0,1928.39,100134,616.05,100933,903.1,64832,721.31,3177,5411,0.8825,79.862,0,111.005,0
2023-03-06,CA,268,74065.5,276.36,8200000,271993.0,2000.44,107988,662.65,113880,1016.07,59367,660.47,2955,5344,0.8215,53.904,0,109.408,0
2023-03-06,PN,233,53458.93,229.44,6100000,246600.0,1822.45,97355,598.15,99241,886.47,54921,610.78,2869,5044,0.8491,61.371,0,109.043,0
2023-03-06,NE,211,50034.24,237.13,7400000,219032.0,1624.69,104173,640.35,95468,854.74,46910,523.04,2486,4095,0.8833,66.975,0,108.874,0
2023-03-13,CO,294,68224.22,232.06,5800000,304026.0,2224.48,162139,992.79,117305,1051.3,72924,811.92,3131,5893,0.8416,79.119,0,109.881,0
2023-03-13,UT,270,69450.4,257.22,3400000,271094.0,2017.32,118994,732.73,115013,1028.13,70360,782.81,3116,5176,0.9071,78.252,0,110.296,0
2023-03-13,CA,268,62451.68,233.03,8200000,287561.0,2138.96,113535,698.28,121339,1082.95,76864,855.62,2931,5155,0.8636,48.961,0,108.429,0
2023-03-13,PN,234,64369.01,275.08,6100000,255787.0,1872.95,117986,724.76,108767,972.1,56388,625.95,2681,4775,0.8581,66.276,0,110.12,0
2023-03-13,NE,218,51464.44,236.08,7400000,229030.0,1687.29,102837,629.6,80720,722.04,48491,539.87,2559,4418,0.8375,69.057,0,110.046,0
2023-03-20,CO,306,83949.49,274.34,5800000,307831.0,2258.75,137237,841.73,123150,1104.08,76538,852.47,3107,5706,0.8875,79.723,0,105.903,0
2023-03-20,UT,249,68363.43,274.55,3400000,265150.0,1948.49,112758,688.99,99687,892.37,60870,676.5,2836,5207,0.8474,80.553,0,107.404,0
2023-03-20,CA,262,59696.99,227.85,8200000,294351.0,2197.49,115585,712.11,115130,1027.18,75485,839.4,2999,5324,0.8496,54.487,0,106.389,0
2023-03-20,PN,234,61989.78,264.91,6100000,242342.0,1768.65,101859,625.59,106009,946.19,61304,682.02,3001,4638,0.8699,64.124,0,107.879,0
2023-03-20,NE,210,52250.02,248.81,7400000,230355.0,1681.95,89995,553.65,80179,715.7,41669,463.58,2468,4331,0.8646,65.267,0,108.099,0
2023-03-27,CO,346,77276.09,223.34,5800000,340883.0,2519.37,179665,1107.84,148041,1325.66,85985,958.73,3367,7659,0.8861,81.751,0,100.869,1
2023-03-27,UT,296,72772.03,245.85,3400000,297398.0,2206.96,116219,711.35,133164,1186.69,71346,791.99,3205,6796,0.863,76.438,0,99.096,1
2023-03-27,CA,301,65696.8,218.26,8200000,299850.0,2208.25,157613,966.06,140460,1255.78,84347,936.69,3533,7190,0.8532,54.986,0,100.831,1
2023-03-27,PN,272,63966.79,235.17,6100000,286669.0,2104.1,114422,703.44,122848,1097.88,57343,638.11,3152,6052,0.9207,59.879,0,99.31,1
2023-03-27,NE,244,51310.6,210.29,7400000,257890.0,1901.72,108747,663.86,121594,1084.61,59541,663.3,2899,5759,0.8944,70.424,0,99.742,1
2023-04-03,CO,287,68715.44,239.43,5800000,303168.0,2245.67,116485,714.13,117711,1055.18,91080,1012.73,3488,5621,0.9067,27.167,0,103.58,0
2023-04-03,UT,256,56630.67,221.21,3400000,276513.0,2055.47,114497,705.12,105576,939.27,66616,742.31,2705,5339,0.878,32.165,0,103.373,0
2023-04-03,CA,280,62791.3,224.25,8200000,284516.0,2081.47,101194,620.16,119881,1072.62,81737,909.39,3303,5368,0.8711,23.959,0,105.263,0
2023-04-03,PN,234,60575.17,258.87,6100000,257338.0,1900.18,105530,647.36,95389,852.72,51027,567.77,2563,4705,0.9041,24.165,0,103.059,0
2023-04-03,NE,198,43679.93,220.61,7400000,222723.0,1650.44,84462,518.39,86918,776.83,40952,456.01,2512,4499,0.8688,27.834,0,104.741,0
2023-04-10,CO,291,66183.75,227.44,5800000,292431.0,2132.39,140792,864.23,122617,1097.87,81025,902.41,3121,5250,0.8888,28.894,0,101.302,0
2023-04-10,UT,254,60572.11,238.47,3400000,272596.0,2028.57,108796,664.53,103586,925.46,62796,698.75,2792,4940,0.8697,30.206,0,103.124,0
2023-04-10,CA,267,64101.44,240.08,8200000,287407.0,2121.45,127761,781.91,122145,1091.94,68382,762.18,2949,5008,0.889,22.766,0,101.008,0
2023-04-10,PN,230,57458.75,249.82,6100000,230357.0,1689.27,112238,687.25,108272,966.84,56024,622.82,2601,4954,0.8929,25.016,0,102.031,0
2023-04-10,NE,214,47877.79,223.73,7400000,225652.0,1654.65,98792,604.27,96306,861.27,49275,548.2,2414,4250,0.8977,28.375,0,102.286,0
2023-04-17,CO,285,70769.24,248.31,5800000,285534.0,2108.79,143437,882.44,118232,1054.12,72334,804.98,2985,5202,0.8993,27.51,0,101.176,0
2023-04-17,UT,239,52236.51,218.56,3400000,255745.0,1870.63,107326,660.18,113194,1011.46,56643,630.06,2978,4996,0.9314,29.923,0,101.433,0
2023-04-17,CA,269,57244.79,212.81,8200000,284170.0,2074.86,120363,739.02,114753,1023.44,62557,695.78,2862,5347,0.9339,20.698,0,99.752,0
2023-04-17,PN,210,50511.05,240.53,6100000,224621.0,1643.72,102342,625.07,102351,915.69,55919,621.95,2834,4536,0.8864,24.674,0,101.26,0
2023-04-17,NE,207,53480.01,258.36,7400000,219669.0,1624.17,96445,592.26,94770,847.31,46853,521.53,2468,3998,0.8882,30.306,0,100.763,0
2023-04-24,CO,261,65126.01,249.52,5800000,278030.0,2054.92,142248,876.53,102140,912.2,71035,790.26,3074,5810,0.8688,28.277,0,98.411,0
2023-04-24,UT,246,60224.47,244.81,3400000,259877.0,1903.81,111509,689.1,110894,992.84,58621,652.75,2677,4746,0.8673,26.158,0,97.846,0
2023-04-24,CA,256,53285.54,208.15,8200000,275167.0,2033.29,102491,629.39,99582,891.22,71894,799.03,3087,5236,0.9024,21.935,0,97.74,0
2023-04-24,PN,233,59558.46,255.62,6100000,248221.0,1815.67,101490,621.73,97173,867.14,49963,555.97,2467,4516,0.8851,24.065,0,100.113,0
2023-04-24,NE,202,47823.32,236.75,7400000,208697.0,1549.42,82606,506.88,89758,802.2,45604,507.87,2463,4279,0.9027,25.91,0,99.797,0
2023-05-01,CO,266,59352.69,223.13,5800000,261902.0,1929.87,137594,849.72,118250,1059.72,87709,976.97,3268,5278,0.8768,30.195,0,96.073,0
2023-05-01,UT,255,59888.18,234.86,3400000,272514.0,1997.69,110597,678.55,95096,848.5,57785,641.54,2806,4855,0.8955,29.781,0,97.468,0
2023-05-01,CA,259,65329.21,252.24,8200000,262526.0,1952.32,129027,794.03,114163,1022.29,68805,766.0,2790,5301,0.8821,26.538,0,97.332,0
2023-05-01,PN,218,47186.6,216.45,6100000,240054.0,1786.7,88330,541.95,93647,839.56,62194,692.01,2562,4416,0.8819,24.415,0,96.473,0
2023-05-01,NE,199,45393.5,228.11,7400000,221967.0,1630.07,93251,573.26,89898,804.98,44991,500.6,2478,4117,0.8642,25.327,0,98.423,0
2023-05-08,CO,266,59102.51,222.19,5800000,271441.0,1978.42,124216,765.89,112020,998.28,68635,763.75,3005,5657,0.9108,25.838,0,96.436,0
2023-05-08,UT,214,44198.06,206.53,3400000,228356.0,1687.11,120110,736.54,101443,909.32,62257,692.14,2674,4809,0.9128,26.844,0,95.206,0
2023-05-08,CA,255,55663.63,218.29,8200000,265972.0,1971.55,116110,708.08,98380,877.61,73100,814.57,3046,4959,0.8671,19.258,0,94.984,0
2023-05-08,PN,208,44730.55,215.05,6100000,225955.0,1667.05,98508,604.96,97505,872.19,48160,535.92,2380,4183,0.8617,23.57,0,95.937,0
2023-05-08,NE,197,39320.26,199.6,7400000,206497.0,1509.15,89034,548.73,76917,685.98,41469,461.53,2460,4031,0.8796,22.305,0,94.508,0
2023-05-15,CO,264,59857.41,226.73,5800000,283953.0,2090.22,115920,710.97,97059,867.45,76630,851.37,3124,5395,0.9043,30.63,0,93.591,0
2023-05-15,UT,232,53012.19,228.5,3400000,246603.0,1798.46,112967,696.18,96949,863.25,55595,619.25,2710,4621,0.8615,30.126,0,95.247,0
2023-05-15,CA,253,60370.63,238.62,8200000,264474.0,1949.45,107965,664.75,102959,918.81,73700,820.91,2998,4880,0.8418,23.029,0,95.358,0
2023-05-15,PN,222,51749.63,233.11,6100000,232682.0,1702.97,95830,586.48,86132,769.45,49756,553.06,2462,4108,0.8788,26.121,0,93.573,0
2023-05-15,NE,187,38463.83,205.69,7400000,200132.0,1456.25,98411,604.04,87899,785.26,41593,461.83,2166,4214,0.8409,28.488,0,95.431,0
2023-05-22,CO,255,56329.0,220.9,5800000,265005.0,1954.07,148195,909.59,106397,950.6,83006,923.65,3191,5212,0.8561,29.25,0,93.471,0
2023-05-22,UT,241,52740.91,218.84,3400000,260140.0,1923.2,109873,675.59,108623,970.53,58036,645.05,2526,4323,0.8288,24.881,0,93.024,0
2023-05-22,CA,234,48066.31,205.41,8200000,256447.0,1881.08,107895,663.94,100345,895.98,66233,738.43,2749,5142,0.9006,23.683,0,93.139,0
2023-05-22,PN,213,44514.45,208.99,6100000,227168.0,1668.16,109215,672.78,90851,812.46,53999,602.06,2693,4327,0.8499,22.89,0,92.791,0
2023-05-22,NE,186,42955.91,230.95,7400000,204011.0,1509.17,89589,549.57,73350,654.9,36138,401.91,2075,3746,0.8706,27.816,0,93.687,0
2023-05-29,CO,307,75311.03,245.31,5800000,362417.0,2665.78,131428,805.28,121346,1085.78,76686,852.98,3140,5382,0.8556,28.159,1,97.565,0
2023-05-29,UT,256,51180.28,199.92,3400000,275459.0,2016.05,109286,674.69,98315,879.64,74316,826.6,2871,4796,0.8784,25.599,1,94.784,0
2023-05-29,CA,275,59901.03,217.82,8200000,312876.0,2311.37,133668,819.32,99972,893.24,65972,734.77,3110,5010,0.8182,18.927,1,96.448,0
2023-05-29,PN,238,59889.0,251.63,6100000,265608.0,1932.73,100075,611.26,81470,727.97,65433,728.78,2820,4204,0.857,23.757,1,96.959,0
2023-05-29,NE,211,44669.36,211.7,7400000,232327.0,1696.52,81586,499.03,80619,718.36,38647,429.96,2175,3821,0.889,24.701,1,96.513,0
2023-06-05,CO,255,53668.51,210.46,5800000,254573.0,1849.15,135249,832.05,103335,924.9,86401,961.81,3104,5220,0.8294,24.537,0,91.925,0
2023-06-05,UT,229,46094.86,201.29,3400000,248938.0,1832.46,108487,663.6,95927,855.71,53105,591.28,2462,4500,0.8723,28.871,0,91.95,0
2023-06-05,CA,227,45591.06,200.84,8200000,247267.0,1840.49,118940,728.11,88552,792.0,55219,614.05,2674,4601,0.8264,22.559,0,91.35,0
2023-06-05,PN,210,46970.83,223.67,6100000,221104.0,1615.04,106149,653.02,83080,743.03,53688,596.83,2540,4307,0.8054,22.981,0,90.968,0
2023-06-05,NE,172,34693.65,201.71,7400000,190024.0,1409.32,96194,591.0,76539,682.95,41454,461.29,2342,3741,0.8448,27.092,0,91.292,0
2023-06-12,CO,251,57256.8,228.11,5800000,270774.0,1985.22,122072,752.63,111155,993.28,68375,762.24,2882,4840,0.825,26.239,0,90.674,0
2023-06-12,UT,219,46101.57,210.51,3400000,248145.0,1830.49,111616,686.65,98777,882.13,53070,590.79,2499,4505,0.785,26.366,0,89.636,0
2023-06-12,CA,220,47897.38,217.72,8200000,229924.0,1695.25,102824,630.88,89599,801.14,63524,708.06,2540,4390,0.8425,22.508,0,90.066,0
2023-06-12,PN,198,42084.59,212.55,6100000,210235.0,1550.8,107415,661.55,86131,770.87,47320,526.65,2418,4255,0.8584,25.053,0,88.836,0
2023-06-12,NE,187,38214.56,204.36,7400000,204391.0,1503.84,88701,541.12,75867,675.94,45103,502.99,2214,3622,0.8311,25.94,0,88.714,0
2023-06-19,CO,249,57024.9,229.02,5800000,253669.0,1862.6,125588,765.23,92898,830.79,71770,799.9,2864,4655,0.8198,23.4,0,90.288,0
2023-06-19,UT,199,42221.94,212.17,3400000,209691.0,1551.47,114027,697.59,92417,826.51,51777,575.59,2456,4040,0.8033,22.082,0,88.561,0
2023-06-19,CA,232,44977.35,193.87,8200000,258865.0,1903.18,101836,624.58,87259,778.3,49037,544.95,2460,4329,0.7719,19.945,0,87.907,0
2023-06-19,PN,206,46312.97,224.82,6100000,210732.0,1547.99,99116,609.32,87096,776.63,48808,541.85,2283,4137,0.8351,22.437,0,90.431,0
2023-06-19,NE,173,35879.92,207.4,7400000,187346.0,1391.94,81678,500.33,70148,627.15,35905,399.57,2045,3368,0.8325,26.091,0,88.151,0
2023-06-26,CO,222,41265.86,185.88,5800000,245338.0,1806.58,128705,791.48,99432,892.03,67198,748.23,2589,5071,0.7719,26.248,0,88.126,0
2023-06-26,UT,211,45777.76,216.96,3400000,225043.0,1647.25,107919,665.5,83848,748.98,52403,583.77,2558,4390,0.7518,21.615,0,88.675,0
2023-06-26,CA,224,48549.96,216.74,8200000,239964.0,1764.67,129122,792.59,95937,856.18,56047,623.34,2483,4628,0.8217,21.247,0,87.742,0
2023-06-26,PN,186,35795.69,192.45,6100000,200440.0,1479.88,104244,639.3,74830,667.44,51628,574.35,2482,3962,0.8036,24.875,0,89.043,0
2023-06-26,NE,179,39798.6,222.34,7400000,187344.0,1387.35,84776,518.09,71441,637.91,41204,458.4,2001,3380,0.8178,25.488,0,89.712,0
2023-07-03,CO,262,53177.71,202.97,5800000,250776.0,1830.27,149889,915.67,125452,1119.84,79541,885.3,2607,5700,0.81,22.072,0,81.942,1
2023-07-03,UT,235,43481.38,185.03,3400000,236981.0,1746.03,153163,940.28,95377,852.29,59287,659.99,2537,5336,0.857,19.529,0,80.338,1
2023-07-03,CA,245,44511.32,181.68,8200000,244105.0,1788.44,146020,900.23,120124,1073.36,61909,689.51,2509,5697,0.8191,18.004,0,81.889,1
