week_start_date,geo,sessions,users,organic_sessions,availability_searches,abandoned_reservations
2023-07-24,CA,17613,12019,2201,503,126
2023-07-24,PN,15426,11328,2062,535,158
2023-07-24,NE,14147,9961,1717,441,110
2023-07-31,CO,17818,12895,2438,522,163
2023-07-31,UT,18460,13332,2298,444,114
2023-07-31,CA,18365,14317,2447,566,162
2023-07-31,PN,16131,11083,2056,452,164
2023-07-31,NE,13689,10159,1743,485,109
2023-08-07,CO,19354,13688,2552,664,240
2023-08-07,UT,15100,10511,2060,423,154
2023-08-07,CA,17413,12094,2203,474,137
2023-08-07,PN,15234,10973,1931,546,154
2023-08-07,NE,16034,10998,1821,519,174
2023-08-14,CO,17752,13127,2317,486,179
2023-08-14,UT,16428,12678,2192,588,196
2023-08-14,CA,16602,11452,2321,583,198
2023-08-14,PN,16823,11619,1884,460,138
2023-08-14,NE,13182,8986,1673,408,106
2023-08-21,CO,19919,14500,2473,522,125
2023-08-21,UT,15952,11441,2005,413,109
2023-08-21,CA,16025,10994,2278,597,193
2023-08-21,PN,14036,10042,2073,405,103
2023-08-21,NE,13010,10021,1730,403,132
2023-08-28,CO,19092,14763,2580,530,163
2023-08-28,UT,17193,12806,2020,381,143
2023-08-28,CA,16075,11311,2431,643,193
2023-08-28,PN,14110,10147,2099,461,165
2023-08-28,NE,14577,10278,1754,353,82
2023-09-04,CO,21544,16584,2521,579,128
2023-09-04,UT,19857,14027,2245,591,175
2023-09-04,CA,20808,15655,2429,668,192
2023-09-04,PN,19856,13685,2341,483,167
2023-09-04,NE,15204,11797,1825,344,77
2023-09-11,CO,18435,13668,2660,493,113
2023-09-11,UT,16249,11431,2401,645,238
2023-09-11,CA,19716,15174,2225,482,130
2023-09-11,PN,15991,11553,2079,378,92
2023-09-11,NE,14217,10666,1980,425,154
2023-09-18,CO,20521,15346,2362,627,187
2023-09-18,UT,15785,10827,2300,526,153
2023-09-18,CA,16435,11804,2368,501,178
2023-09-18,PN,15775,12160,2068,476,109
2023-09-18,NE,14757,11088,1872,360,103
2023-09-25,CO,19780,15285,2567,551,137
2023-09-25,UT,17446,13314,2367,563,159
2023-09-25,CA,17454,12657,2321,561,137
2023-09-25,PN,15223,11342,1994,391,99
2023-09-25,NE,15433,11733,1933,390,93
2023-10-02,CO,17854,12998,2579,464,156
2023-10-02,UT,15678,10877,2360,534,148
2023-10-02,CA,18771,14446,2214,412,103
2023-10-02,PN,14912,11232,2160,475,109
2023-10-02,NE,14714,10346,1985,375,90
2023-10-09,CO,19836,14027,2571,543,137
2023-10-09,UT,16415,11244,2188,540,134
2023-10-09,CA,17913,13266,2621,681,201
2023-10-09,PN,14270,9844,2064,551,162
2023-10-09,NE,13935,9909,1794,430,129
2023-10-16,CO,20049,15012,2624,552,189
2023-10-16,UT,17848,12195,2453,486,114
2023-10-16,CA,17134,13336,2380,581,156
2023-10-16,PN,16995,12596,2027,447,167
2023-10-16,NE,13699,10651,2032,411,124
2023-10-23,CO,19832,15206,2581,672,203
2023-10-23,UT,17514,12439,2644,572,145
2023-10-23,CA,17587,12010,2436,451,124
2023-10-23,PN,17009,12665,2403,573,162
2023-10-23,NE,16499,12069,2102,575,136
2023-10-30,CO,18899,13234,2734,687,228
2023-10-30,UT,17821,13354,2208,502,166
2023-10-30,CA,20255,14840,2757,534,132
2023-10-30,PN,15795,11752,2061,439,133
2023-10-30,NE,14856,11122,2017,412,153
2023-11-06,CO,22774,16228,2709,576,137
2023-11-06,UT,19050,13133,2425,589,139
2023-11-06,CA,19293,14094,2733,517,137
2023-11-06,PN,15703,11258,2419,556,161
2023-11-06,NE,15290,11433,2117,497,128
2023-11-13,CO,22498,17474,2821,511,142
2023-11-13,UT,17576,12320,2294,424,132
2023-11-13,CA,20752,14214,2801,527,134
2023-11-13,PN,17171,11778,2443,676,158
2023-11-13,NE,14258,10652,1928,510,146
2023-11-20,CO,29609,21145,3485,873,286
2023-11-20,UT,26563,18108,3128,821,240
2023-11-20,CA,27377,19888,3251,739,186
2023-11-20,PN,23858,16660,2946,734,220
2023-11-20,NE,20220,14934,2522,483,132
2023-11-27,CO,25852,18927,2934,656,211
2023-11-27,UT,21965,15450,2995,683,206
2023-11-27,CA,24131,16630,3034,715,251
2023-11-27,PN,21101,15640,2369,556,160
2023-11-27,NE,20866,14235,2195,604,220
2023-12-04,CO,24032,17283,3390,716,202
2023-12-04,UT,21216,16339,3012,603,193
2023-12-04,CA,23221,16180,3467,611,195
2023-12-04,PN,20960,14266,2875,605,170
2023-12-04,NE,18446,13237,2329,413,121
2023-12-11,CO,22261,15812,3249,699,205
2023-12-11,UT,21617,16375,2972,507,165
2023-12-11,CA,22075,16329,3067,547,140
2023-12-11,PN,19133,13492,2805,700,210
2023-12-11,NE,16739,12129,2216,410,99
2023-12-18,CO,22210,16840,3404,596,175
2023-12-18,UT,19500,14351,3063,612,138
2023-12-18,CA,20753,14221,3209,737,277
2023-12-18,PN,19186,14433,2554,454,165
2023-12-18,NE,16838,12394,2513,611,206
2023-12-25,CO,29731,22099,3331,596,132
2023-12-25,UT,26481,18132,3446,597,197
2023-12-25,CA,25874,17990,3653,855,287
2023-12-25,PN,27052,19121,2824,594,156
2023-12-25,NE,19815,13561,2671,593,216
2024-01-01,CO,30640,22112,4292,754,184
2024-01-01,UT,29209,21780,3328,622,154
2024-01-01,CA,29424,22234,3673,774,286
2024-01-01,PN,23417,16357,3466,678,201
2024-01-01,NE,23677,17064,2983,656,162
2024-01-08,CO,24789,17982,3303,627,149
2024-01-08,UT,20393,14983,3270,565,132
2024-01-08,CA,23933,17625,3093,754,217
2024-01-08,PN,19260,14554,2917,545,157
2024-01-08,NE,17230,11737,2571,657,166
2024-01-15,CO,24850,18875,3623,826,201
2024-01-15,UT,20923,14799,3197,710,228
2024-01-15,CA,22047,16281,3215,808,242
2024-01-15,PN,20961,15729,2868,571,184
2024-01-15,NE,18061,13700,2639,676,184
2024-01-22,CO,28583,19689,3306,811,289
2024-01-22,UT,22005,14990,3070,735,238
2024-01-22,CA,21952,16667,3211,606,189
2024-01-22,PN,20957,14915,2818,596,182
2024-01-22,NE,17828,12393,2628,648,146
2024-01-29,CO,24458,16806,3619,670,182
2024-01-29,UT,21418,15442,3207,720,188
2024-01-29,CA,25455,18353,3690,820,267
2024-01-29,PN,19568,14927,2956,778,214
2024-01-29,NE,17656,13482,2485,607,183
2024-02-05,CO,28651,21315,3783,763,176
2024-02-05,UT,23726,18308,3573,707,157
2024-02-05,CA,29643,21860,3971,1067,291
2024-02-05,PN,23323,17253,3123,622,223
2024-02-05,NE,20900,15122,3103,550,184
2024-02-12,CO,30940,22296,4195,1079,257
2024-02-12,UT,27336,20176,3232,694,191
2024-02-12,CA,31544,22831,3973,782,241
2024-02-12,PN,25059,19133,3061,585,156
2024-02-12,NE,21350,15378,3099,754,285
2024-02-19,CO,34026,23413,4232,993,245
2024-02-19,UT,29586,21089,3656,957,212
2024-02-19,CA,33277,25422,4051,1061,268
2024-02-19,PN,24541,18272,3425,797,279
2024-02-19,NE,25215,19035,3130,630,185
2024-02-26,CO,26013,19360,3885,729,253
2024-02-26,UT,22002,16634,3396,868,285
2024-02-26,CA,22243,15155,3419,809,242
2024-02-26,PN,20660,14666,3131,611,161
2024-02-26,NE,16612,12010,2680,512,183
2024-03-04,CO,26712,19084,3319,616,201
2024-03-04,UT,23205,17171,2887,616,157
2024-03-04,CA,24971,19365,3285,792,183
2024-03-04,PN,20862,16131,3057,775,179
2024-03-04,NE,19964,14415,2759,620,235
2024-03-11,CO,26143,18537,3750,805,286
2024-03-11,UT,23178,17754,3045,846,297
2024-03-11,CA,26038,20093,3335,896,224
2024-03-11,PN,22443,15793,3146,773,192
2024-03-11,NE,17012,13134,2739,736,202
2024-03-18,CO,26148,19605,3318,921,239
2024-03-18,UT,22110,16437,3096,702,230
2024-03-18,CA,24006,18612,3323,620,203
2024-03-18,PN,21343,16221,2997,782,235
2024-03-18,NE,17187,13392,2534,467,150
2024-03-25,CO,27354,21224,3302,699,185
2024-03-25,UT,23627,17968,2924,602,199
2024-03-25,CA,24423,18698,3567,968,339
2024-03-25,PN,19772,14244,2736,617,168
2024-03-25,NE,17782,12103,2800,729,227
2024-04-01,CO,25403,17346,3558,792,289
2024-04-01,UT,20803,14410,3287,642,153
2024-04-01,CA,26707,18880,3546,681,239
2024-04-01,PN,21160,14924,2962,590,213
2024-04-01,NE,19423,14074,2757,688,191
2024-04-08,CO,27921,21379,3417,747,218
2024-04-08,UT,21781,15864,3258,746,276
2024-04-08,CA,24424,16903,3508,777,246
2024-04-08,PN,19856,14990,3077,572,147
2024-04-08,NE,18252,13018,2626,651,182
2024-04-15,CO,22000,15123,3188,779,291
2024-04-15,UT,22899,17116,3032,563,164
2024-04-15,CA,25989,19236,3469,847,274
2024-04-15,PN,19677,14069,2651,524,126
2024-04-15,NE,21112,14570,2511,468,139
2024-04-22,CO,23189,17617,3488,762,170
2024-04-22,UT,21889,14896,2868,691,204
2024-04-22,CA,23638,16833,3058,555,127
2024-04-22,PN,20430,14644,2930,608,173
2024-04-22,NE,17307,11862,2462,528,176
2024-04-29,CO,27341,19129,3584,896,263
2024-04-29,UT,22465,15920,2993,634,142
2024-04-29,CA,23837,16724,3231,800,278
2024-04-29,PN,18806,14312,2759,502,152
2024-04-29,NE,17400,12859,2539,673,159
2024-05-06,CO,25878,18299,3186,703,155
2024-05-06,UT,22216,16041,2942,722,204
2024-05-06,CA,22661,15529,3102,773,190
2024-05-06,PN,21177,15558,2657,548,207
2024-05-06,NE,18084,13765,2565,535,197
2024-05-13,CO,22994,17194,3436,671,183
2024-05-13,UT,19665,14564,2852,725,164
2024-05-13,CA,23519,17910,3023,837,264
2024-05-13,PN,17837,12138,2846,700,231
2024-05-13,NE,15121,11087,2363,481,136
2024-05-20,CO,22468,17520,3163,658,195
2024-05-20,UT,19542,15187,2737,561,187
2024-05-20,CA,24006,17366,2890,802,261
2024-05-20,PN,21222,14532,2765,745,188
2024-05-20,NE,16924,11959,2208,584,135
2024-05-27,CO,28734,21500,3524,657,211
2024-05-27,UT,25000,18055,3162,619,165
2024-05-27,CA,24534,16790,2984,829,308
2024-05-27,PN,22394,17360,2870,623,174
2024-05-27,NE,21001,14818,2345,430,107
2024-06-03,CO,22458,16316,3265,718,249
2024-06-03,UT,21067,16251,2685,715,232
2024-06-03,CA,6907,4749,2863,634,218
2024-06-03,PN,19804,13518,2335,646,176
2024-06-03,NE,16529,12862,2124,406,110
2024-06-10,CO,20939,15590,3002,688,187
2024-06-10,UT,19586,14826,2841,656,213
2024-06-10,CA,7123,5110,2824,786,199
2024-06-10,PN,18380,13531,2409,568,144
2024-06-10,NE,16457,12479,2296,458,128
2024-06-17,CO,23211,17588,3290,742,179
2024-06-17,UT,21233,16168,3056,761,221
2024-06-17,CA,8104,5772,3222,785,262
2024-06-17,PN,18179,12911,2484,531,194
2024-06-17,NE,16928,12925,2441,547,158
2024-06-24,CO,21894,15642,2860,614,216
2024-06-24,UT,19159,14793,2641,524,179
2024-06-24,CA,20814,15886,2544,490,184
2024-06-24,PN,15789,11971,2358,468,136
2024-06-24,NE,15639,10761,2156,551,203
2024-07-01,CO,22172,16252,2788,564,167
2024-07-01,UT,19191,14962,2371,562,179
2024-07-01,CA,20735,14578,2535,569,191
2024-07-01,PN,18052,13608,2161,432,105
2024-07-01,NE,16446,12013,2105,427,104
2024-07-08,CO,21244,16458,2555,572,207
2024-07-08,UT,17952,13307,2498,650,222
2024-07-08,CA,20124,14577,2640,751,260
2024-07-08,PN,17463,13508,2381,683,233
2024-07-08,NE,15771,11959,2099,542,202
2024-07-15,CO,19926,15252,2698,777,219
2024-07-15,UT,16704,12200,2399,651,239
2024-07-15,CA,17523,13334,2519,644,209
2024-07-15,PN,16269,12417,2037,555,136
2024-07-15,NE,14777,10619,1829,391,114
2024-07-22,CO,19317,14263,2531,711,194
2024-07-22,UT,18916,13154,2195,593,137
2024-07-22,CA,19967,13901,2348,598,167
2024-07-22,PN,18262,13547,2289,607,158
2024-07-22,NE,14536,10844,1792,407,112
2024-07-29,CO,21091,15286,2448,687,229
2024-07-29,UT,17819,13305,2303,568,136
2024-07-29,CA,20211,13826,2395,530,139
2024-07-29,PN,16068,11132,2205,519,167
2024-07-29,NE,14361,10623,1797,516,138
2024-08-05,CO,20161,14179,2348,522,140
2024-08-05,UT,16601,11951,2128,509,184
2024-08-05,CA,17853,13723,2493,645,230
2024-08-05,PN,16689,11886,1966,450,166
2024-08-05,NE,14899,10408,1730,450,138
2024-08-12,CO,19292,14064,2733,603,202
2024-08-12,UT,18414,13710,2358,670,168
2024-08-12,CA,19108,13263,2485,600,170
2024-08-12,PN,15186,10554,2011,538,121
2024-08-12,NE,15113,11455,1868,465,139
2024-08-19,CO,18240,13237,2558,569,160
2024-08-19,UT,18164,12904,2093,405,143
2024-08-19,CA,18397,13830,2310,576,138
2024-08-19,PN,16102,12084,2034,474,171
2024-08-19,NE,13777,10427,1837,420,97
2024-08-26,CO,23656,17675,2735,806,236
2024-08-26,UT,19571,14367,2183,435,119
2024-08-26,CA,19477,14315,2396,623,218
2024-08-26,PN,17351,12586,2093,575,128
2024-08-26,NE,14488,10096,1867,469,122
2024-09-02,CO,22477,16657,2958,540,139
2024-09-02,UT,21230,15373,2648,618,229
2024-09-02,CA,19210,13180,2504,640,232
2024-09-02,PN,19115,13866,2260,532,151
2024-09-02,NE,18003,13299,2013,427,133
2024-09-09,CO,19975,14672,2579,708,248
2024-09-09,UT,18923,12998,2362,607,199
2024-09-09,CA,19463,13705,2601,673,175
2024-09-09,PN,16783,12399,2004,434,139
2024-09-09,NE,14076,10220,1879,492,141
2024-09-16,CO,19640,13763,2441,632,190
2024-09-16,UT,18613,12830,2160,431,130
2024-09-16,CA,19171,14220,2337,631,188
2024-09-16,PN,16872,12473,2291,468,122
2024-09-16,NE,14149,10976,1914,474,168
2024-09-23,CO,20557,14770,2489,606,212
2024-09-23,UT,17164,12347,2263,603,190
2024-09-23,CA,17904,13363,2451,661,162
2024-09-23,PN,15659,10823,2211,431,95
2024-09-23,NE,15561,11051,2049,432,104
2024-09-30,CO,19132,13077,2558,473,137
2024-09-30,UT,16851,12418,2426,538,132
2024-09-30,CA,18986,13435,2360,654,182
2024-09-30,PN,17478,12260,2296,527,121
2024-09-30,NE,13622,9829,1957,415,96
2024-10-07,CO,20647,15344,2868,646,233
2024-10-07,UT,17097,12742,2302,448,128
2024-10-07,CA,17519,12673,2542,633,159
2024-10-07,PN,16575,11799,2364,554,155
2024-10-07,NE,15004,10220,1974,437,119
2024-10-14,CO,22268,16307,2860,754,284
2024-10-14,UT,16363,11813,2400,631,171
2024-10-14,CA,19126,13952,2421,571,127
2024-10-14,PN,18599,13505,2376,528,159
2024-10-14,NE,15084,10692,2177,586,190
2024-10-21,CO,21852,15658,2713,658,203
2024-10-21,UT,20697,14453,2659,576,166
2024-10-21,CA,19078,13989,2612,511,184
2024-10-21,PN,17286,12060,2133,465,167
2024-10-21,NE,16660,12624,1998,453,172
2024-10-28,CO,19596,13363,2726,597,193
2024-10-28,UT,18951,14313,2723,614,208
2024-10-28,CA,20586,15747,2587,687,206
2024-10-28,PN,16549,11601,2156,419,115
2024-10-28,NE,14904,10307,2022,513,139
2024-11-04,CO,21526,15038,3085,661,219
2024-11-04,UT,18491,13732,2579,527,143
2024-11-04,CA,19555,14281,2552,613,193
2024-11-04,PN,18372,13951,2310,459,155
2024-11-04,NE,15992,11133,2211,435,143
2024-11-11,CO,22639,16705,2866,672,196
2024-11-11,UT,19701,15151,2689,536,192
2024-11-11,CA,19796,13523,2876,697,226
2024-11-11,PN,18895,13864,2341,471,145
2024-11-11,NE,16061,11536,2196,468,136
2024-11-18,CO,28593,20271,3756,862,231
2024-11-18,UT,23095,17784,3170,674,225
2024-11-18,CA,27704,20873,3547,768,177
2024-11-18,PN,25667,18104,2812,741,196
2024-11-18,NE,20675,15504,2644,545,156
2024-11-25,CO,29981,22007,3514,810,198
2024-11-25,UT,24090,18180,2716,627,154
2024-11-25,CA,22804,17326,2868,632,211
2024-11-25,PN,20595,14278,2573,483,159
2024-11-25,NE,20524,14703,2518,573,155
2024-12-02,CO,23659,18096,3529,633,154
2024-12-02,UT,22587,16874,2807,682,194
2024-12-02,CA,22891,17152,3285,848,304
2024-12-02,PN,18655,13076,2948,615,214
2024-12-02,NE,16547,12381,2386,512,121
2024-12-09,CO,23587,17268,3638,698,262
2024-12-09,UT,20725,15268,3224,711,218
2024-12-09,CA,22378,16038,3381,808,252
2024-12-09,PN,18916,14118,2688,715,205
2024-12-09,NE,17916,12907,2561,651,163
2024-12-16,CO,26665,18351,3879,929,321
2024-12-16,UT,21708,15987,3306,865,299
2024-12-16,CA,24503,18052,3353,892,267
2024-12-16,PN,20797,16126,2903,558,200
2024-12-16,NE,20999,16050,2952,663,173
2024-12-23,CO,29455,21010,3942,850,309
2024-12-23,UT,27207,19096,3091,636,173
2024-12-23,CA,30867,22832,3506,806,268
2024-12-23,PN,26939,18652,3349,639,201
2024-12-23,NE,21164,15737,2987,557,156
2024-12-30,CO,36270,25794,4403,1038,236
2024-12-30,UT,29602,23063,3553,876,314
2024-12-30,CA,32124,22150,4229,1005,252
2024-12-30,PN,25462,19028,3444,661,211
2024-12-30,NE,25528,19060,2904,726,220
2025-01-06,CO,32727,23079,3854,924,319
2025-01-06,UT,28055,19502,3440,703,178
2025-01-06,CA,29544,21964,3560,654,144
2025-01-06,PN,25605,19951,3126,670,233
2025-01-06,NE,19818,14649,2789,484,173
2025-01-13,CO,26618,19788,3831,703,220
2025-01-13,UT,22470,16147,3491,660,165
2025-01-13,CA,23164,16011,3540,765,213
2025-01-13,PN,21109,16165,3179,781,191
2025-01-13,NE,19495,14603,2577,502,184
2025-01-20,CO,24575,19017,3588,860,325
2025-01-20,UT,21297,15679,3434,628,159
2025-01-20,CA,23616,17943,3645,702,190
2025-01-20,PN,21579,14726,3084,573,173
2025-01-20,NE,20618,15445,2953,680,181
2025-01-27,CO,28249,19968,4012,743,164
2025-01-27,UT,21509,16356,3592,706,224
2025-01-27,CA,26827,19866,3834,735,231
2025-01-27,PN,20811,15933,3031,586,185
2025-01-27,NE,20825,14614,2878,686,239
2025-02-03,CO,25587,19375,4021,1052,371
2025-02-03,UT,23675,18110,3390,875,259
2025-02-03,CA,25481,18565,3693,632,184
2025-02-03,PN,20253,14967,3065,632,233
2025-02-03,NE,18504,13221,2619,524,180
2025-02-10,CO,27562,21454,3967,1025,387
2025-02-10,UT,23454,17454,3476,629,149
2025-02-10,CA,23680,16527,3820,812,265
2025-02-10,PN,20337,15502,3402,723,204
2025-02-10,NE,19835,14130,2874,531,121
2025-02-17,CO,35374,26380,4491,1107,300
2025-02-17,UT,30414,23310,3914,902,207
2025-02-17,CA,36634,25392,4361,998,316
2025-02-17,PN,31692,22776,3951,737,212
2025-02-17,NE,25715,19289,3397,873,243
2025-02-24,CO,28978,20000,3858,922,322
2025-02-24,UT,21438,14702,3184,743,244
2025-02-24,CA,25248,18692,3383,636,241
2025-02-24,PN,21494,15921,3189,690,247
2025-02-24,NE,18545,12724,2979,671,182
