date,geo,campaign_name,impressions,clicks,spend,ctr
2023-02-06,CO,Inspiration | Winter,8642,125,75.44,0.014464
2023-02-19,CO,Inspiration | Summer,9348,115,60.39,0.012302
2023-02-13,UT,Inspiration | Winter,8276,106,68.76,0.012808
2023-02-14,UT,Inspiration | Winter,8090,78,69.58,0.009642
2023-02-15,UT,Inspiration | Winter,7903,80,48.57,0.010123
2023-02-16,UT,Inspiration | Winter,11335,87,56.18,0.007675
2023-02-17,UT,Inspiration | Winter,8578,88,65.89,0.010259
2023-02-18,UT,Inspiration | Winter,10420,118,59.77,0.011324
2023-02-19,UT,Inspiration | Winter,10512,115,47.98,0.01094
2023-02-13,UT,Inspiration | Summer,7491,102,34.64,0.013616
2023-02-14,UT,Inspiration | Summer,7483,84,46.0,0.011225
2023-02-15,UT,Inspiration | Summer,7919,93,40.46,0.011744
2023-02-16,UT,Inspiration | Summer,6771,122,35.65,0.018018
2023-02-17,UT,Inspiration | Summer,8111,107,52.88,0.013192
2023-02-18,UT,Inspiration | Summer,6491,84,51.47,0.012941
2023-02-19,UT,Inspiration | Summer,8462,112,44.71,0.013236
2023-02-13,CA,Inspiration | Winter,8228,73,49.35,0.008872
2023-02-14,CA,Inspiration | Winter,8420,89,47.26,0.01057
2023-02-15,CA,Inspiration | Winter,9167,108,59.9,0.011781
2023-02-16,CA,Inspiration | Winter,7893,75,42.45,0.009502
2023-02-17,CA,Inspiration | Winter,9289,84,47.45,0.009043
2023-02-18,CA,Inspiration | Winter,6302,105,63.18,0.016661
2023-02-19,CA,Inspiration | Winter,8993,80,63.49,0.008896
2023-02-13,CA,Inspiration | Summer,9215,107,44.78,0.011612
2023-02-14,CA,Inspiration | Summer,8415,124,52.4,0.014736
2023-02-15,CA,Inspiration | Summer,8681,94,46.66,0.010828
2023-02-16,CA,Inspiration | Summer,8137,92,49.16,0.011306
2023-02-17,CA,Inspiration | Summer,7424,91,42.17,0.012258
2023-02-18,CA,Inspiration | Summer,8943,93,50.26,0.010399
2023-02-19,CA,Inspiration | Summer,6792,98,48.68,0.014429
2023-02-13,PN,Inspiration | Winter,8902,89,51.89,0.009998
2023-02-14,PN,Inspiration | Winter,9564,85,68.26,0.008887
2023-02-15,PN,Inspiration | Winter,9727,105,54.75,0.010795
2023-02-16,PN,Inspiration | Winter,8237,93,51.48,0.011291
2023-02-17,PN,Inspiration | Winter,8497,110,54.31,0.012946
2023-02-18,PN,Inspiration | Winter,7653,111,59.25,0.014504
2023-02-19,PN,Inspiration | Winter,7495,104,44.54,0.013876
2023-02-13,PN,Inspiration | Summer,6138,81,31.45,0.013196
2023-02-14,PN,Inspiration | Summer,5602,78,30.21,0.013924
2023-02-15,PN,Inspiration | Summer,6124,82,38.07,0.01339
2023-02-16,PN,Inspiration | Summer,5643,82,37.38,0.014531
2023-02-17,PN,Inspiration | Summer,6130,93,34.47,0.015171
2023-02-18,PN,Inspiration | Summer,6784,77,40.16,0.01135
2023-02-19,PN,Inspiration | Summer,5238,70,29.88,0.013364
2023-02-13,NE,Inspiration | Winter,6520,94,46.72,0.014417
2023-02-14,NE,Inspiration | Winter,6522,65,50.26,0.009966
2023-02-15,NE,Inspiration | Winter,8042,90,41.84,0.011191
2023-02-16,NE,Inspiration | Winter,7610,64,44.15,0.00841
2023-02-17,NE,Inspiration | Winter,7289,64,47.91,0.00878
2023-02-18,NE,Inspiration | Winter,7305,77,45.99,0.010541
2023-02-19,NE,Inspiration | Winter,6006,78,38.61,0.012987
2023-02-13,NE,Inspiration | Summer,4454,82,24.94,0.01841
2023-02-14,NE,Inspiration | Summer,4991,63,36.59,0.012623
2023-02-15,NE,Inspiration | Summer,6539,61,35.28,0.009329
2023-02-16,NE,Inspiration | Summer,5269,87,32.43,0.016512
2023-02-17,NE,Inspiration | Summer,6098,72,26.39,0.011807
2023-02-18,NE,Inspiration | Summer,6520,76,38.02,0.011656
2023-02-19,NE,Inspiration | Summer,5705,60,35.9,0.010517
2023-02-20,CO,Inspiration | Winter,11353,148,60.47,0.013036
2023-02-21,CO,Inspiration | Winter,11059,126,77.72,0.011393
2023-02-22,CO,Inspiration | Winter,9711,104,67.81,0.01071
2023-02-23,CO,Inspiration | Winter,8630,137,60.06,0.015875
2023-02-24,CO,Inspiration | Winter,12962,112,81.03,0.008641
2023-02-25,CO,Inspiration | Winter,11131,114,66.49,0.010242
2023-02-26,CO,Inspiration | Winter,9293,121,60.92,0.013021
2023-02-20,CO,Inspiration | Summer,8609,142,57.54,0.016494
2023-02-21,CO,Inspiration | Summer,9371,123,66.33,0.013126
2023-02-22,CO,Inspiration | Summer,9715,139,45.82,0.014308
2023-02-23,CO,Inspiration | Summer,10291,108,54.32,0.010495
2023-02-24,CO,Inspiration | Summer,10172,102,57.89,0.010028
2023-02-25,CO,Inspiration | Summer,10106,131,52.96,0.012963
2023-02-26,CO,Inspiration | Summer,7980,145,49.36,0.01817
2023-02-20,UT,Inspiration | Winter,7935,92,66.41,0.011594
2023-02-21,UT,Inspiration | Winter,7888,133,58.41,0.016861
2023-02-22,UT,Inspiration | Winter,9833,86,50.15,0.008746
2023-02-23,UT,Inspiration | Winter,7315,95,61.06,0.012987
2023-02-24,UT,Inspiration | Winter,10168,100,46.05,0.009835
2023-02-25,UT,Inspiration | Winter,9597,131,60.16,0.01365
2023-02-26,UT,Inspiration | Winter,9640,95,56.97,0.009855
2023-02-20,UT,Inspiration | Summer,5793,90,40.81,0.015536
2023-02-21,UT,Inspiration | Summer,7322,96,39.49,0.013111
2023-02-22,UT,Inspiration | Summer,7819,95,32.71,0.01215
2023-02-23,UT,Inspiration | Summer,6092,93,47.06,0.015266
2023-02-24,UT,Inspiration | Summer,8071,66,49.18,0.008177
2023-02-25,UT,Inspiration | Summer,6072,91,36.53,0.014987
2023-02-26,UT,Inspiration | Summer,8064,87,39.78,0.010789
2023-02-20,CA,Inspiration | Winter,10634,95,70.36,0.008934
2023-02-21,CA,Inspiration | Winter,9396,125,61.9,0.013304
2023-02-22,CA,Inspiration | Winter,10285,119,51.05,0.01157
2023-02-23,CA,Inspiration | Winter,8131,117,62.93,0.014389
2023-02-24,CA,Inspiration | Winter,9677,109,62.15,0.011264
2023-02-25,CA,Inspiration | Winter,8907,88,69.36,0.00988
2023-02-26,CA,Inspiration | Winter,9372,115,47.22,0.012271
2023-02-20,CA,Inspiration | Summer,7401,104,50.15,0.014052
2023-02-21,CA,Inspiration | Summer,8196,91,37.23,0.011103
2023-02-22,CA,Inspiration | Summer,6360,98,38.09,0.015409
2023-02-23,CA,Inspiration | Summer,5903,95,49.54,0.016094
2023-02-24,CA,Inspiration | Summer,8057,95,42.77,0.011791
2023-02-25,CA,Inspiration | Summer,7492,104,45.95,0.013881
2023-02-26,CA,Inspiration | Summer,8318,98,36.29,0.011782
2023-02-20,PN,Inspiration | Winter,7592,88,58.95,0.011591
2023-02-21,PN,Inspiration | Winter,7491,99,47.21,0.013216
2023-02-22,PN,Inspiration | Winter,7540,101,47.79,0.013395
2023-02-23,PN,Inspiration | Winter,8756,104,39.97,0.011878
2023-02-24,PN,Inspiration | Winter,8681,72,56.62,0.008294
2023-02-25,PN,Inspiration | Winter,7700,67,49.9,0.008701
2023-02-26,PN,Inspiration | Winter,8301,76,58.36,0.009156
2023-02-20,PN,Inspiration | Summer,7584,81,36.32,0.01068
2023-02-21,PN,Inspiration | Summer,6479,79,35.68,0.012193
2023-02-22,PN,Inspiration | Summer,7187,96,32.61,0.013357
2023-02-23,PN,Inspiration | Summer,7968,118,46.08,0.014809
2023-02-24,PN,Inspiration | Summer,7260,91,50.37,0.012534
2023-02-25,PN,Inspiration | Summer,5966,119,46.37,0.019946
2023-02-26,PN,Inspiration | Summer,6463,90,36.22,0.013925
2023-02-20,NE,Inspiration | Winter,7985,74,58.25,0.009267
2023-02-21,NE,Inspiration | Winter,8386,76,41.45,0.009063
2023-02-22,NE,Inspiration | Winter,5645,82,41.81,0.014526
2023-02-23,NE,Inspiration | Winter,7868,80,44.29,0.010168
2023-02-24,NE,Inspiration | Winter,7105,84,43.8,0.011823
2023-02-25,NE,Inspiration | Winter,6355,69,58.16,0.010858
2023-02-26,NE,Inspiration | Winter,8419,89,43.52,0.010571
2023-02-20,NE,Inspiration | Summer,7032,82,44.11,0.011661
2023-02-21,NE,Inspiration | Summer,5741,97,30.97,0.016896
2023-02-22,NE,Inspiration | Summer,5824,72,38.2,0.012363
2023-02-23,NE,Inspiration | Summer,5436,102,40.15,0.018764
2023-02-24,NE,Inspiration | Summer,5966,68,35.93,0.011398
2023-02-25,NE,Inspiration | Summer,6650,101,36.11,0.015188
2023-02-26,NE,Inspiration | Summer,7919,80,33.02,0.010102
2023-02-27,CO,Inspiration | Winter,13016,128,73.38,0.009834
2023-02-28,CO,Inspiration | Winter,14282,146,76.24,0.010223
2023-03-01,CO,Inspiration | Winter,10786,115,101.28,0.010662
2023-03-02,CO,Inspiration | Winter,14632,160,83.9,0.010935
2023-03-03,CO,Inspiration | Winter,11200,132,99.85,0.011786
2023-03-04,CO,Inspiration | Winter,10591,111,68.3,0.010481
2023-03-05,CO,Inspiration | Winter,14997,151,69.88,0.010069
2023-02-27,CO,Inspiration | Summer,10418,99,53.79,0.009503
2023-02-28,CO,Inspiration | Summer,9096,140,60.33,0.015391
2023-03-01,CO,Inspiration | Summer,10796,134,48.17,0.012412
2023-03-02,CO,Inspiration | Summer,10672,119,55.4,0.011151
2023-03-03,CO,Inspiration | Summer,8544,111,48.5,0.012992
2023-03-04,CO,Inspiration | Summer,8417,113,67.99,0.013425
2023-03-05,CO,Inspiration | Summer,8450,140,50.89,0.016568
2023-02-27,UT,Inspiration | Winter,7747,70,49.95,0.009036
2023-02-28,UT,Inspiration | Winter,9445,88,66.99,0.009317
2023-03-01,UT,Inspiration | Winter,9562,98,48.46,0.010249
2023-03-02,UT,Inspiration | Winter,9540,108,51.82,0.011321
2023-03-03,UT,Inspiration | Winter,8883,78,69.71,0.008781
2023-03-04,UT,Inspiration | Winter,8113,104,50.89,0.012819
2023-03-05,UT,Inspiration | Winter,6664,105,45.89,0.015756
2023-02-27,UT,Inspiration | Summer,5633,79,35.99,0.014024
2023-02-28,UT,Inspiration | Summer,5770,114,34.94,0.019757
2023-03-01,UT,Inspiration | Summer,7230,80,46.76,0.011065
2023-03-02,UT,Inspiration | Summer,6205,92,37.64,0.014827
2023-03-03,UT,Inspiration | Summer,6177,75,34.32,0.012142
2023-03-04,UT,Inspiration | Summer,6956,106,36.09,0.015239
2023-03-05,UT,Inspiration | Summer,7960,88,40.64,0.011055
2023-02-27,CA,Inspiration | Winter,8239,83,45.63,0.010074
2023-02-28,CA,Inspiration | Winter,7758,106,53.31,0.013663
2023-03-01,CA,Inspiration | Winter,9055,99,58.18,0.010933
2023-03-02,CA,Inspiration | Winter,7570,72,55.08,0.009511
2023-03-03,CA,Inspiration | Winter,8813,92,58.66,0.010439
2023-03-04,CA,Inspiration | Winter,6899,75,48.68,0.010871
2023-03-05,CA,Inspiration | Winter,9148,91,48.33,0.009948
2023-02-27,CA,Inspiration | Summer,8504,118,58.43,0.013876
2023-02-28,CA,Inspiration | Summer,9159,107,52.79,0.011682
2023-03-01,CA,Inspiration | Summer,9082,92,41.76,0.01013
2023-03-02,CA,Inspiration | Summer,7572,125,42.52,0.016508
2023-03-03,CA,Inspiration | Summer,8025,115,50.74,0.01433
2023-03-04,CA,Inspiration | Summer,8138,117,37.83,0.014377
2023-03-05,CA,Inspiration | Summer,7656,94,53.13,0.012278
2023-02-27,PN,Inspiration | Winter,8109,72,53.53,0.008879
2023-02-28,PN,Inspiration | Winter,6796,85,36.98,0.012507
2023-03-01,PN,Inspiration | Winter,8193,71,55.15,0.008666
2023-03-02,PN,Inspiration | Winter,6264,94,45.39,0.015006
2023-03-03,PN,Inspiration | Winter,7651,94,56.43,0.012286
2023-03-04,PN,Inspiration | Winter,6383,90,40.73,0.0141
2023-03-05,PN,Inspiration | Winter,7983,85,40.61,0.010648
2023-02-27,PN,Inspiration | Summer,5499,83,28.54,0.015094
2023-02-28,PN,Inspiration | Summer,4607,70,28.92,0.015194
2023-03-01,PN,Inspiration | Summer,5245,74,30.12,0.014109
2023-03-02,PN,Inspiration | Summer,5478,70,37.22,0.012778
2023-03-03,PN,Inspiration | Summer,6126,61,28.55,0.009958
2023-03-04,PN,Inspiration | Summer,6536,70,39.79,0.01071
2023-03-05,PN,Inspiration | Summer,6315,61,37.73,0.00966
2023-02-27,NE,Inspiration | Winter,7402,86,60.52,0.011618
2023-02-28,NE,Inspiration | Winter,8742,106,55.97,0.012125
2023-03-01,NE,Inspiration | Winter,8423,73,43.44,0.008667
2023-03-02,NE,Inspiration | Winter,6665,73,46.56,0.010953
2023-03-03,NE,Inspiration | Winter,7888,73,43.17,0.009255
2023-03-04,NE,Inspiration | Winter,8425,76,42.6,0.009021
2023-03-05,NE,Inspiration | Winter,7131,107,57.67,0.015005
2023-02-27,NE,Inspiration | Summer,6175,81,36.92,0.013117
2023-02-28,NE,Inspiration | Summer,5796,79,33.89,0.01363
2023-03-01,NE,Inspiration | Summer,8506,105,46.94,0.012344
2023-03-02,NE,Inspiration | Summer,6002,74,37.42,0.012329
2023-03-03,NE,Inspiration | Summer,6000,72,39.03,0.012
2023-03-04,NE,Inspiration | Summer,7390,82,44.85,0.011096
2023-03-05,NE,Inspiration | Summer,7306,97,34.57,0.013277
2023-03-06,CO,Inspiration | Winter,11683,115,83.64,0.009843
2023-03-07,CO,Inspiration | Winter,12689,133,69.55,0.010482
2023-03-08,CO,Inspiration | Winter,8905,131,72.71,0.014711
2023-03-09,CO,Inspiration | Winter,12173,103,70.82,0.008461
2023-03-10,CO,Inspiration | Winter,8271,117,81.2,0.014146
2023-03-11,CO,Inspiration | Winter,11806,95,59.28,0.008047
2023-03-12,CO,Inspiration | Winter,11681,97,56.92,0.008304
2023-03-06,CO,Inspiration | Summer,11421,130,45.5,0.011383
2023-03-07,CO,Inspiration | Summer,8215,132,63.26,0.016068
2023-03-08,CO,Inspiration | Summer,8852,113,64.0,0.012765
2023-03-09,CO,Inspiration | Summer,10388,128,57.1,0.012322
2023-03-10,CO,Inspiration | Summer,10835,100,51.16,0.009229
2023-03-11,CO,Inspiration | Summer,9599,118,50.28,0.012293
2023-03-12,CO,Inspiration | Summer,8852,126,64.04,0.014234
2023-03-06,UT,Inspiration | Winter,9134,97,45.98,0.01062
2023-03-07,UT,Inspiration | Winter,6613,114,44.86,0.017239
2023-03-08,UT,Inspiration | Winter,9027,93,58.94,0.010302
2023-03-09,UT,Inspiration | Winter,8506,77,61.84,0.009052
2023-03-10,UT,Inspiration | Winter,8827,103,57.78,0.011669
2023-03-11,UT,Inspiration | Winter,9109,98,58.24,0.010759
2023-03-12,UT,Inspiration | Winter,7579,107,48.64,0.014118
2023-03-06,UT,Inspiration | Summer,5809,71,39.21,0.012222
2023-03-07,UT,Inspiration | Summer,7032,93,38.15,0.013225
2023-03-08,UT,Inspiration | Summer,6444,62,33.6,0.009621
2023-03-09,UT,Inspiration | Summer,5541,73,31.95,0.013175
2023-03-10,UT,Inspiration | Summer,5346,71,32.05,0.013281
2023-03-11,UT,Inspiration | Summer,5483,81,34.57,0.014773
2023-03-12,UT,Inspiration | Summer,5684,88,30.24,0.015482
2023-03-06,CA,Inspiration | Winter,9684,103,57.72,0.010636
2023-03-07,CA,Inspiration | Winter,10433,100,47.48,0.009585
2023-03-08,CA,Inspiration | Winter,8051,96,57.83,0.011924
2023-03-09,CA,Inspiration | Winter,8870,103,59.63,0.011612
2023-03-10,CA,Inspiration | Winter,6907,85,49.96,0.012306
2023-03-11,CA,Inspiration | Winter,6776,81,60.98,0.011954
2023-03-12,CA,Inspiration | Winter,9809,73,53.79,0.007442
2023-03-06,CA,Inspiration | Summer,7233,92,47.05,0.012719
2023-03-07,CA,Inspiration | Summer,6125,80,34.3,0.013061
2023-03-08,CA,Inspiration | Summer,7157,90,46.73,0.012575
2023-03-09,CA,Inspiration | Summer,6480,87,33.68,0.013426
2023-03-10,CA,Inspiration | Summer,6234,91,40.16,0.014597
2023-03-11,CA,Inspiration | Summer,6990,113,34.66,0.016166
2023-03-12,CA,Inspiration | Summer,7240,97,38.68,0.013398
2023-03-06,PN,Inspiration | Winter,7977,69,56.04,0.00865
2023-03-07,PN,Inspiration | Winter,8886,81,50.2,0.009115
2023-03-08,PN,Inspiration | Winter,8752,97,62.51,0.011083
2023-03-09,PN,Inspiration | Winter,7265,95,45.55,0.013076
2023-03-10,PN,Inspiration | Winter,8407,98,49.41,0.011657
2023-03-11,PN,Inspiration | Winter,6069,102,41.56,0.016807
2023-03-12,PN,Inspiration | Winter,8462,73,51.98,0.008627
2023-03-06,PN,Inspiration | Summer,6097,76,37.12,0.012465
2023-03-07,PN,Inspiration | Summer,6858,82,28.17,0.011957
2023-03-08,PN,Inspiration | Summer,5472,72,35.84,0.013158
2023-03-09,PN,Inspiration | Summer,6622,103,32.93,0.015554
2023-03-10,PN,Inspiration | Summer,5058,73,36.48,0.014433
2023-03-11,PN,Inspiration | Summer,5895,74,36.38,0.012553
2023-03-12,PN,Inspiration | Summer,5534,82,33.98,0.014817
2023-03-06,NE,Inspiration | Winter,7372,83,48.45,0.011259
2023-03-07,NE,Inspiration | Winter,8929,95,59.06,0.010639
2023-03-08,NE,Inspiration | Winter,7530,90,59.65,0.011952
2023-03-09,NE,Inspiration | Winter,9807,98,60.65,0.009993
2023-03-10,NE,Inspiration | Winter,7617,103,46.61,0.013522
2023-03-11,NE,Inspiration | Winter,7969,80,55.51,0.010039
2023-03-12,NE,Inspiration | Winter,11010,74,55.57,0.006721
2023-03-06,NE,Inspiration | Summer,5741,78,34.0,0.013586
2023-03-07,NE,Inspiration | Summer,6937,86,35.59,0.012397
2023-03-08,NE,Inspiration | Summer,5744,83,32.1,0.01445
2023-03-09,NE,Inspiration | Summer,6029,63,40.0,0.010449
2023-03-10,NE,Inspiration | Summer,6918,97,36.4,0.014021
2023-03-11,NE,Inspiration | Summer,6728,92,42.06,0.013674
2023-03-12,NE,Inspiration | Summer,5842,65,34.7,0.011126
2023-03-13,CO,Inspiration | Winter,11412,159,83.99,0.013933
2023-03-14,CO,Inspiration | Winter,14334,168,84.56,0.01172
2023-03-15,CO,Inspiration | Winter,13686,133,64.4,0.009718
2023-03-16,CO,Inspiration | Winter,12987,138,67.61,0.010626
2023-03-17,CO,Inspiration | Winter,11822,127,87.26,0.010743
2023-03-18,CO,Inspiration | Winter,12819,136,81.9,0.010609
2023-03-19,CO,Inspiration | Winter,10244,157,89.02,0.015326
2023-03-13,CO,Inspiration | Summer,10868,176,67.08,0.016194
2023-03-14,CO,Inspiration | Summer,10921,144,64.82,0.013186
2023-03-15,CO,Inspiration | Summer,9611,128,59.73,0.013318
2023-03-16,CO,Inspiration | Summer,11067,139,59.98,0.01256
2023-03-17,CO,Inspiration | Summer,11587,124,64.76,0.010702
2023-03-18,CO,Inspiration | Summer,11300,134,61.13,0.011858
2023-03-19,CO,Inspiration | Summer,9481,143,56.55,0.015083
2023-03-13,UT,Inspiration | Winter,12378,111,64.43,0.008968
2023-03-14,UT,Inspiration | Winter,8665,112,71.79,0.012926
2023-03-15,UT,Inspiration | Winter,8773,109,59.62,0.012424
2023-03-16,UT,Inspiration | Winter,9395,97,56.68,0.010325
2023-03-17,UT,Inspiration | Winter,9790,133,75.12,0.013585
2023-03-18,UT,Inspiration | Winter,11035,108,76.34,0.009787
2023-03-19,UT,Inspiration | Winter,10901,104,50.02,0.00954
2023-03-13,UT,Inspiration | Summer,6923,86,37.87,0.012422
2023-03-14,UT,Inspiration | Summer,7927,81,49.65,0.010218
2023-03-15,UT,Inspiration | Summer,6510,88,35.36,0.013518
2023-03-16,UT,Inspiration | Summer,7498,108,46.62,0.014404
2023-03-17,UT,Inspiration | Summer,5272,100,34.05,0.018968
2023-03-18,UT,Inspiration | Summer,6006,104,34.59,0.017316
2023-03-19,UT,Inspiration | Summer,7922,85,40.6,0.01073
2023-03-13,CA,Inspiration | Winter,10840,114,64.27,0.010517
2023-03-14,CA,Inspiration | Winter,9503,93,71.65,0.009786
2023-03-15,CA,Inspiration | Winter,10927,89,61.37,0.008145
2023-03-16,CA,Inspiration | Winter,11081,119,56.12,0.010739
2023-03-17,CA,Inspiration | Winter,7203,117,56.86,0.016243
2023-03-18,CA,Inspiration | Winter,8011,86,56.33,0.010735
2023-03-19,CA,Inspiration | Winter,8726,85,57.67,0.009741
2023-03-13,CA,Inspiration | Summer,7626,83,40.77,0.010884
2023-03-14,CA,Inspiration | Summer,7071,80,36.0,0.011314
2023-03-15,CA,Inspiration | Summer,6554,95,42.08,0.014495
2023-03-16,CA,Inspiration | Summer,7740,96,31.81,0.012403
2023-03-17,CA,Inspiration | Summer,5964,80,41.34,0.013414
2023-03-18,CA,Inspiration | Summer,5585,95,41.53,0.01701
2023-03-19,CA,Inspiration | Summer,6703,67,40.49,0.009996
2023-03-13,PN,Inspiration | Winter,8724,92,64.13,0.010546
2023-03-14,PN,Inspiration | Winter,9163,98,63.13,0.010695
2023-03-15,PN,Inspiration | Winter,10730,108,70.49,0.010065
2023-03-16,PN,Inspiration | Winter,8269,118,55.28,0.01427
2023-03-17,PN,Inspiration | Winter,10158,107,55.39,0.010534
2023-03-18,PN,Inspiration | Winter,12135,124,68.26,0.010218
2023-03-19,PN,Inspiration | Winter,8222,104,54.66,0.012649
2023-03-13,PN,Inspiration | Summer,5957,106,51.54,0.017794
2023-03-14,PN,Inspiration | Summer,7003,90,36.28,0.012852
2023-03-15,PN,Inspiration | Summer,8822,97,41.05,0.010995
2023-03-16,PN,Inspiration | Summer,6740,79,41.78,0.011721
2023-03-17,PN,Inspiration | Summer,7420,76,50.96,0.010243
2023-03-18,PN,Inspiration | Summer,7569,96,37.51,0.012683
2023-03-19,PN,Inspiration | Summer,7076,111,34.28,0.015687
2023-03-13,NE,Inspiration | Winter,8322,78,50.76,0.009373
2023-03-14,NE,Inspiration | Winter,8929,87,55.99,0.009744
2023-03-15,NE,Inspiration | Winter,7674,103,54.74,0.013422
