week_start,geo,snowfall_index,temperature_f,precipitation_index
2023-11-13,PN,31.502,41.11,1.115
2023-11-13,NE,35.4,35.61,1.061
2023-11-20,CO,36.877,35.26,0.602
2023-11-20,UT,40.26,38.93,0.911
2023-11-20,CA,27.402,37.21,0.862
2023-11-20,PN,35.582,39.04,0.975
2023-11-20,NE,38.672,36.68,1.165
2023-11-27,CO,42.804,37.17,0.683
2023-11-27,UT,44.619,36.16,0.799
2023-11-27,CA,27.544,36.54,0.734
2023-11-27,PN,37.241,37.2,1.077
2023-11-27,NE,37.264,40.39,1.057
2023-12-04,CO,46.049,25.16,1.184
2023-12-04,UT,46.815,25.16,0.899
2023-12-04,CA,31.527,29.55,0.773
2023-12-04,PN,37.106,28.61,1.092
2023-12-04,NE,38.099,27.9,0.883
2023-12-11,CO,45.503,21.37,1.261
2023-12-11,UT,44.293,26.8,1.023
2023-12-11,CA,31.969,30.43,1.373
2023-12-11,PN,38.432,28.07,1.294
2023-12-11,NE,45.298,27.18,1.238
2023-12-18,CO,49.907,24.03,1.467
2023-12-18,UT,49.832,25.7,1.453
2023-12-18,CA,36.665,30.19,1.245
2023-12-18,PN,41.26,29.02,1.436
2023-12-18,NE,47.023,27.66,1.532
2023-12-25,CO,52.889,26.1,1.191
2023-12-25,UT,49.855,22.12,1.408
2023-12-25,CA,42.524,30.68,1.188
2023-12-25,PN,42.901,29.05,1.58
2023-12-25,NE,46.302,24.66,1.113
2024-01-01,CO,61.693,22.97,1.646
2024-01-01,UT,60.294,23.05,1.35
2024-01-01,CA,40.176,29.41,1.734
2024-01-01,PN,50.09,29.14,1.642
2024-01-01,NE,53.558,26.08,1.369
2024-01-08,CO,63.79,26.62,1.684
2024-01-08,UT,61.748,27.76,1.711
2024-01-08,CA,45.652,34.16,1.61
2024-01-08,PN,48.169,29.5,1.537
2024-01-08,NE,50.936,25.29,1.632
2024-01-15,CO,66.271,25.03,1.831
2024-01-15,UT,60.612,27.73,1.63
2024-01-15,CA,46.868,30.09,1.794
2024-01-15,PN,51.34,29.45,1.674
2024-01-15,NE,53.925,27.87,1.43
2024-01-22,CO,70.122,25.82,1.854
2024-01-22,UT,68.452,22.73,1.889
2024-01-22,CA,49.045,32.15,1.939
2024-01-22,PN,57.145,27.57,1.496
2024-01-22,NE,59.234,29.72,1.873
2024-01-29,CO,70.484,24.86,1.976
2024-01-29,UT,66.386,24.21,1.575
2024-01-29,CA,48.344,34.4,1.633
2024-01-29,PN,58.316,27.58,1.522
2024-01-29,NE,61.738,30.31,1.641
2024-02-05,CO,72.748,25.48,1.673
2024-02-05,UT,68.631,26.47,1.829
2024-02-05,CA,51.149,29.99,2.014
2024-02-05,PN,57.626,26.58,2.139
2024-02-05,NE,64.732,25.47,1.877
2024-02-12,CO,72.962,24.89,1.791
2024-02-12,UT,71.203,24.98,1.687
2024-02-12,CA,49.956,33.16,1.861
2024-02-12,PN,55.856,27.73,2.134
2024-02-12,NE,61.328,26.76,1.815
2024-02-19,CO,79.516,25.82,1.867
2024-02-19,UT,71.331,24.67,2.025
2024-02-19,CA,50.449,34.29,2.001
2024-02-19,PN,60.148,30.2,1.927
2024-02-19,NE,62.516,27.03,1.822
2024-02-26,CO,74.74,22.24,1.987
2024-02-26,UT,75.238,25.25,1.857
2024-02-26,CA,47.282,33.87,1.873
2024-02-26,PN,64.126,26.1,2.346
2024-02-26,NE,68.322,27.8,2.31
2024-03-04,CO,80.427,38.04,2.1
2024-03-04,UT,77.578,39.13,2.055
2024-03-04,CA,50.035,38.22,2.388
2024-03-04,PN,62.832,38.41,2.24
2024-03-04,NE,69.522,37.98,2.25
2024-03-11,CO,81.5,40.44,2.173
2024-03-11,UT,75.233,36.08,1.91
2024-03-11,CA,52.417,37.26,2.178
2024-03-11,PN,66.215,35.96,2.059
2024-03-11,NE,69.526,39.95,2.409
2024-03-18,CO,78.354,38.14,2.189
2024-03-18,UT,75.14,37.8,2.13
2024-03-18,CA,53.158,41.63,2.269
2024-03-18,PN,63.466,40.87,1.963
2024-03-18,NE,70.994,41.18,2.303
2024-03-25,CO,81.901,39.11,2.451
2024-03-25,UT,79.396,36.83,2.451
2024-03-25,CA,52.221,38.43,2.102
2024-03-25,PN,66.237,40.13,2.386
2024-03-25,NE,71.109,38.08,2.063
2024-04-01,CO,26.575,36.42,2.496
2024-04-01,UT,31.936,37.55,1.988
2024-04-01,CA,20.877,41.83,2.325
2024-04-01,PN,24.712,37.37,2.432
2024-04-01,NE,28.528,38.84,2.297
2024-04-08,CO,29.788,35.97,2.368
2024-04-08,UT,25.94,36.74,2.124
2024-04-08,CA,25.672,39.65,1.935
2024-04-08,PN,22.385,36.61,2.46
2024-04-08,NE,29.455,40.01,2.008
2024-04-15,CO,28.641,36.44,2.262
2024-04-15,UT,31.954,36.65,2.246
2024-04-15,CA,21.966,39.12,2.393
2024-04-15,PN,22.917,40.23,1.95
2024-04-15,NE,25.787,35.42,2.358
2024-04-22,CO,30.681,35.97,2.001
2024-04-22,UT,30.813,39.56,1.949
2024-04-22,CA,25.272,41.47,1.878
2024-04-22,PN,26.426,38.56,2.021
2024-04-22,NE,25.137,36.42,2.016
2024-04-29,CO,29.189,35.34,2.182
2024-04-29,UT,24.597,38.99,1.908
2024-04-29,CA,26.355,42.13,2.053
2024-04-29,PN,21.587,39.9,2.19
2024-04-29,NE,28.734,36.71,2.209
2024-05-06,CO,28.384,37.64,2.205
2024-05-06,UT,29.746,38.32,1.849
2024-05-06,CA,21.545,39.13,1.9
2024-05-06,PN,27.265,36.91,1.873
2024-05-06,NE,22.051,36.34,2.005
2024-05-13,CO,26.823,40.13,1.982
2024-05-13,UT,25.548,39.33,1.732
2024-05-13,CA,24.748,38.32,1.903
2024-05-13,PN,21.059,36.91,2.017
2024-05-13,NE,27.79,37.86,2.147
2024-05-20,CO,27.783,37.83,1.998
2024-05-20,UT,23.973,40.47,2.164
2024-05-20,CA,18.899,38.43,1.634
2024-05-20,PN,27.265,37.38,1.775
2024-05-20,NE,28.158,35.43,2.015
2024-05-27,CO,27.661,36.24,1.677
2024-05-27,UT,23.174,37.26,1.786
2024-05-27,CA,26.106,41.58,2.045
2024-05-27,PN,26.512,39.87,1.941
2024-05-27,NE,21.38,38.59,1.906
2024-06-03,CO,27.468,39.36,1.617
2024-06-03,UT,26.477,39.41,1.553
2024-06-03,CA,25.332,37.08,1.9
2024-06-03,PN,24.472,35.91,1.821
2024-06-03,NE,23.459,37.71,1.641
2024-06-10,CO,22.863,38.21,1.657
2024-06-10,UT,24.453,37.42,1.709
2024-06-10,CA,21.216,40.89,1.636
2024-06-10,PN,22.712,39.19,1.47
2024-06-10,NE,21.392,39.86,1.428
2024-06-17,CO,22.599,35.96,1.36
2024-06-17,UT,20.632,39.51,1.774
2024-06-17,CA,17.777,37.53,1.624
2024-06-17,PN,21.643,40.01,1.818
2024-06-17,NE,20.856,40.53,1.612
2024-06-24,CO,26.686,37.4,1.532
2024-06-24,UT,26.418,37.43,1.607
2024-06-24,CA,19.849,41.82,1.515
2024-06-24,PN,23.877,37.52,1.691
2024-06-24,NE,23.65,40.63,1.3
2024-07-01,CO,21.308,36.52,1.348
2024-07-01,UT,24.059,40.17,1.598
2024-07-01,CA,22.326,39.99,1.118
2024-07-01,PN,19.304,38.82,1.553
2024-07-01,NE,20.2,35.41,1.14
2024-07-08,CO,19.367,38.45,1.443
2024-07-08,UT,18.799,37.94,1.2
2024-07-08,CA,20.511,41.78,1.119
2024-07-08,PN,20.221,37.23,1.136
2024-07-08,NE,21.394,41.15,1.5
2024-07-15,CO,21.047,35.14,1.337
2024-07-15,UT,18.113,35.33,0.89
2024-07-15,CA,22.073,41.96,1.101
2024-07-15,PN,20.762,37.72,1.279
2024-07-15,NE,20.965,38.69,1.192
2024-07-22,CO,22.037,36.46,1.185
2024-07-22,UT,17.587,40.54,1.102
2024-07-22,CA,20.469,38.68,1.039
2024-07-22,PN,17.259,40.35,0.944
2024-07-22,NE,24.193,39.48,0.776
2024-07-29,CO,20.973,37.6,0.762
2024-07-29,UT,21.471,40.51,1.039
2024-07-29,CA,19.265,41.53,1.105
2024-07-29,PN,18.705,38.53,0.888
2024-07-29,NE,22.421,38.27,0.926
2024-08-05,CO,18.249,38.63,1.185
2024-08-05,UT,18.824,40.0,0.637
2024-08-05,CA,21.783,40.67,1.105
2024-08-05,PN,18.239,37.22,0.644
2024-08-05,NE,20.175,39.49,0.912
2024-08-12,CO,23.477,38.75,1.028
2024-08-12,UT,18.993,38.7,0.645
2024-08-12,CA,15.668,38.0,0.617
2024-08-12,PN,21.25,40.51,0.562
2024-08-12,NE,21.246,37.4,0.609
2024-08-19,CO,21.449,39.35,0.87
2024-08-19,UT,17.611,35.73,0.584
2024-08-19,CA,19.423,42.32,0.638
2024-08-19,PN,18.844,37.17,0.791
2024-08-19,NE,16.573,36.19,0.828
2024-08-26,CO,22.294,36.0,0.891
2024-08-26,UT,19.134,38.5,0.589
2024-08-26,CA,20.982,40.4,0.462
2024-08-26,PN,18.919,36.81,0.98
2024-08-26,NE,16.484,38.58,0.655
2024-09-02,CO,20.126,38.51,0.948
2024-09-02,UT,18.63,35.46,0.749
2024-09-02,CA,15.383,42.31,0.668
2024-09-02,PN,18.602,37.88,0.542
2024-09-02,NE,18.627,40.43,0.381
2024-09-09,CO,23.034,39.14,0.872
2024-09-09,UT,18.755,38.37,0.544
2024-09-09,CA,18.889,40.96,0.346
2024-09-09,PN,19.133,36.13,0.469
2024-09-09,NE,21.481,40.48,0.395
2024-09-16,CO,21.579,34.72,0.521
2024-09-16,UT,17.545,36.64,0.424
2024-09-16,CA,21.348,39.18,0.552
2024-09-16,PN,21.551,40.74,0.491
2024-09-16,NE,20.983,35.72,0.612
2024-09-23,CO,22.512,38.24,0.756
2024-09-23,UT,21.003,39.61,0.649
2024-09-23,CA,22.111,38.09,0.86
2024-09-23,PN,19.979,36.56,0.48
2024-09-23,NE,20.609,40.81,0.487
2024-09-30,CO,18.126,37.64,0.811
2024-09-30,UT,16.49,34.98,0.728
2024-09-30,CA,18.722,41.35,0.466
2024-09-30,PN,16.766,39.75,0.406
2024-09-30,NE,20.856,36.82,0.572
2024-10-07,CO,17.67,34.9,0.333
2024-10-07,UT,18.736,35.52,0.828
2024-10-07,CA,18.164,36.86,0.838
2024-10-07,PN,18.784,39.76,0.359
2024-10-07,NE,23.019,36.53,0.523
2024-10-14,CO,17.447,35.77,0.612
2024-10-14,UT,23.578,38.61,0.43
2024-10-14,CA,17.239,38.09,0.597
2024-10-14,PN,17.907,40.64,0.422
2024-10-14,NE,19.536,39.81,0.825
2024-10-21,CO,17.479,39.74,0.73
2024-10-21,UT,22.339,38.16,0.438
2024-10-21,CA,21.161,42.25,0.894
2024-10-21,PN,19.303,39.06,0.4
2024-10-21,NE,19.573,39.24,0.74
2024-10-28,CO,23.923,37.13,0.774
2024-10-28,UT,20.647,38.94,0.409
2024-10-28,CA,15.491,37.06,0.718
2024-10-28,PN,17.883,41.22,0.79
2024-10-28,NE,22.843,40.2,0.581
2024-11-04,CO,34.366,39.36,0.867
2024-11-04,UT,34.159,35.19,0.953
2024-11-04,CA,23.602,41.87,0.814
2024-11-04,PN,30.151,40.19,1.012
2024-11-04,NE,33.398,41.4,0.839
2024-11-11,CO,36.455,34.63,1.087
2024-11-11,UT,36.574,37.07,0.669
2024-11-11,CA,26.806,39.93,0.988
2024-11-11,PN,33.214,40.93,0.755
2024-11-11,NE,30.599,37.6,0.788
2024-11-18,CO,39.472,35.54,0.825
2024-11-18,UT,37.449,40.06,0.88
2024-11-18,CA,28.163,36.65,0.725
2024-11-18,PN,35.001,38.04,0.737
2024-11-18,NE,31.346,38.17,1.008
2024-11-25,CO,38.96,34.57,1.177
2024-11-25,UT,44.009,35.85,1.059
2024-11-25,CA,33.943,39.94,1.028
2024-11-25,PN,33.654,40.51,0.737
2024-11-25,NE,40.382,35.82,1.023
2024-12-02,CO,47.79,21.86,1.074
2024-12-02,UT,42.487,25.37,1.011
2024-12-02,CA,36.813,29.72,0.993
2024-12-02,PN,39.602,27.68,0.816
2024-12-02,NE,43.27,27.9,1.363
2024-12-09,CO,49.468,26.61,1.349
2024-12-09,UT,45.93,27.35,1.414
2024-12-09,CA,38.438,29.27,0.966
2024-12-09,PN,42.949,31.4,1.362
2024-12-09,NE,45.624,28.5,0.932
2024-12-16,CO,51.069,26.3,1.254
2024-12-16,UT,49.521,26.89,1.326
2024-12-16,CA,37.863,34.8,1.27
2024-12-16,PN,46.439,26.5,1.531
2024-12-16,NE,42.488,26.95,1.087
2024-12-23,CO,55.556,25.58,1.43
2024-12-23,UT,53.451,22.36,1.158
2024-12-23,CA,40.668,32.4,1.042
2024-12-23,PN,41.976,26.94,1.166
2024-12-23,NE,51.201,27.61,1.4
2024-12-30,CO,55.235,21.11,1.201
2024-12-30,UT,54.505,24.59,1.43
2024-12-30,CA,37.739,31.95,1.347
2024-12-30,PN,49.279,27.97,1.525
2024-12-30,NE,47.625,29.52,1.265
2025-01-06,CO,65.287,26.51,1.465
2025-01-06,UT,58.455,24.41,1.4
2025-01-06,CA,43.788,31.65,1.382
2025-01-06,PN,49.062,31.28,1.454
2025-01-06,NE,53.636,29.08,1.751
2025-01-13,CO,67.27,21.09,1.715
2025-01-13,UT,61.589,22.12,1.521
2025-01-13,CA,47.839,32.5,1.451
2025-01-13,PN,52.346,30.35,1.737
2025-01-13,NE,57.275,27.97,1.693
2025-01-20,CO,64.199,22.57,1.941
2025-01-20,UT,63.922,24.33,1.81
2025-01-20,CA,42.593,31.37,1.655
2025-01-20,PN,53.261,29.17,1.51
2025-01-20,NE,56.411,28.41,1.482
2025-01-27,CO,66.683,24.35,1.767
2025-01-27,UT,68.618,22.33,2.035
2025-01-27,CA,49.71,33.68,1.668
2025-01-27,PN,52.218,31.62,1.554
2025-01-27,NE,58.129,25.17,1.945
2025-02-03,CO,70.312,22.48,1.594
2025-02-03,UT,73.031,26.72,1.669
2025-02-03,CA,46.715,32.03,1.99
2025-02-03,PN,59.66,31.53,1.708
2025-02-03,NE,63.307,30.59,2.057
2025-02-10,CO,72.102,21.59,1.966
2025-02-10,UT,75.921,26.42,2.077
2025-02-10,CA,52.27,32.2,2.19
2025-02-10,PN,57.925,27.19,2.119
2025-02-10,NE,61.341,24.74,2.056
2025-02-17,CO,76.628,23.99,2.24
2025-02-17,UT,73.791,26.57,2.025
2025-02-17,CA,48.537,30.44,2.069
2025-02-17,PN,58.669,28.04,1.829
2025-02-17,NE,61.824,27.9,1.886
2025-02-24,CO,75.699,23.7,2.106
2025-02-24,UT,75.734,26.32,2.327
2025-02-24,CA,50.258,32.06,1.888
2025-02-24,PN,63.678,30.82,2.368
2025-02-24,NE,66.539,27.63,1.868
2025-03-03,CO,75.973,37.42,2.373
2025-03-03,UT,73.573,36.81,2.315
2025-03-03,CA,49.941,36.94,2.318
2025-03-03,PN,61.836,41.74,1.968
2025-03-03,NE,69.675,41.03,2.275
2025-03-10,CO,80.228,37.51,2.381
2025-03-10,UT,79.52,40.35,2.293
2025-03-10,CA,48.21,41.94,2.409
2025-03-10,PN,65.964,40.18,2.009
2025-03-10,NE,70.277,35.63,2.256
2025-03-17,CO,78.72,35.03,1.996
2025-03-17,UT,79.184,40.54,1.975
2025-03-17,CA,50.323,36.86,2.239
2025-03-17,PN,58.651,37.33,2.311
2025-03-17,NE,71.392,39.39,1.996
2025-03-24,CO,80.263,35.32,1.909
2025-03-24,UT,78.461,38.35,2.456
2025-03-24,CA,55.783,40.76,2.19
2025-03-24,PN,64.408,41.63,2.206
2025-03-24,NE,69.53,39.95,1.997
2025-03-31,CO,81.267,36.92,2.283
2025-03-31,UT,78.454,35.76,2.25
2025-03-31,CA,53.919,37.23,2.275
2025-03-31,PN,61.918,35.79,2.465
2025-03-31,NE,65.487,39.81,2.288
2025-04-07,CO,32.334,38.53,2.492
2025-04-07,UT,31.515,38.42,2.325
2025-04-07,CA,25.177,37.77,2.082
