week_start,geo,adr_price_index
2023-08-28,CO,93.524
2023-08-28,UT,92.22
2023-08-28,CA,92.435
2023-08-28,PN,92.603
2023-08-28,NE,94.05
2023-09-04,CO,97.607
2023-09-04,UT,97.01
2023-09-04,CA,97.127
2023-09-04,PN,99.836
2023-09-04,NE,97.18
2023-09-11,CO,94.663
2023-09-11,UT,94.998
2023-09-11,CA,95.066
2023-09-11,PN,94.339
2023-09-11,NE,94.863
2023-09-18,CO,96.898
2023-09-18,UT,97.029
2023-09-18,CA,95.734
2023-09-18,PN,98.066
2023-09-18,NE,96.354
2023-09-25,CO,98.122
2023-09-25,UT,98.646
2023-09-25,CA,98.482
2023-09-25,PN,97.5
2023-09-25,NE,98.134
2023-10-02,CO,98.539
2023-10-02,UT,101.76
2023-10-02,CA,101.021
2023-10-02,PN,100.196
2023-10-02,NE,99.1
2023-10-09,CO,102.982
2023-10-09,UT,101.941
2023-10-09,CA,100.679
2023-10-09,PN,102.737
2023-10-09,NE,102.971
2023-10-16,CO,104.332
2023-10-16,UT,104.817
2023-10-16,CA,104.088
2023-10-16,PN,103.229
2023-10-16,NE,105.035
2023-10-23,CO,99.747
2023-10-23,UT,98.144
2023-10-23,CA,99.621
2023-10-23,PN,98.349
2023-10-23,NE,98.089
2023-10-30,CO,106.138
2023-10-30,UT,106.846
2023-10-30,CA,105.892
2023-10-30,PN,106.463
2023-10-30,NE,106.697
2023-11-06,CO,107.379
2023-11-06,UT,110.139
2023-11-06,CA,108.225
2023-11-06,PN,109.903
2023-11-06,NE,108.677
2023-11-13,CO,109.438
2023-11-13,UT,109.276
2023-11-13,CA,109.058
2023-11-13,PN,110.357
2023-11-13,NE,110.072
2023-11-20,CO,109.217
2023-11-20,UT,108.233
2023-11-20,CA,108.632
2023-11-20,PN,110.153
2023-11-20,NE,108.495
2023-11-27,CO,117.531
2023-11-27,UT,116.627
2023-11-27,CA,118.289
2023-11-27,PN,118.49
2023-11-27,NE,116.156
2023-12-04,CO,105.798
2023-12-04,UT,107.01
2023-12-04,CA,107.85
2023-12-04,PN,106.293
2023-12-04,NE,107.054
2023-12-11,CO,115.161
2023-12-11,UT,114.736
2023-12-11,CA,113.396
2023-12-11,PN,115.794
2023-12-11,NE,115.162
2023-12-18,CO,115.807
2023-12-18,UT,116.225
2023-12-18,CA,113.415
2023-12-18,PN,113.967
2023-12-18,NE,113.418
2023-12-25,CO,118.713
2023-12-25,UT,119.171
2023-12-25,CA,121.294
2023-12-25,PN,120.901
2023-12-25,NE,118.464
2024-01-01,CO,114.974
2024-01-01,UT,114.25
2024-01-01,CA,112.856
2024-01-01,PN,115.564
2024-01-01,NE,115.412
2024-01-08,CO,114.051
2024-01-08,UT,114.688
2024-01-08,CA,116.261
2024-01-08,PN,114.256
2024-01-08,NE,115.345
2024-01-15,CO,116.91
2024-01-15,UT,116.82
2024-01-15,CA,116.789
2024-01-15,PN,114.993
2024-01-15,NE,116.641
2024-01-22,CO,114.28
2024-01-22,UT,116.518
2024-01-22,CA,114.734
2024-01-22,PN,114.383
2024-01-22,NE,115.278
2024-01-29,CO,114.806
2024-01-29,UT,113.189
2024-01-29,CA,115.378
2024-01-29,PN,114.24
2024-01-29,NE,116.474
2024-02-05,CO,108.249
2024-02-05,UT,107.04
2024-02-05,CA,109.656
2024-02-05,PN,107.102
2024-02-05,NE,107.658
2024-02-12,CO,119.234
2024-02-12,UT,119.438
2024-02-12,CA,117.966
2024-02-12,PN,118.855
2024-02-12,NE,118.008
2024-02-19,CO,115.9
2024-02-19,UT,115.947
2024-02-19,CA,116.46
2024-02-19,PN,116.112
2024-02-19,NE,116.016
2024-02-26,CO,111.649
2024-02-26,UT,110.918
2024-02-26,CA,110.153
2024-02-26,PN,112.533
2024-02-26,NE,111.937
2024-03-04,CO,110.738
2024-03-04,UT,109.55
2024-03-04,CA,110.647
2024-03-04,PN,111.074
2024-03-04,NE,109.12
2024-03-11,CO,110.327
2024-03-11,UT,107.985
2024-03-11,CA,109.004
2024-03-11,PN,108.717
2024-03-11,NE,109.014
2024-03-18,CO,108.325
2024-03-18,UT,107.166
2024-03-18,CA,108.087
2024-03-18,PN,108.095
2024-03-18,NE,108.875
2024-03-25,CO,104.456
2024-03-25,UT,106.268
2024-03-25,CA,104.537
2024-03-25,PN,106.672
2024-03-25,NE,105.268
2024-04-01,CO,105.164
2024-04-01,UT,102.882
2024-04-01,CA,104.98
2024-04-01,PN,105.199
2024-04-01,NE,105.418
2024-04-08,CO,101.364
2024-04-08,UT,102.314
2024-04-08,CA,102.04
2024-04-08,PN,103.137
2024-04-08,NE,102.603
2024-04-15,CO,99.728
2024-04-15,UT,102.569
2024-04-15,CA,100.576
2024-04-15,PN,102.101
2024-04-15,NE,100.275
2024-04-22,CO,98.553
2024-04-22,UT,100.221
2024-04-22,CA,100.03
2024-04-22,PN,97.498
2024-04-22,NE,99.519
2024-04-29,CO,97.438
2024-04-29,UT,96.294
2024-04-29,CA,97.458
2024-04-29,PN,98.225
2024-04-29,NE,97.902
2024-05-06,CO,95.961
2024-05-06,UT,97.651
2024-05-06,CA,97.071
2024-05-06,PN,95.556
2024-05-06,NE,94.277
2024-05-13,CO,92.982
2024-05-13,UT,96.019
2024-05-13,CA,95.39
2024-05-13,PN,95.365
2024-05-13,NE,93.036
2024-05-20,CO,94.181
2024-05-20,UT,92.685
2024-05-20,CA,92.779
2024-05-20,PN,91.849
2024-05-20,NE,94.241
2024-05-27,CO,96.881
2024-05-27,UT,95.017
2024-05-27,CA,97.515
2024-05-27,PN,97.492
2024-05-27,NE,94.535
2024-06-03,CO,92.164
2024-06-03,UT,90.362
2024-06-03,CA,90.346
2024-06-03,PN,91.712
2024-06-03,NE,90.324
2024-06-10,CO,90.565
2024-06-10,UT,89.09
2024-06-10,CA,88.477
2024-06-10,PN,91.036
2024-06-10,NE,88.614
2024-06-17,CO,83.882
2024-06-17,UT,82.703
2024-06-17,CA,82.257
2024-06-17,PN,84.169
2024-06-17,NE,84.226
2024-06-24,CO,88.458
2024-06-24,UT,89.492
2024-06-24,CA,90.226
2024-06-24,PN,89.593
2024-06-24,NE,89.869
2024-07-01,CO,87.786
2024-07-01,UT,87.191
2024-07-01,CA,88.587
2024-07-01,PN,86.552
2024-07-01,NE,87.547
2024-07-08,CO,88.379
2024-07-08,UT,89.071
2024-07-08,CA,88.704
2024-07-08,PN,87.632
2024-07-08,NE,87.005
2024-07-15,CO,86.534
2024-07-15,UT,86.712
2024-07-15,CA,89.589
2024-07-15,PN,87.53
2024-07-15,NE,88.175
2024-07-22,CO,87.21
2024-07-22,UT,88.608
2024-07-22,CA,86.714
2024-07-22,PN,87.755
2024-07-22,NE,87.738
2024-07-29,CO,88.698
2024-07-29,UT,89.901
2024-07-29,CA,89.357
2024-07-29,PN,89.766
2024-07-29,NE,88.074
2024-08-05,CO,88.649
2024-08-05,UT,89.787
2024-08-05,CA,89.224
2024-08-05,PN,90.127
2024-08-05,NE,88.194
2024-08-12,CO,90.774
2024-08-12,UT,90.277
2024-08-12,CA,91.016
2024-08-12,PN,89.554
2024-08-12,NE,89.237
2024-08-19,CO,90.887
2024-08-19,UT,92.281
2024-08-19,CA,89.725
2024-08-19,PN,90.237
2024-08-19,NE,91.524
2024-08-26,CO,86.533
2024-08-26,UT,86.0
2024-08-26,CA,86.48
2024-08-26,PN,87.431
2024-08-26,NE,85.154
2024-09-02,CO,97.701
2024-09-02,UT,99.001
2024-09-02,CA,98.562
2024-09-02,PN,99.6
2024-09-02,NE,97.757
2024-09-09,CO,95.06
2024-09-09,UT,96.605
2024-09-09,CA,96.76
2024-09-09,PN,95.293
2024-09-09,NE,95.109
2024-09-16,CO,96.416
2024-09-16,UT,97.369
2024-09-16,CA,96.227
2024-09-16,PN,97.736
2024-09-16,NE,97.055
2024-09-23,CO,98.265
2024-09-23,UT,97.939
2024-09-23,CA,98.738
2024-09-23,PN,99.19
2024-09-23,NE,100.026
2024-09-30,CO,100.035
2024-09-30,UT,99.852
2024-09-30,CA,98.836
2024-09-30,PN,99.232
2024-09-30,NE,100.216
2024-10-07,CO,101.637
2024-10-07,UT,102.815
2024-10-07,CA,100.487
2024-10-07,PN,103.268
2024-10-07,NE,102.658
2024-10-14,CO,103.167
2024-10-14,UT,104.732
2024-10-14,CA,102.402
2024-10-14,PN,103.972
2024-10-14,NE,102.879
2024-10-21,CO,105.369
2024-10-21,UT,104.409
2024-10-21,CA,104.03
2024-10-21,PN,104.733
2024-10-21,NE,103.879
2024-10-28,CO,106.996
2024-10-28,UT,107.057
2024-10-28,CA,107.601
2024-10-28,PN,106.768
2024-10-28,NE,105.667
2024-11-04,CO,109.168
2024-11-04,UT,108.68
2024-11-04,CA,108.487
2024-11-04,PN,108.448
2024-11-04,NE,109.521
2024-11-11,CO,109.939
2024-11-11,UT,111.303
2024-11-11,CA,109.249
2024-11-11,PN,109.908
2024-11-11,NE,111.345
2024-11-18,CO,110.532
2024-11-18,UT,111.149
2024-11-18,CA,110.056
2024-11-18,PN,110.589
2024-11-18,NE,111.321
2024-11-25,CO,115.677
2024-11-25,UT,116.043
2024-11-25,CA,116.934
2024-11-25,PN,117.101
2024-11-25,NE,116.817
2024-12-02,CO,114.353
2024-12-02,UT,113.085
2024-12-02,CA,114.27
2024-12-02,PN,113.087
2024-12-02,NE,112.751
2024-12-09,CO,115.265
2024-12-09,UT,114.444
2024-12-09,CA,114.717
2024-12-09,PN,112.73
2024-12-09,NE,114.468
2024-12-16,CO,108.876
2024-12-16,UT,109.062
2024-12-16,CA,107.527
2024-12-16,PN,110.49
2024-12-16,NE,107.946
2024-12-23,CO,120.711
2024-12-23,UT,118.382
2024-12-23,CA,118.112
2024-12-23,PN,119.748
2024-12-23,NE,120.008
2024-12-30,CO,114.593
2024-12-30,UT,113.485
2024-12-30,CA,114.72
2024-12-30,PN,114.652
2024-12-30,NE,112.803
2025-01-06,CO,118.752
2025-01-06,UT,119.152
2025-01-06,CA,119.503
2025-01-06,PN,120.115
2025-01-06,NE,121.016
2025-01-13,CO,117.305
2025-01-13,UT,116.71
2025-01-13,CA,117.481
2025-01-13,PN,114.598
2025-01-13,NE,114.655
2025-01-20,CO,114.039
2025-01-20,UT,114.632
2025-01-20,CA,115.869
2025-01-20,PN,115.965
2025-01-20,NE,116.407
2025-01-27,CO,114.501
2025-01-27,UT,116.187
2025-01-27,CA,116.269
2025-01-27,PN,114.0
2025-01-27,NE,113.331
2025-02-03,CO,114.673
2025-02-03,UT,115.579
2025-02-03,CA,114.814
2025-02-03,PN,113.005
2025-02-03,NE,113.333
2025-02-10,CO,112.673
2025-02-10,UT,112.192
2025-02-10,CA,114.491
2025-02-10,PN,112.587
2025-02-10,NE,113.735
2025-02-17,CO,110.691
2025-02-17,UT,110.683
2025-02-17,CA,110.554
2025-02-17,PN,111.013
2025-02-17,NE,111.281
2025-02-24,CO,110.212
2025-02-24,UT,111.468
2025-02-24,CA,111.441
2025-02-24,PN,109.965
2025-02-24,NE,110.712
2025-03-03,CO,111.586
2025-03-03,UT,111.8
2025-03-03,CA,109.863
2025-03-03,PN,110.841
2025-03-03,NE,111.123
2025-03-10,CO,110.657
2025-03-10,UT,110.269
2025-03-10,CA,110.361
2025-03-10,PN,109.398
2025-03-10,NE,108.591
2025-03-17,CO,107.678
2025-03-17,UT,107.897
2025-03-17,CA,106.885
2025-03-17,PN,108.134
2025-03-17,NE,106.617
2025-03-24,CO,106.764
2025-03-24,UT,104.332
2025-03-24,CA,106.703
2025-03-24,PN,104.799
2025-03-24,NE,106.901
2025-03-31,CO,105.516
2025-03-31,UT,103.67
2025-03-31,CA,103.787
2025-03-31,PN,105.409
2025-03-31,NE,105.121
2025-04-07,CO,103.849
2025-04-07,UT,101.744
2025-04-07,CA,102.623
2025-04-07,PN,103.52
2025-04-07,NE,101.981
2025-04-14,CO,100.695
2025-04-14,UT,100.786
2025-04-14,CA,99.357
2025-04-14,PN,100.648
2025-04-14,NE,101.49
2025-04-21,CO,100.24
2025-04-21,UT,97.882
2025-04-21,CA,100.221
2025-04-21,PN,99.383
2025-04-21,NE,98.822
2025-04-28,CO,96.533
2025-04-28,UT,97.125
2025-04-28,CA,95.723
2025-04-28,PN,96.712
2025-04-28,NE,97.251
2025-05-05,CO,97.304
2025-05-05,UT,96.55
2025-05-05,CA,95.643
2025-05-05,PN,96.92
2025-05-05,NE,96.396
2025-05-12,CO,95.176
2025-05-12,UT,94.581
2025-05-12,CA,93.717
2025-05-12,PN,95.819
2025-05-12,NE,95.405
2025-05-19,CO,93.093
2025-05-19,UT,92.292
2025-05-19,CA,93.968
2025-05-19,PN,93.82
2025-05-19,NE,93.866
2025-05-26,CO,96.148
2025-05-26,UT,96.127
2025-05-26,CA,94.735
2025-05-26,PN,96.391
2025-05-26,NE,96.392
2025-06-02,CO,84.9
2025-06-02,UT,84.08
2025-06-02,CA,85.301
2025-06-02,PN,83.716
2025-06-02,NE,85.766
2025-06-09,CO,91.09
2025-06-09,UT,90.479
2025-06-09,CA,89.569
2025-06-09,PN,90.211
2025-06-09,NE,90.846
2025-06-16,CO,87.732
2025-06-16,UT,90.215
2025-06-16,CA,90.232
2025-06-16,PN,89.22
2025-06-16,NE,87.616
2025-06-23,CO,87.885
2025-06-23,UT,88.952
2025-06-23,CA,87.625
2025-06-23,PN,89.791
2025-06-23,NE,88.675
2025-06-30,CO,87.468
2025-06-30,UT,87.706
2025-06-30,CA,89.126
2025-06-30,PN,88.993
2025-06-30,NE,86.75
2025-07-07,CO,87.223
2025-07-07,UT,87.147
2025-07-07,CA,86.57
2025-07-07,PN,88.01
2025-07-07,NE,88.979
2025-07-14,CO,87.947
2025-07-14,UT,87.984
2025-07-14,CA,87.952
2025-07-14,PN,87.078
2025-07-14,NE,88.566
2025-07-21,CO,87.817
2025-07-21,UT,88.109
2025-07-21,CA,86.507
2025-07-21,PN,87.434
2025-07-21,NE,87.495
2025-07-28,CO,88.076
2025-07-28,UT,89.64
2025-07-28,CA,87.743
2025-07-28,PN,88.92
2025-07-28,NE,88.056
2025-08-04,CO,89.807
2025-08-04,UT,89.298
2025-08-04,CA,90.452
2025-08-04,PN,88.004
2025-08-04,NE,90.409
2025-08-11,CO,85.198
2025-08-11,UT,83.196
2025-08-11,CA,83.38
2025-08-11,PN,83.115
2025-08-11,NE,85.779
2025-08-18,CO,91.111
2025-08-18,UT,91.407
2025-08-18,CA,92.238
2025-08-18,PN,92.108
2025-08-18,NE,91.454
2025-08-25,CO,92.044
2025-08-25,UT,93.266
2025-08-25,CA,91.962
2025-08-25,PN,92.355
2025-08-25,NE,90.955
2025-09-01,CO,97.386
2025-09-01,UT,99.065
2025-09-01,CA,99.928
2025-09-01,PN,99.144
2025-09-01,NE,99.299
2025-09-08,CO,96.701
2025-09-08,UT,96.234
2025-09-08,CA,96.208
2025-09-08,PN,95.923
2025-09-08,NE,96.118
2025-09-15,CO,91.185
2025-09-15,UT,92.865
2025-09-15,CA,91.82
2025-09-15,PN,91.912
2025-09-15,NE,91.009
2025-09-22,CO,100.006
2025-09-22,UT,99.729
2025-09-22,CA,97.661
2025-09-22,PN,100.23
2025-09-22,NE,100.001
2025-09-29,CO,99.829
2025-09-29,UT,99.975
2025-09-29,CA,101.752
2025-09-29,PN,98.904
2025-09-29,NE,98.833
2025-10-06,CO,102.793
2025-10-06,UT,101.627
2025-10-06,CA,101.023
2025-10-06,PN,100.99
2025-10-06,NE,102.462
2025-10-13,CO,103.338
2025-10-13,UT,104.104
2025-10-13,CA,103.934
2025-10-13,PN,102.516
2025-10-13,NE,103.13
2025-10-20,CO,106.473
2025-10-20,UT,104.355
2025-10-20,CA,106.213
2025-10-20,PN,106.3
2025-10-20,NE,105.004
2025-10-27,CO,106.804
2025-10-27,UT,108.202
2025-10-27,CA,106.387
2025-10-27,PN,105.721
2025-10-27,NE,105.453
