week_ending,geo,bookings,occupancy_index
2023-10-01,CA,181,0.5904
2023-10-01,PN,172,0.5806
2023-10-01,NE,156,0.5706
2023-10-08,CO,216,0.5767
2023-10-08,UT,172,0.5503
2023-10-08,CA,185,0.5524
2023-10-08,PN,172,0.5837
2023-10-08,NE,149,0.5286
2023-10-15,CO,182,0.544
2023-10-15,UT,177,0.5738
2023-10-15,CA,207,0.5767
2023-10-15,PN,171,0.539
2023-10-15,NE,139,0.5571
2023-10-22,CO,203,0.5648
2023-10-22,UT,202,0.5075
2023-10-22,CA,182,0.5007
2023-10-22,PN,176,0.5424
2023-10-22,NE,156,0.5233
2023-10-29,CO,224,0.5352
2023-10-29,UT,193,0.5378
2023-10-29,CA,216,0.5183
2023-10-29,PN,208,0.5353
2023-10-29,NE,166,0.5672
2023-11-05,CO,208,0.5529
2023-11-05,UT,181,0.5817
2023-11-05,CA,206,0.5398
2023-11-05,PN,174,0.5748
2023-11-05,NE,154,0.5419
2023-11-12,CO,223,0.5852
2023-11-12,UT,195,0.5412
2023-11-12,CA,211,0.5484
2023-11-12,PN,183,0.5477
2023-11-12,NE,168,0.5656
2023-11-19,CO,238,0.5382
2023-11-19,UT,192,0.5218
2023-11-19,CA,206,0.5518
2023-11-19,PN,164,0.5228
2023-11-19,NE,157,0.5314
2023-11-26,CO,312,0.6035
2023-11-26,UT,293,0.6106
2023-11-26,CA,303,0.5615
2023-11-26,PN,276,0.5896
2023-11-26,NE,217,0.5791
2023-12-03,CO,252,0.5634
2023-12-03,UT,255,0.6136
2023-12-03,CA,240,0.6214
2023-12-03,PN,234,0.5694
2023-12-03,NE,210,0.5968
2023-12-10,CO,287,0.641
2023-12-10,UT,243,0.6518
2023-12-10,CA,263,0.6986
2023-12-10,PN,228,0.6837
2023-12-10,NE,211,0.6414
2023-12-17,CO,236,0.6424
2023-12-17,UT,228,0.7112
2023-12-17,CA,228,0.6583
2023-12-17,PN,212,0.6529
2023-12-17,NE,176,0.6453
2023-12-24,CO,250,0.7071
2023-12-24,UT,226,0.6935
2023-12-24,CA,230,0.6868
2023-12-24,PN,198,0.72
2023-12-24,NE,181,0.7121
2023-12-31,CO,301,0.7276
2023-12-31,UT,272,0.7212
2023-12-31,CA,282,0.7055
2023-12-31,PN,267,0.708
2023-12-31,NE,217,0.7115
2024-01-07,CO,375,0.7522
2024-01-07,UT,305,0.7647
2024-01-07,CA,334,0.7497
2024-01-07,PN,282,0.7608
2024-01-07,NE,268,0.7159
2024-01-14,CO,277,0.7928
2024-01-14,UT,244,0.751
2024-01-14,CA,250,0.7361
2024-01-14,PN,227,0.7735
2024-01-14,NE,189,0.7273
2024-01-21,CO,271,0.783
2024-01-21,UT,249,0.8054
2024-01-21,CA,272,0.7629
2024-01-21,PN,241,0.7919
2024-01-21,NE,186,0.7516
2024-01-28,CO,301,0.8161
2024-01-28,UT,244,0.7753
2024-01-28,CA,258,0.7939
2024-01-28,PN,225,0.8389
2024-01-28,NE,193,0.7849
2024-02-04,CO,275,0.8536
2024-02-04,UT,269,0.8615
2024-02-04,CA,273,0.7917
2024-02-04,PN,230,0.8136
2024-02-04,NE,221,0.7901
2024-02-11,CO,329,0.8723
2024-02-11,UT,293,0.8151
2024-02-11,CA,320,0.8765
2024-02-11,PN,271,0.8578
2024-02-11,NE,250,0.8691
2024-02-18,CO,336,0.8607
2024-02-18,UT,318,0.8693
2024-02-18,CA,318,0.8372
2024-02-18,PN,296,0.8744
2024-02-18,NE,255,0.8394
2024-02-25,CO,356,0.8474
2024-02-25,UT,336,0.873
2024-02-25,CA,354,0.8582
2024-02-25,PN,286,0.9131
2024-02-25,NE,275,0.8787
2024-03-03,CO,317,0.8791
2024-03-03,UT,282,0.9259
2024-03-03,CA,273,0.8648
2024-03-03,PN,264,0.8649
2024-03-03,NE,208,0.8731
2024-03-10,CO,308,0.8291
2024-03-10,UT,275,0.8227
2024-03-10,CA,292,0.8603
2024-03-10,PN,248,0.8737
2024-03-10,NE,226,0.8636
2024-03-17,CO,291,0.868
2024-03-17,UT,288,0.8631
2024-03-17,CA,298,0.8494
2024-03-17,PN,260,0.8636
2024-03-17,NE,213,0.8996
2024-03-24,CO,328,0.9159
2024-03-24,UT,273,0.9103
2024-03-24,CA,279,0.8595
2024-03-24,PN,242,0.8764
2024-03-24,NE,216,0.8837
2024-03-31,CO,323,0.9182
2024-03-31,UT,254,0.9057
2024-03-31,CA,288,0.8908
2024-03-31,PN,250,0.8815
2024-03-31,NE,223,0.8854
2024-04-07,CO,306,0.8617
2024-04-07,UT,260,0.8765
2024-04-07,CA,292,0.9236
2024-04-07,PN,248,0.8725
2024-04-07,NE,211,0.9071
2024-04-14,CO,300,0.8614
2024-04-14,UT,272,0.9073
2024-04-14,CA,280,0.8725
2024-04-14,PN,246,0.8955
2024-04-14,NE,220,0.8837
2024-04-21,CO,273,0.8788
2024-04-21,UT,268,0.8762
2024-04-21,CA,282,0.8791
2024-04-21,PN,244,0.8896
2024-04-21,NE,224,0.8697
2024-04-28,CO,281,0.9141
2024-04-28,UT,258,0.913
2024-04-28,CA,274,0.907
2024-04-28,PN,227,0.934
2024-04-28,NE,214,0.9303
2024-05-05,CO,287,0.8763
2024-05-05,UT,248,0.9251
2024-05-05,CA,277,0.8828
2024-05-05,PN,237,0.8894
2024-05-05,NE,219,0.8912
2024-05-12,CO,291,0.8703
2024-05-12,UT,271,0.8708
2024-05-12,CA,241,0.8626
2024-05-12,PN,238,0.9122
2024-05-12,NE,217,0.9157
2024-05-19,CO,281,0.8898
2024-05-19,UT,256,0.8619
2024-05-19,CA,263,0.8415
2024-05-19,PN,212,0.8986
2024-05-19,NE,198,0.8931
2024-05-26,CO,265,0.845
2024-05-26,UT,241,0.9036
2024-05-26,CA,245,0.8633
2024-05-26,PN,221,0.8389
2024-05-26,NE,196,0.8769
2024-06-02,CO,311,0.8238
2024-06-02,UT,273,0.8926
2024-06-02,CA,256,0.8571
2024-06-02,PN,263,0.8828
2024-06-02,NE,231,0.8853
2024-06-09,CO,251,0.8127
2024-06-09,UT,245,0.806
2024-06-09,CA,100,0.8045
2024-06-09,PN,222,0.8501
2024-06-09,NE,197,0.8764
2024-06-16,CO,256,0.7977
2024-06-16,UT,220,0.7912
2024-06-16,CA,110,0.8297
2024-06-16,PN,234,0.8443
2024-06-16,NE,198,0.8589
2024-06-23,CO,281,0.8295
2024-06-23,UT,247,0.828
2024-06-23,CA,136,0.8406
2024-06-23,PN,212,0.8085
2024-06-23,NE,205,0.7941
2024-06-30,CO,248,0.8164
2024-06-30,UT,226,0.7907
2024-06-30,CA,243,0.7553
2024-06-30,PN,194,0.7819
2024-06-30,NE,189,0.8117
2024-07-07,CO,251,0.8208
2024-07-07,UT,216,0.8142
2024-07-07,CA,225,0.8508
2024-07-07,PN,206,0.8356
2024-07-07,NE,176,0.7947
2024-07-14,CO,246,0.7709
2024-07-14,UT,212,0.7707
2024-07-14,CA,226,0.7739
2024-07-14,PN,204,0.835
2024-07-14,NE,183,0.8206
2024-07-21,CO,238,0.744
2024-07-21,UT,201,0.7916
2024-07-21,CA,210,0.7489
2024-07-21,PN,187,0.8146
2024-07-21,NE,179,0.8079
2024-07-28,CO,211,0.7568
2024-07-28,UT,204,0.784
2024-07-28,CA,213,0.7251
2024-07-28,PN,185,0.725
2024-07-28,NE,174,0.7852
2024-08-04,CO,223,0.7178
2024-08-04,UT,195,0.7328
2024-08-04,CA,228,0.7756
2024-08-04,PN,196,0.7715
2024-08-04,NE,165,0.7678
2024-08-11,CO,209,0.7059
2024-08-11,UT,175,0.7069
2024-08-11,CA,192,0.7444
2024-08-11,PN,186,0.7033
2024-08-11,NE,168,0.7096
2024-08-18,CO,213,0.7093
2024-08-18,UT,191,0.6678
2024-08-18,CA,206,0.6748
2024-08-18,PN,177,0.7238
2024-08-18,NE,165,0.6722
2024-08-25,CO,203,0.6437
2024-08-25,UT,189,0.6789
2024-08-25,CA,205,0.6727
2024-08-25,PN,170,0.7112
2024-08-25,NE,159,0.6735
2024-09-01,CO,251,0.6774
2024-09-01,UT,209,0.6604
2024-09-01,CA,238,0.661
2024-09-01,PN,194,0.6498
2024-09-01,NE,176,0.6289
2024-09-08,CO,252,0.5725
2024-09-08,UT,221,0.6043
2024-09-08,CA,220,0.6248
2024-09-08,PN,201,0.5766
2024-09-08,NE,180,0.551
2024-09-15,CO,213,0.562
2024-09-15,UT,203,0.5736
2024-09-15,CA,195,0.5351
2024-09-15,PN,178,0.558
2024-09-15,NE,153,0.5791
2024-09-22,CO,208,0.5455
2024-09-22,UT,187,0.5894
2024-09-22,CA,200,0.5852
2024-09-22,PN,167,0.577
2024-09-22,NE,150,0.5647
2024-09-29,CO,201,0.5726
2024-09-29,UT,170,0.5804
2024-09-29,CA,202,0.5746
2024-09-29,PN,171,0.5135
2024-09-29,NE,151,0.5294
2024-10-06,CO,217,0.52
2024-10-06,UT,192,0.5713
2024-10-06,CA,199,0.5695
2024-10-06,PN,183,0.5607
2024-10-06,NE,140,0.5279
2024-10-13,CO,221,0.5588
2024-10-13,UT,178,0.5298
2024-10-13,CA,196,0.5558
2024-10-13,PN,177,0.5507
2024-10-13,NE,165,0.5625
2024-10-20,CO,219,0.5163
2024-10-20,UT,174,0.5435
2024-10-20,CA,192,0.5685
2024-10-20,PN,193,0.5405
2024-10-20,NE,163,0.5214
2024-10-27,CO,212,0.5323
2024-10-27,UT,203,0.5626
2024-10-27,CA,193,0.558
2024-10-27,PN,174,0.5147
2024-10-27,NE,163,0.5604
2024-11-03,CO,224,0.5207
2024-11-03,UT,212,0.529
2024-11-03,CA,219,0.5787
2024-11-03,PN,183,0.5753
2024-11-03,NE,170,0.5375
2024-11-10,CO,228,0.5308
2024-11-10,UT,202,0.518
2024-11-10,CA,202,0.5356
2024-11-10,PN,193,0.5469
2024-11-10,NE,155,0.5259
2024-11-17,CO,238,0.5892
2024-11-17,UT,208,0.589
2024-11-17,CA,218,0.5691
2024-11-17,PN,190,0.5919
2024-11-17,NE,168,0.5547
2024-11-24,CO,329,0.6036
2024-11-24,UT,290,0.5901
2024-11-24,CA,301,0.54
2024-11-24,PN,275,0.5577
2024-11-24,NE,231,0.5853
2024-12-01,CO,295,0.6154
2024-12-01,UT,263,0.5981
2024-12-01,CA,253,0.6079
2024-12-01,PN,222,0.5827
2024-12-01,NE,198,0.5861
2024-12-08,CO,249,0.6798
2024-12-08,UT,235,0.6478
2024-12-08,CA,245,0.6437
2024-12-08,PN,204,0.6336
2024-12-08,NE,195,0.6717
2024-12-15,CO,254,0.6779
2024-12-15,UT,217,0.6673
2024-12-15,CA,240,0.6536
2024-12-15,PN,229,0.6737
2024-12-15,NE,195,0.7013
2024-12-22,CO,322,0.73
2024-12-22,UT,273,0.7001
2024-12-22,CA,293,0.7218
2024-12-22,PN,248,0.6651
2024-12-22,NE,219,0.6647
2024-12-29,CO,332,0.745
2024-12-29,UT,292,0.7438
2024-12-29,CA,307,0.7424
2024-12-29,PN,269,0.6792
2024-12-29,NE,220,0.6838
2025-01-05,CO,396,0.7685
2025-01-05,UT,338,0.7625
2025-01-05,CA,347,0.7105
2025-01-05,PN,312,0.748
2025-01-05,NE,269,0.7534
2025-01-12,CO,346,0.76
2025-01-12,UT,295,0.7488
2025-01-12,CA,308,0.783
2025-01-12,PN,274,0.7958
2025-01-12,NE,232,0.7624
2025-01-19,CO,291,0.7793
2025-01-19,UT,257,0.7888
2025-01-19,CA,276,0.749
2025-01-19,PN,263,0.7803
2025-01-19,NE,210,0.7857
2025-01-26,CO,292,0.8244
2025-01-26,UT,248,0.7866
2025-01-26,CA,267,0.7943
2025-01-26,PN,251,0.7725
2025-01-26,NE,213,0.7807
2025-02-02,CO,314,0.826
2025-02-02,UT,265,0.8197
2025-02-02,CA,298,0.8496
2025-02-02,PN,239,0.8371
2025-02-02,NE,229,0.8513
2025-02-09,CO,304,0.846
2025-02-09,UT,269,0.813
2025-02-09,CA,282,0.8629
2025-02-09,PN,254,0.8735
2025-02-09,NE,229,0.8174
2025-02-16,CO,314,0.8312
2025-02-16,UT,273,0.8985
2025-02-16,CA,273,0.8453
2025-02-16,PN,261,0.8663
2025-02-16,NE,219,0.8648
2025-02-23,CO,414,0.8538
2025-02-23,UT,364,0.8454
2025-02-23,CA,405,0.8964
2025-02-23,PN,340,0.8497
2025-02-23,NE,303,0.8733
2025-03-02,CO,328,0.8855
2025-03-02,UT,254,0.9061
2025-03-02,CA,281,0.9321
2025-03-02,PN,265,0.868
2025-03-02,NE,222,0.918
2025-03-09,CO,303,0.8255
2025-03-09,UT,279,0.826
2025-03-09,CA,298,0.8273
2025-03-09,PN,264,0.8534
2025-03-09,NE,241,0.8849
2025-03-16,CO,309,0.8381
2025-03-16,UT,286,0.8498
2025-03-16,CA,298,0.8683
2025-03-16,PN,259,0.8293
2025-03-16,NE,227,0.8461
2025-03-23,CO,323,0.8737
2025-03-23,UT,256,0.8526
2025-03-23,CA,293,0.8438
2025-03-23,PN,258,0.8705
2025-03-23,NE,240,0.9179
2025-03-30,CO,322,0.9261
2025-03-30,UT,280,0.8957
2025-03-30,CA,274,0.9063
2025-03-30,PN,236,0.8498
2025-03-30,NE,228,0.8838
2025-04-06,CO,307,0.8666
2025-04-06,UT,279,0.8627
2025-04-06,CA,290,0.8959
2025-04-06,PN,257,0.9307
2025-04-06,NE,228,0.9019
2025-04-13,CO,290,0.9127
2025-04-13,UT,281,0.9326
2025-04-13,CA,295,0.9373
2025-04-13,PN,236,0.8921
2025-04-13,NE,219,0.8781
2025-04-20,CO,306,0.9244
2025-04-20,UT,268,0.8676
2025-04-20,CA,286,0.9237
2025-04-20,PN,252,0.8852
2025-04-20,NE,247,0.8747
2025-04-27,CO,315,0.9312
2025-04-27,UT,257,0.8593
2025-04-27,CA,299,0.8958
2025-04-27,PN,255,0.9202
2025-04-27,NE,216,0.8836
2025-05-04,CO,295,0.8847
2025-05-04,UT,264,0.8778
2025-05-04,CA,273,0.9171
2025-05-04,PN,254,0.9316
2025-05-04,NE,233,0.9109
2025-05-11,CO,284,0.8702
2025-05-11,UT,281,0.9125
2025-05-11,CA,270,0.9076
2025-05-11,PN,247,0.8702
2025-05-11,NE,216,0.8969
2025-05-18,CO,286,0.8844
2025-05-18,UT,242,0.8419
2025-05-18,CA,276,0.8509
2025-05-18,PN,231,0.8435
2025-05-18,NE,221,0.9141
2025-05-25,CO,291,0.8384
2025-05-25,UT,254,0.8622
2025-05-25,CA,259,0.8717
2025-05-25,PN,227,0.8364
2025-05-25,NE,213,0.8403
2025-06-01,CO,318,0.8264
2025-06-01,UT,299,0.8588
2025-06-01,CA,295,0.8777
2025-06-01,PN,280,0.8212
2025-06-01,NE,255,0.8481
2025-06-08,CO,329,0.8782
2025-06-08,UT,268,0.8712
2025-06-08,CA,308,0.8084
2025-06-08,PN,276,0.8433
2025-06-08,NE,218,0.8054
2025-06-15,CO,261,0.8357
2025-06-15,UT,217,0.785
2025-06-15,CA,252,0.8552
2025-06-15,PN,232,0.8384
2025-06-15,NE,190,0.7919
2025-06-22,CO,258,0.8106
2025-06-22,UT,213,0.8085
2025-06-22,CA,237,0.8314
2025-06-22,PN,210,0.8391
2025-06-22,NE,199,0.8054
2025-06-29,CO,253,0.7941
2025-06-29,UT,216,0.7635
2025-06-29,CA,244,0.7552
2025-06-29,PN,209,0.7587
2025-06-29,NE,190,0.7723
2025-07-06,CO,268,0.7418
2025-07-06,UT,221,0.743
2025-07-06,CA,222,0.7409
2025-07-06,PN,208,0.7496
2025-07-06,NE,191,0.772
2025-07-13,CO,240,0.8124
2025-07-13,UT,226,0.8126
2025-07-13,CA,223,0.7634
2025-07-13,PN,220,0.8325
2025-07-13,NE,176,0.8366
2025-07-20,CO,249,0.769
2025-07-20,UT,221,0.7553
2025-07-20,CA,238,0.8166
2025-07-20,PN,184,0.7929
2025-07-20,NE,175,0.7879
2025-07-27,CO,229,0.7677
2025-07-27,UT,216,0.7323
2025-07-27,CA,229,0.7768
2025-07-27,PN,193,0.7562
2025-07-27,NE,169,0.7772
2025-08-03,CO,225,0.7123
2025-08-03,UT,220,0.759
2025-08-03,CA,223,0.7678
2025-08-03,PN,195,0.7195
2025-08-03,NE,148,0.699
2025-08-10,CO,248,0.707
2025-08-10,UT,203,0.705
2025-08-10,CA,220,0.6979
2025-08-10,PN,179,0.7363
2025-08-10,NE,158,0.6918
2025-08-17,CO,261,0.6969
2025-08-17,UT,222,0.6945
2025-08-17,CA,240,0.7149
2025-08-17,PN,207,0.659
2025-08-17,NE,190,0.6587
2025-08-24,CO,230,0.6717
2025-08-24,UT,203,0.7169
2025-08-24,CA,215,0.6724
2025-08-24,PN,187,0.6433
2025-08-24,NE,160,0.6379
2025-08-31,CO,217,0.6601
2025-08-31,UT,203,0.6288
2025-08-31,CA,211,0.6323
2025-08-31,PN,180,0.6652
2025-08-31,NE,161,0.6276
2025-09-07,CO,232,0.5478
2025-09-07,UT,215,0.5999
2025-09-07,CA,232,0.5854
2025-09-07,PN,209,0.607
2025-09-07,NE,186,0.6097
2025-09-14,CO,216,0.5617
2025-09-14,UT,198,0.587
2025-09-14,CA,210,0.6009
2025-09-14,PN,178,0.5656
2025-09-14,NE,159,0.5833
2025-09-21,CO,235,0.5519
2025-09-21,UT,205,0.5217
2025-09-21,CA,224,0.5769
2025-09-21,PN,199,0.5613
2025-09-21,NE,178,0.5276
2025-09-28,CO,228,0.5472
2025-09-28,UT,210,0.5809
2025-09-28,CA,218,0.5381
2025-09-28,PN,183,0.521
2025-09-28,NE,169,0.5449
2025-10-05,CO,194,0.5174
2025-10-05,UT,196,0.5174
2025-10-05,CA,203,0.5306
2025-10-05,PN,194,0.5437
2025-10-05,NE,172,0.5408
2025-10-12,CO,224,0.5472
2025-10-12,UT,179,0.55
2025-10-12,CA,193,0.5114
2025-10-12,PN,178,0.5063
2025-10-12,NE,174,0.5289
2025-10-19,CO,216,0.5391
2025-10-19,UT,194,0.5679
2025-10-19,CA,198,0.5011
2025-10-19,PN,187,0.5243
2025-10-19,NE,178,0.5003
2025-10-26,CO,228,0.5093
2025-10-26,UT,189,0.5571
2025-10-26,CA,206,0.5027
2025-10-26,PN,186,0.5583
2025-10-26,NE,168,0.5248
2025-11-02,CO,216,0.5432
2025-11-02,UT,206,0.5073
2025-11-02,CA,206,0.5056
2025-11-02,PN,197,0.5371
2025-11-02,NE,160,0.5577
