week_start,geo,availability_index,bookable_room_nights
2023-02-13,CA,0.8256,3884
2023-02-13,PN,0.8256,3398
2023-02-13,NE,0.824,3045
2023-02-20,CO,0.8483,4204
2023-02-20,UT,0.8926,3936
2023-02-20,CA,0.9006,4237
2023-02-20,PN,0.9183,3780
2023-02-20,NE,0.8441,3120
2023-02-27,CO,0.8853,4388
2023-02-27,UT,0.9217,4065
2023-02-27,CA,0.9147,4303
2023-02-27,PN,0.8732,3594
2023-02-27,NE,0.9317,3443
2023-03-06,CO,0.882,4371
2023-03-06,UT,0.8825,3892
2023-03-06,CA,0.8215,3865
2023-03-06,PN,0.8491,3495
2023-03-06,NE,0.8833,3265
2023-03-13,CO,0.8416,4171
2023-03-13,UT,0.9071,4000
2023-03-13,CA,0.8636,4062
2023-03-13,PN,0.8581,3532
2023-03-13,NE,0.8375,3095
2023-03-20,CO,0.8875,4399
2023-03-20,UT,0.8474,3737
2023-03-20,CA,0.8496,3996
2023-03-20,PN,0.8699,3580
2023-03-20,NE,0.8646,3196
2023-03-27,CO,0.8861,4391
2023-03-27,UT,0.863,3806
2023-03-27,CA,0.8532,4013
2023-03-27,PN,0.9207,3790
2023-03-27,NE,0.8944,3306
2023-04-03,CO,0.9067,4493
2023-04-03,UT,0.878,3872
2023-04-03,CA,0.8711,4098
2023-04-03,PN,0.9041,3721
2023-04-03,NE,0.8688,3211
2023-04-10,CO,0.8888,4405
2023-04-10,UT,0.8697,3836
2023-04-10,CA,0.889,4182
2023-04-10,PN,0.8929,3675
2023-04-10,NE,0.8977,3318
2023-04-17,CO,0.8993,4457
2023-04-17,UT,0.9314,4108
2023-04-17,CA,0.9339,4393
2023-04-17,PN,0.8864,3648
2023-04-17,NE,0.8882,3283
2023-04-24,CO,0.8688,4306
2023-04-24,UT,0.8673,3825
2023-04-24,CA,0.9024,4245
2023-04-24,PN,0.8851,3643
2023-04-24,NE,0.9027,3336
2023-05-01,CO,0.8768,4345
2023-05-01,UT,0.8955,3949
2023-05-01,CA,0.8821,4149
2023-05-01,PN,0.8819,3630
2023-05-01,NE,0.8642,3194
2023-05-08,CO,0.9108,4514
2023-05-08,UT,0.9128,4025
2023-05-08,CA,0.8671,4079
2023-05-08,PN,0.8617,3547
2023-05-08,NE,0.8796,3251
2023-05-15,CO,0.9043,4481
2023-05-15,UT,0.8615,3799
2023-05-15,CA,0.8418,3960
2023-05-15,PN,0.8788,3617
2023-05-15,NE,0.8409,3108
2023-05-22,CO,0.8561,4243
2023-05-22,UT,0.8288,3655
2023-05-22,CA,0.9006,4237
2023-05-22,PN,0.8499,3498
2023-05-22,NE,0.8706,3218
2023-05-29,CO,0.8556,4240
2023-05-29,UT,0.8784,3874
2023-05-29,CA,0.8182,3849
2023-05-29,PN,0.857,3528
2023-05-29,NE,0.889,3286
2023-06-05,CO,0.8294,4110
2023-06-05,UT,0.8723,3847
2023-06-05,CA,0.8264,3887
2023-06-05,PN,0.8054,3315
2023-06-05,NE,0.8448,3123
2023-06-12,CO,0.825,4089
2023-06-12,UT,0.785,3462
2023-06-12,CA,0.8425,3963
2023-06-12,PN,0.8584,3533
2023-06-12,NE,0.8311,3072
2023-06-19,CO,0.8198,4063
2023-06-19,UT,0.8033,3543
2023-06-19,CA,0.7719,3631
2023-06-19,PN,0.8351,3437
2023-06-19,NE,0.8325,3077
2023-06-26,CO,0.7719,3826
2023-06-26,UT,0.7518,3315
2023-06-26,CA,0.8217,3865
2023-06-26,PN,0.8036,3307
2023-06-26,NE,0.8178,3022
2023-07-03,CO,0.81,4014
2023-07-03,UT,0.857,3779
2023-07-03,CA,0.8191,3853
2023-07-03,PN,0.7836,3225
2023-07-03,NE,0.7938,2934
2023-07-10,CO,0.7753,3842
2023-07-10,UT,0.8404,3706
2023-07-10,CA,0.7666,3606
2023-07-10,PN,0.832,3425
2023-07-10,NE,0.7845,2899
2023-07-17,CO,0.7527,3730
2023-07-17,UT,0.7871,3471
2023-07-17,CA,0.7933,3732
2023-07-17,PN,0.7697,3168
2023-07-17,NE,0.7874,2910
2023-07-24,CO,0.7252,3594
2023-07-24,UT,0.7406,3266
2023-07-24,CA,0.7731,3637
2023-07-24,PN,0.7645,3147
2023-07-24,NE,0.7447,2752
2023-07-31,CO,0.747,3702
2023-07-31,UT,0.7353,3243
2023-07-31,CA,0.7639,3593
2023-07-31,PN,0.7211,2968
2023-07-31,NE,0.7092,2621
2023-08-07,CO,0.7214,3575
2023-08-07,UT,0.749,3303
2023-08-07,CA,0.6925,3258
2023-08-07,PN,0.7233,2977
2023-08-07,NE,0.7479,2764
2023-08-14,CO,0.6658,3300
2023-08-14,UT,0.6601,2911
2023-08-14,CA,0.6627,3117
2023-08-14,PN,0.6941,2857
2023-08-14,NE,0.6995,2585
2023-08-21,CO,0.6836,3388
2023-08-21,UT,0.6861,3026
2023-08-21,CA,0.6735,3168
2023-08-21,PN,0.7135,2937
2023-08-21,NE,0.6841,2528
2023-08-28,CO,0.6407,3175
2023-08-28,UT,0.6903,3044
2023-08-28,CA,0.6652,3129
2023-08-28,PN,0.6774,2788
2023-08-28,NE,0.6212,2296
2023-09-04,CO,0.5916,2932
2023-09-04,UT,0.5987,2640
2023-09-04,CA,0.6148,2892
2023-09-04,PN,0.6051,2491
2023-09-04,NE,0.5821,2151
2023-09-11,CO,0.6044,2995
2023-09-11,UT,0.5611,2475
2023-09-11,CA,0.576,2710
2023-09-11,PN,0.5633,2318
2023-09-11,NE,0.5691,2103
2023-09-18,CO,0.5732,2841
2023-09-18,UT,0.5395,2379
2023-09-18,CA,0.5612,2640
2023-09-18,PN,0.544,2239
2023-09-18,NE,0.5664,2094
2023-09-25,CO,0.5286,2620
2023-09-25,UT,0.5698,2513
2023-09-25,CA,0.5904,2777
2023-09-25,PN,0.5806,2390
2023-09-25,NE,0.5706,2109
2023-10-02,CO,0.5767,2858
2023-10-02,UT,0.5503,2427
2023-10-02,CA,0.5524,2598
2023-10-02,PN,0.5837,2403
2023-10-02,NE,0.5286,1954
2023-10-09,CO,0.544,2696
2023-10-09,UT,0.5738,2530
2023-10-09,CA,0.5767,2713
2023-10-09,PN,0.539,2219
2023-10-09,NE,0.5571,2059
2023-10-16,CO,0.5648,2799
2023-10-16,UT,0.5075,2238
2023-10-16,CA,0.5007,2355
2023-10-16,PN,0.5424,2233
2023-10-16,NE,0.5233,1934
2023-10-23,CO,0.5352,2653
2023-10-23,UT,0.5378,2372
2023-10-23,CA,0.5183,2438
2023-10-23,PN,0.5353,2203
2023-10-23,NE,0.5672,2096
2023-10-30,CO,0.5529,2740
2023-10-30,UT,0.5817,2565
2023-10-30,CA,0.5398,2539
2023-10-30,PN,0.5748,2366
2023-10-30,NE,0.5419,2003
2023-11-06,CO,0.5852,2900
2023-11-06,UT,0.5412,2386
2023-11-06,CA,0.5484,2580
2023-11-06,PN,0.5477,2254
2023-11-06,NE,0.5656,2090
2023-11-13,CO,0.5382,2667
2023-11-13,UT,0.5218,2301
2023-11-13,CA,0.5518,2596
2023-11-13,PN,0.5228,2152
2023-11-13,NE,0.5314,1964
2023-11-20,CO,0.6035,2991
2023-11-20,UT,0.6106,2693
2023-11-20,CA,0.5615,2641
2023-11-20,PN,0.5896,2427
2023-11-20,NE,0.5791,2140
2023-11-27,CO,0.5634,2792
2023-11-27,UT,0.6136,2706
2023-11-27,CA,0.6214,2923
2023-11-27,PN,0.5694,2344
2023-11-27,NE,0.5968,2206
2023-12-04,CO,0.641,3177
2023-12-04,UT,0.6518,2875
2023-12-04,CA,0.6986,3286
2023-12-04,PN,0.6837,2814
2023-12-04,NE,0.6414,2371
2023-12-11,CO,0.6424,3184
2023-12-11,UT,0.7112,3136
2023-12-11,CA,0.6583,3097
2023-12-11,PN,0.6529,2687
2023-12-11,NE,0.6453,2385
2023-12-18,CO,0.7071,3504
2023-12-18,UT,0.6935,3058
2023-12-18,CA,0.6868,3231
2023-12-18,PN,0.72,2964
2023-12-18,NE,0.7121,2632
2023-12-25,CO,0.7276,3606
2023-12-25,UT,0.7212,3181
2023-12-25,CA,0.7055,3319
2023-12-25,PN,0.708,2914
2023-12-25,NE,0.7115,2630
2024-01-01,CO,0.7522,3728
2024-01-01,UT,0.7647,3372
2024-01-01,CA,0.7497,3526
2024-01-01,PN,0.7608,3131
2024-01-01,NE,0.7159,2646
2024-01-08,CO,0.7928,3929
2024-01-08,UT,0.751,3312
2024-01-08,CA,0.7361,3463
2024-01-08,PN,0.7735,3184
2024-01-08,NE,0.7273,2688
2024-01-15,CO,0.783,3881
2024-01-15,UT,0.8054,3552
2024-01-15,CA,0.7629,3589
2024-01-15,PN,0.7919,3259
2024-01-15,NE,0.7516,2778
2024-01-22,CO,0.8161,4045
2024-01-22,UT,0.7753,3419
2024-01-22,CA,0.7939,3734
2024-01-22,PN,0.8389,3453
2024-01-22,NE,0.7849,2901
2024-01-29,CO,0.8536,4230
2024-01-29,UT,0.8615,3799
2024-01-29,CA,0.7917,3724
2024-01-29,PN,0.8136,3349
2024-01-29,NE,0.7901,2920
2024-02-05,CO,0.8723,4323
2024-02-05,UT,0.8151,3595
2024-02-05,CA,0.8765,4123
2024-02-05,PN,0.8578,3531
2024-02-05,NE,0.8691,3212
2024-02-12,CO,0.8607,4265
2024-02-12,UT,0.8693,3834
2024-02-12,CA,0.8372,3938
2024-02-12,PN,0.8744,3599
2024-02-12,NE,0.8394,3102
2024-02-19,CO,0.8474,4200
2024-02-19,UT,0.873,3850
2024-02-19,CA,0.8582,4037
2024-02-19,PN,0.9131,3758
2024-02-19,NE,0.8787,3248
2024-02-26,CO,0.8791,4357
2024-02-26,UT,0.9259,4083
2024-02-26,CA,0.8648,4068
2024-02-26,PN,0.8649,3560
2024-02-26,NE,0.8731,3227
2024-03-04,CO,0.8291,4109
2024-03-04,UT,0.8227,3628
2024-03-04,CA,0.8603,4047
2024-03-04,PN,0.8737,3596
2024-03-04,NE,0.8636,3192
2024-03-11,CO,0.868,4302
2024-03-11,UT,0.8631,3806
2024-03-11,CA,0.8494,3995
2024-03-11,PN,0.8636,3555
2024-03-11,NE,0.8996,3325
2024-03-18,CO,0.9159,4539
2024-03-18,UT,0.9103,4014
2024-03-18,CA,0.8595,4043
2024-03-18,PN,0.8764,3607
2024-03-18,NE,0.8837,3266
2024-03-25,CO,0.9182,4551
2024-03-25,UT,0.9057,3994
2024-03-25,CA,0.8908,4191
2024-03-25,PN,0.8815,3628
2024-03-25,NE,0.8854,3272
2024-04-01,CO,0.8617,4271
2024-04-01,UT,0.8765,3865
2024-04-01,CA,0.9236,4345
2024-04-01,PN,0.8725,3591
2024-04-01,NE,0.9071,3353
2024-04-08,CO,0.8614,4269
2024-04-08,UT,0.9073,4001
2024-04-08,CA,0.8725,4104
2024-04-08,PN,0.8955,3686
2024-04-08,NE,0.8837,3266
2024-04-15,CO,0.8788,4355
2024-04-15,UT,0.8762,3864
2024-04-15,CA,0.8791,4135
2024-04-15,PN,0.8896,3662
2024-04-15,NE,0.8697,3214
2024-04-22,CO,0.9141,4530
2024-04-22,UT,0.913,4026
2024-04-22,CA,0.907,4267
2024-04-22,PN,0.934,3844
2024-04-22,NE,0.9303,3438
2024-04-29,CO,0.8763,4343
2024-04-29,UT,0.9251,4080
2024-04-29,CA,0.8828,4153
2024-04-29,PN,0.8894,3661
2024-04-29,NE,0.8912,3294
2024-05-06,CO,0.8703,4313
2024-05-06,UT,0.8708,3840
2024-05-06,CA,0.8626,4058
2024-05-06,PN,0.9122,3755
2024-05-06,NE,0.9157,3385
2024-05-13,CO,0.8898,4410
2024-05-13,UT,0.8619,3801
2024-05-13,CA,0.8415,3959
2024-05-13,PN,0.8986,3699
2024-05-13,NE,0.8931,3301
2024-05-20,CO,0.845,4188
2024-05-20,UT,0.9036,3985
2024-05-20,CA,0.8633,4061
2024-05-20,PN,0.8389,3453
2024-05-20,NE,0.8769,3241
2024-05-27,CO,0.8238,4083
2024-05-27,UT,0.8926,3936
2024-05-27,CA,0.8571,4032
2024-05-27,PN,0.8828,3634
2024-05-27,NE,0.8853,3272
2024-06-03,CO,0.8127,4028
2024-06-03,UT,0.806,3555
2024-06-03,CA,0.8045,3784
2024-06-03,PN,0.8501,3499
2024-06-03,NE,0.8764,3239
2024-06-10,CO,0.7977,3954
2024-06-10,UT,0.7912,3489
2024-06-10,CA,0.8297,3903
2024-06-10,PN,0.8443,3475
2024-06-10,NE,0.8589,3174
2024-06-17,CO,0.8295,4111
2024-06-17,UT,0.828,3651
2024-06-17,CA,0.8406,3954
2024-06-17,PN,0.8085,3328
2024-06-17,NE,0.7941,2935
2024-06-24,CO,0.8164,4046
2024-06-24,UT,0.7907,3487
2024-06-24,CA,0.7553,3553
2024-06-24,PN,0.7819,3218
2024-06-24,NE,0.8117,3000
2024-07-01,CO,0.8208,4068
2024-07-01,UT,0.8142,3591
2024-07-01,CA,0.8508,4002
2024-07-01,PN,0.8356,3439
2024-07-01,NE,0.7947,2937
2024-07-08,CO,0.7709,3820
2024-07-08,UT,0.7707,3399
2024-07-08,CA,0.7739,3640
2024-07-08,PN,0.835,3437
2024-07-08,NE,0.8206,3033
2024-07-15,CO,0.744,3687
2024-07-15,UT,0.7916,3491
2024-07-15,CA,0.7489,3523
2024-07-15,PN,0.8146,3353
2024-07-15,NE,0.8079,2986
2024-07-22,CO,0.7568,3751
2024-07-22,UT,0.784,3457
2024-07-22,CA,0.7251,3411
2024-07-22,PN,0.725,2984
2024-07-22,NE,0.7852,2902
2024-07-29,CO,0.7178,3557
2024-07-29,UT,0.7328,3232
2024-07-29,CA,0.7756,3648
2024-07-29,PN,0.7715,3176
2024-07-29,NE,0.7678,2838
2024-08-05,CO,0.7059,3499
2024-08-05,UT,0.7069,3117
2024-08-05,CA,0.7444,3502
2024-08-05,PN,0.7033,2895
2024-08-05,NE,0.7096,2623
2024-08-12,CO,0.7093,3515
2024-08-12,UT,0.6678,2945
2024-08-12,CA,0.6748,3174
2024-08-12,PN,0.7238,2979
2024-08-12,NE,0.6722,2484
2024-08-19,CO,0.6437,3190
2024-08-19,UT,0.6789,2994
2024-08-19,CA,0.6727,3164
2024-08-19,PN,0.7112,2927
2024-08-19,NE,0.6735,2489
2024-08-26,CO,0.6774,3357
2024-08-26,UT,0.6604,2912
2024-08-26,CA,0.661,3110
2024-08-26,PN,0.6498,2675
2024-08-26,NE,0.6289,2325
2024-09-02,CO,0.5725,2837
2024-09-02,UT,0.6043,2665
2024-09-02,CA,0.6248,2939
2024-09-02,PN,0.5766,2373
2024-09-02,NE,0.551,2036
2024-09-09,CO,0.562,2785
2024-09-09,UT,0.5736,2529
2024-09-09,CA,0.5351,2517
2024-09-09,PN,0.558,2297
2024-09-09,NE,0.5791,2140
2024-09-16,CO,0.5455,2703
2024-09-16,UT,0.5894,2599
2024-09-16,CA,0.5852,2753
2024-09-16,PN,0.577,2375
2024-09-16,NE,0.5647,2087
2024-09-23,CO,0.5726,2838
2024-09-23,UT,0.5804,2559
2024-09-23,CA,0.5746,2703
2024-09-23,PN,0.5135,2114
2024-09-23,NE,0.5294,1957
2024-09-30,CO,0.52,2577
2024-09-30,UT,0.5713,2519
2024-09-30,CA,0.5695,2679
2024-09-30,PN,0.5607,2308
2024-09-30,NE,0.5279,1951
2024-10-07,UT,0.5298,2336
2024-10-07,CA,0.5558,2614
2024-10-07,PN,0.5507,2267
2024-10-07,NE,0.5625,2079
2024-10-14,CO,0.5163,2559
2024-10-14,UT,0.5435,2397
2024-10-14,CA,0.5685,2674
2024-10-14,PN,0.5405,2225
2024-10-14,NE,0.5214,1927
2024-10-21,CO,0.5323,2638
2024-10-21,UT,0.5626,2481
2024-10-21,CA,0.558,2625
2024-10-21,PN,0.5147,2119
2024-10-21,NE,0.5604,2071
2024-10-28,CO,0.5207,2580
2024-10-28,UT,0.529,2333
2024-10-28,CA,0.5787,2722
2024-10-28,PN,0.5753,2368
2024-10-28,NE,0.5375,1987
2024-11-04,CO,0.5308,2631
2024-11-04,UT,0.518,2284
2024-11-04,CA,0.5356,2519
2024-11-04,PN,0.5469,2251
2024-11-04,NE,0.5259,1944
2024-11-11,CO,0.5892,2920
2024-11-11,UT,0.589,2597
2024-11-11,CA,0.5691,2677
2024-11-11,PN,0.5919,2436
2024-11-11,NE,0.5547,2050
2024-11-18,CO,0.6036,2991
2024-11-18,UT,0.5901,2602
2024-11-18,CA,0.54,2540
2024-11-18,PN,0.5577,2295
2024-11-18,NE,0.5853,2163
2024-11-25,CO,0.6154,3050
2024-11-25,UT,0.5981,2637
2024-11-25,CA,0.6079,2859
2024-11-25,PN,0.5827,2398
2024-11-25,NE,0.5861,2166
2024-12-02,CO,0.6798,3369
2024-12-02,UT,0.6478,2857
2024-12-02,CA,0.6437,3028
2024-12-02,PN,0.6336,2608
2024-12-02,NE,0.6717,2483
2024-12-09,CO,0.6779,3360
2024-12-09,UT,0.6673,2943
2024-12-09,CA,0.6536,3075
2024-12-09,PN,0.6737,2773
2024-12-09,NE,0.7013,2592
2024-12-16,CO,0.73,3618
2024-12-16,UT,0.7001,3087
2024-12-16,CA,0.7218,3395
2024-12-16,PN,0.6651,2738
2024-12-16,NE,0.6647,2457
2024-12-23,CO,0.745,3692
2024-12-23,UT,0.7438,3280
2024-12-23,CA,0.7424,3492
2024-12-23,PN,0.6792,2795
2024-12-23,NE,0.6838,2527
2024-12-30,CO,0.7685,3809
2024-12-30,UT,0.7625,3363
2024-12-30,CA,0.7105,3342
2024-12-30,PN,0.748,3079
2024-12-30,NE,0.7534,2785
2025-01-06,CO,0.76,3767
2025-01-06,UT,0.7488,3302
2025-01-06,CA,0.783,3683
2025-01-06,PN,0.7958,3275
2025-01-06,NE,0.7624,2818
2025-01-13,CO,0.7793,3862
2025-01-13,UT,0.7888,3479
2025-01-13,CA,0.749,3524
2025-01-13,PN,0.7803,3212
2025-01-13,NE,0.7857,2904
2025-01-20,CO,0.8244,4086
2025-01-20,UT,0.7866,3469
2025-01-20,CA,0.7943,3736
2025-01-20,PN,0.7725,3180
2025-01-20,NE,0.7807,2886
2025-01-27,CO,0.826,4094
2025-01-27,UT,0.8197,3615
2025-01-27,CA,0.8496,3997
2025-01-27,PN,0.8371,3445
2025-01-27,NE,0.8513,3146
2025-02-03,CO,0.846,4193
2025-02-03,UT,0.813,3585
2025-02-03,CA,0.8629,4059
2025-02-03,PN,0.8735,3595
2025-02-03,NE,0.8174,3021
2025-02-10,CO,0.8312,4120
2025-02-10,UT,0.8985,3962
2025-02-10,CA,0.8453,3976
2025-02-10,PN,0.8663,3566
2025-02-10,NE,0.8648,3196
2025-02-17,CO,0.8538,4231
2025-02-17,UT,0.8454,3728
2025-02-17,CA,0.8964,4216
2025-02-17,PN,0.8497,3497
2025-02-17,NE,0.8733,3228
2025-02-24,CO,0.8855,4389
2025-02-24,UT,0.9061,3996
2025-02-24,CA,0.9321,4385
2025-02-24,PN,0.868,3573
2025-02-24,NE,0.918,3393
2025-03-03,CO,0.8255,4091
2025-03-03,UT,0.826,3643
2025-03-03,CA,0.8273,3892
2025-03-03,PN,0.8534,3512
2025-03-03,NE,0.8849,3271
2025-03-10,CO,0.8381,4154
2025-03-10,UT,0.8498,3748
2025-03-10,CA,0.8683,4085
2025-03-10,PN,0.8293,3413
2025-03-10,NE,0.8461,3127
2025-03-17,CO,0.8737,4330
2025-03-17,UT,0.8526,3760
2025-03-17,CA,0.8438,3969
2025-03-17,PN,0.8705,3583
2025-03-17,NE,0.9179,3393
2025-03-24,CO,0.9261,4590
2025-03-24,UT,0.8957,3950
2025-03-24,CA,0.9063,4263
2025-03-24,PN,0.8498,3498
2025-03-24,NE,0.8838,3266
2025-03-31,CO,0.8666,4295
2025-03-31,UT,0.8627,3804
2025-03-31,CA,0.8959,4214
2025-03-31,PN,0.9307,3831
2025-03-31,NE,0.9019,3334
2025-04-07,CO,0.9127,4524
2025-04-07,UT,0.9326,4113
2025-04-07,CA,0.9373,4409
2025-04-07,PN,0.8921,3672
2025-04-07,NE,0.8781,3246
2025-04-14,CO,0.9244,4581
2025-04-14,UT,0.8676,3826
2025-04-14,CA,0.9237,4345
2025-04-14,PN,0.8852,3644
2025-04-14,NE,0.8747,3233
2025-04-21,CO,0.9312,4615
2025-04-21,UT,0.8593,3790
2025-04-21,CA,0.8958,4214
2025-04-21,PN,0.9202,3788
2025-04-21,NE,0.8836,3266
2025-04-28,CO,0.8847,4385
2025-04-28,UT,0.8778,3871
2025-04-28,CA,0.9171,4314
2025-04-28,PN,0.9316,3835
2025-04-28,NE,0.9109,3367
2025-05-05,CO,0.8702,4313
2025-05-05,UT,0.9125,4024
2025-05-05,CA,0.9076,4269
2025-05-05,PN,0.8702,3582
2025-05-05,NE,0.8969,3315
2025-05-12,CO,0.8844,4383
2025-05-12,UT,0.8419,3713
2025-05-12,CA,0.8509,4002
2025-05-12,PN,0.8435,3472
2025-05-12,NE,0.9141,3379
2025-05-19,CO,0.8384,4155
2025-05-19,UT,0.8622,3802
2025-05-19,CA,0.8717,4100
2025-05-19,PN,0.8364,3443
2025-05-19,NE,0.8403,3106
2025-05-26,CO,0.8264,4096
2025-05-26,UT,0.8588,3787
2025-05-26,CA,0.8777,4129
2025-05-26,PN,0.8212,3380
2025-05-26,NE,0.8481,3135
2025-06-02,CO,0.8782,4352
2025-06-02,UT,0.8712,3842
2025-06-02,CA,0.8084,3803
2025-06-02,PN,0.8433,3471
2025-06-02,NE,0.8054,2977
2025-06-09,CO,0.8357,4142
2025-06-09,UT,0.785,3462
2025-06-09,CA,0.8552,4023
2025-06-09,PN,0.8384,3451
2025-06-09,NE,0.7919,2927
2025-06-16,CO,0.8106,4017
2025-06-16,UT,0.8085,3566
2025-06-16,CA,0.8314,3911
2025-06-16,PN,0.8391,3454
2025-06-16,NE,0.8054,2977
2025-06-23,CO,0.7941,3935
2025-06-23,UT,0.7635,3367
2025-06-23,CA,0.7552,3552
2025-06-23,PN,0.7587,3123
2025-06-23,NE,0.7723,2854
2025-06-30,CO,0.7418,3676
2025-06-30,UT,0.743,3277
2025-06-30,CA,0.7409,3485
2025-06-30,PN,0.7496,3085
2025-06-30,NE,0.772,2853
2025-07-07,CO,0.8124,4026
2025-07-07,UT,0.8126,3583
2025-07-07,CA,0.7634,3591
2025-07-07,PN,0.8325,3427
2025-07-07,NE,0.8366,3092
2025-07-14,CO,0.769,3811
2025-07-14,UT,0.7553,3331
2025-07-14,CA,0.8166,3841
2025-07-14,PN,0.7929,3264
2025-07-14,NE,0.7879,2912
2025-07-21,CO,0.7677,3805
2025-07-21,UT,0.7323,3229
2025-07-21,CA,0.7768,3654
2025-07-21,PN,0.7562,3112
2025-07-21,NE,0.7772,2873
2025-07-28,CO,0.7123,3530
2025-07-28,UT,0.759,3347
2025-07-28,CA,0.7678,3612
2025-07-28,PN,0.7195,2962
2025-07-28,NE,0.699,2583
2025-08-04,CO,0.707,3504
2025-08-04,UT,0.705,3109
2025-08-04,CA,0.6979,3283
2025-08-04,PN,0.7363,3031
2025-08-04,NE,0.6918,2557
2025-08-11,CO,0.6969,3454
2025-08-11,UT,0.6945,3063
2025-08-11,CA,0.7149,3363
2025-08-11,PN,0.659,2712
2025-08-11,NE,0.6587,2435
2025-08-18,CO,0.6717,3329
2025-08-18,UT,0.7169,3162
2025-08-18,CA,0.6724,3163
2025-08-18,PN,0.6433,2648
2025-08-18,NE,0.6379,2358
2025-08-25,CO,0.6601,3271
2025-08-25,UT,0.6288,2773
2025-08-25,CA,0.6323,2974
2025-08-25,PN,0.6652,2738
2025-08-25,NE,0.6276,2320
2025-09-01,CO,0.5478,2715
2025-09-01,UT,0.5999,2646
2025-09-01,CA,0.5854,2754
2025-09-01,PN,0.607,2498
2025-09-01,NE,0.6097,2253
2025-09-08,CO,0.5617,2784
2025-09-08,UT,0.587,2589
2025-09-08,CA,0.6009,2826
2025-09-08,PN,0.5656,2328
2025-09-08,NE,0.5833,2156
2025-09-15,CO,0.5519,2735
2025-09-15,UT,0.5217,2301
2025-09-15,CA,0.5769,2714
2025-09-15,PN,0.5613,2310
2025-09-15,NE,0.5276,1950
2025-09-22,CO,0.5472,2712
2025-09-22,UT,0.5809,2562
2025-09-22,CA,0.5381,2531
2025-09-22,PN,0.521,2145
2025-09-22,NE,0.5449,2014
2025-09-29,CO,0.5174,2564
2025-09-29,UT,0.5174,2282
2025-09-29,CA,0.5306,2496
2025-09-29,PN,0.5437,2238
2025-09-29,NE,0.5408,1999
2025-10-06,CO,0.5472,2712
2025-10-06,UT,0.55,2426
2025-10-06,CA,0.5114,2406
2025-10-06,PN,0.5063,2084
2025-10-06,NE,0.5289,1955
2025-10-13,CO,0.5391,2672
2025-10-13,UT,0.5679,2504
2025-10-13,CA,0.5011,2357
2025-10-13,PN,0.5243,2158
2025-10-13,NE,0.5003,1849
2025-10-20,CO,0.5093,2524
2025-10-20,UT,0.5571,2457
2025-10-20,CA,0.5027,2365
2025-10-20,PN,0.5583,2298
2025-10-20,NE,0.5248,1939
2025-10-27,CO,0.5432,2692
2025-10-27,UT,0.5073,2237
2025-10-27,CA,0.5056,2379
2025-10-27,PN,0.5371,2211
2025-10-27,NE,0.5577,2061
