week_start,geo,booking_revenue,successful_charges
2023-12-18,UT,62486.03,226
2023-12-18,CA,"$66,579.55",230
2023-12-18,PN,50950.34,198
2023-12-18,NE,47628.21,181
2023-12-25,CO,88628.3,301
2023-12-25,UT,78793.04,272
2023-12-25,CA,"$84,467.07",282
2023-12-25,PN,82752.42,267
2023-12-25,NE,61246.5,217
2024-01-01,CO,107212.77,375
2024-01-01,UT,75234.88,305
2024-01-01,CA,"$97,043.88",334
2024-01-01,PN,74588.35,282
2024-01-01,NE,74353.02,268
2024-01-08,CO,78373.33,277
2024-01-08,UT,71399.19,244
2024-01-08,CA,"$68,442.05",250
2024-01-08,PN,57249.96,227
2024-01-08,NE,48843.53,189
2024-01-15,CO,70101.55,271
2024-01-15,UT,70510.19,249
2024-01-15,CA,"$78,429.28",272
2024-01-15,PN,64951.6,241
2024-01-15,NE,46548.81,186
2024-01-22,CO,87860.38,301
2024-01-22,UT,67611.82,244
2024-01-22,CA,"$68,399.30",258
2024-01-22,PN,63813.96,225
2024-01-22,NE,52352.06,193
2024-01-29,CO,74721.96,275
2024-01-29,UT,66483.52,269
2024-01-29,CA,"$73,012.14",273
2024-01-29,PN,60485.8,230
2024-01-29,NE,65542.25,221
2024-02-05,CO,76335.05,329
2024-02-05,UT,78087.23,293
2024-02-05,CA,"$84,159.74",320
2024-02-05,PN,67615.91,271
2024-02-05,NE,58071.22,250
2024-02-12,CO,90827.84,336
2024-02-12,UT,96252.31,318
2024-02-12,CA,"$96,438.35",318
2024-02-12,PN,76010.48,296
2024-02-12,NE,68960.24,255
2024-02-19,CO,93353.18,356
2024-02-19,UT,98123.08,336
2024-02-19,CA,"$95,605.44",354
2024-02-19,PN,82914.76,286
2024-02-19,NE,75474.5,275
2024-02-26,CO,80608.45,317
2024-02-26,UT,66377.36,282
2024-02-26,CA,"$64,109.70",273
2024-02-26,PN,72195.32,264
2024-02-26,NE,54764.51,208
2024-03-04,CO,87267.0,308
2024-03-04,UT,66642.29,275
2024-03-04,CA,"$81,945.41",292
2024-03-04,PN,61968.59,248
2024-03-04,NE,52826.71,226
2024-03-11,CO,74863.85,291
2024-03-11,UT,80030.5,288
2024-03-11,CA,"$71,731.89",298
2024-03-11,PN,66060.32,260
2024-03-11,NE,49581.95,213
2024-03-18,CO,78338.08,328
2024-03-18,UT,74632.15,273
2024-03-18,CA,"$75,120.26",279
2024-03-18,PN,62170.56,242
2024-03-18,NE,49656.48,216
2024-03-25,CO,75910.69,323
2024-03-25,UT,65247.36,254
2024-03-25,CA,"$76,677.38",288
2024-03-25,PN,68890.15,250
2024-03-25,NE,51469.1,223
2024-04-01,CO,68037.58,306
2024-04-01,UT,61116.95,260
2024-04-01,CA,"$76,488.45",292
2024-04-01,PN,60152.74,248
2024-04-01,NE,54611.64,211
2024-04-08,CO,77106.74,300
2024-04-08,UT,61920.15,272
2024-04-08,CA,"$62,960.19",280
2024-04-08,PN,62982.37,246
2024-04-08,NE,51375.48,220
2024-04-15,CO,65960.76,273
2024-04-15,UT,70539.0,268
2024-04-15,CA,"$69,460.05",282
2024-04-15,PN,54481.44,244
2024-04-15,NE,52763.49,224
2024-04-22,CO,61956.56,281
2024-04-22,UT,66202.76,258
2024-04-22,CA,"$60,335.78",274
2024-04-22,PN,50713.1,227
2024-04-22,NE,52025.83,214
2024-04-29,CO,59696.35,287
2024-04-29,UT,59769.36,248
2024-04-29,CA,"$67,455.86",277
2024-04-29,PN,55501.3,237
2024-04-29,NE,47276.3,219
2024-05-06,CO,62399.14,291
2024-05-06,UT,62303.02,271
2024-05-06,CA,"$49,956.75",241
2024-05-06,PN,55492.88,238
2024-05-06,NE,52406.63,217
2024-05-13,CO,58788.15,281
2024-05-13,UT,59308.08,256
2024-05-13,CA,"$59,574.48",263
2024-05-13,PN,50157.54,212
2024-05-13,NE,46820.69,198
2024-05-20,CO,53465.07,265
2024-05-20,UT,50989.37,241
2024-05-20,CA,"$57,722.49",245
2024-05-20,PN,49373.65,221
2024-05-20,NE,44972.89,196
2024-05-27,CO,67724.88,311
2024-05-27,UT,61838.9,273
2024-05-27,CA,"$58,188.10",256
2024-05-27,PN,63503.11,263
2024-05-27,NE,46912.61,231
2024-06-03,CO,58796.07,251
2024-06-03,UT,56401.74,245
2024-06-03,CA,"$20,160.07",100
2024-06-03,PN,43030.32,222
2024-06-03,NE,41001.99,197
2024-06-10,CO,57905.46,256
2024-06-10,UT,45672.44,220
2024-06-10,CA,"$21,004.86",110
2024-06-10,PN,51612.17,234
2024-06-10,NE,37847.57,198
2024-06-17,CO,51423.59,281
2024-06-17,UT,50162.79,247
2024-06-17,CA,"$27,667.97",136
2024-06-17,PN,39229.17,212
2024-06-17,NE,36947.04,205
2024-06-24,CO,49807.85,248
2024-06-24,UT,47208.2,226
2024-06-24,CA,"$49,396.05",243
2024-06-24,PN,38873.26,194
2024-06-24,NE,39414.73,189
2024-07-01,CO,52362.99,251
2024-07-01,UT,43820.95,216
2024-07-01,CA,"$42,963.35",225
2024-07-01,PN,40265.84,206
2024-07-01,NE,35914.46,176
2024-07-08,CO,52053.67,246
2024-07-08,UT,39798.18,212
2024-07-08,CA,"$51,196.96",226
2024-07-08,PN,39480.9,204
2024-07-08,NE,37097.42,183
2024-07-15,CO,48775.68,238
2024-07-15,UT,38702.94,201
2024-07-15,CA,"$39,520.16",210
2024-07-15,PN,41857.68,187
2024-07-15,NE,40324.44,179
2024-07-22,CO,45961.1,211
2024-07-22,UT,43407.95,204
2024-07-22,CA,"$43,662.91",213
2024-07-22,PN,36013.22,185
2024-07-22,NE,32572.14,174
2024-07-29,CO,48017.27,223
2024-07-29,UT,37468.04,195
2024-07-29,CA,"$51,166.27",228
2024-07-29,PN,43150.02,196
2024-07-29,NE,35990.27,165
2024-08-05,CO,39579.5,209
2024-08-05,UT,39742.93,175
2024-08-05,CA,"$37,730.77",192
2024-08-05,PN,40038.35,186
2024-08-05,NE,37425.74,168
2024-08-12,CO,45957.13,213
2024-08-12,UT,37849.57,191
2024-08-12,CA,"$41,474.43",206
2024-08-12,PN,37356.02,177
2024-08-12,NE,33068.15,165
2024-08-19,CO,46615.71,203
2024-08-19,UT,41263.08,189
2024-08-19,CA,"$45,991.92",205
2024-08-19,PN,33494.28,170
2024-08-19,NE,33417.27,159
2024-08-26,CO,48980.2,251
2024-08-26,UT,39175.26,209
2024-08-26,CA,"$46,308.41",238
2024-08-26,PN,36883.74,194
2024-08-26,NE,36037.97,176
2024-09-02,CO,60455.25,252
2024-09-02,UT,55277.34,221
2024-09-02,CA,"$46,017.08",220
2024-09-02,PN,43680.9,201
2024-09-02,NE,41002.49,180
2024-09-09,CO,42962.05,213
2024-09-09,UT,46204.38,203
2024-09-09,CA,"$42,701.00",195
2024-09-09,PN,36536.19,178
2024-09-09,NE,35048.95,153
2024-09-16,CO,43982.63,208
2024-09-16,UT,41716.7,187
2024-09-16,CA,"$48,601.77",200
2024-09-16,PN,38569.67,167
2024-09-16,NE,33390.83,150
2024-09-23,CO,47162.99,201
2024-09-23,UT,42235.54,170
2024-09-23,CA,"$51,824.04",202
2024-09-23,PN,40522.6,171
2024-09-23,NE,39206.97,151
2024-09-30,CO,54883.02,217
2024-09-30,UT,44784.39,192
2024-09-30,CA,"$47,692.88",199
2024-09-30,PN,45478.03,183
2024-09-30,NE,33395.58,140
2024-10-07,CO,56162.65,221
2024-10-07,UT,41136.61,178
2024-10-07,CA,"$46,003.81",196
2024-10-07,PN,40869.78,177
2024-10-07,NE,38144.99,165
2024-10-14,CO,49831.78,219
2024-10-14,UT,45153.05,174
2024-10-14,CA,"$42,115.01",192
2024-10-14,PN,49283.95,193
2024-10-14,NE,43037.45,163
2024-10-21,CO,49213.76,212
2024-10-21,UT,54351.28,203
2024-10-21,CA,"$49,654.80",193
2024-10-21,PN,46954.07,174
2024-10-21,NE,39497.35,163
2024-10-28,CO,56252.45,224
2024-10-28,UT,54706.37,212
2024-10-28,CA,"$49,960.82",219
2024-10-28,PN,49918.42,183
2024-10-28,NE,43696.82,170
2024-11-04,CO,62803.41,228
2024-11-04,UT,51468.95,202
2024-11-04,CA,"$54,871.29",202
2024-11-04,PN,48656.54,193
2024-11-04,NE,36955.93,155
2024-11-11,CO,59916.54,238
2024-11-11,UT,53176.72,208
2024-11-11,CA,"$55,708.35",218
2024-11-11,PN,52544.88,190
2024-11-11,NE,46376.75,168
2024-11-18,CO,83822.56,329
2024-11-18,UT,81678.26,290
2024-11-18,CA,"$83,522.02",301
2024-11-18,PN,70539.63,275
2024-11-18,NE,54265.79,231
2024-11-25,CO,87592.11,295
2024-11-25,UT,74153.94,263
2024-11-25,CA,"$74,264.81",253
2024-11-25,PN,64431.84,222
2024-11-25,NE,51557.61,198
2024-12-02,CO,62019.35,249
2024-12-02,UT,67063.37,235
2024-12-02,CA,"$64,984.00",245
2024-12-02,PN,56262.17,204
2024-12-02,NE,50753.69,195
2024-12-09,CO,65899.5,254
2024-12-09,UT,63881.47,217
2024-12-09,CA,"$65,912.62",240
2024-12-09,PN,59843.3,229
2024-12-09,NE,56655.73,195
2024-12-16,CO,80649.05,322
2024-12-16,UT,72563.63,273
2024-12-16,CA,"$81,419.71",293
2024-12-16,PN,64111.33,248
2024-12-16,NE,50112.97,219
2024-12-23,CO,90243.33,332
2024-12-23,UT,87246.54,292
2024-12-23,CA,"$79,394.47",307
2024-12-23,PN,77986.35,269
2024-12-23,NE,57767.68,220
2024-12-30,CO,117899.17,396
2024-12-30,UT,88796.51,338
2024-12-30,CA,"$96,251.12",347
2024-12-30,PN,83682.33,312
2024-12-30,NE,65872.08,269
2025-01-06,CO,104827.93,346
2025-01-06,UT,78304.94,295
2025-01-06,CA,"$88,317.16",308
2025-01-06,PN,72313.09,274
2025-01-06,NE,62670.82,232
2025-01-13,CO,80328.93,291
2025-01-13,UT,72597.92,257
2025-01-13,CA,"$76,354.50",276
2025-01-13,PN,64301.47,263
2025-01-13,NE,58226.89,210
2025-01-20,CO,76780.19,292
2025-01-20,UT,67838.91,248
2025-01-20,CA,"$68,634.97",267
2025-01-20,PN,64606.76,251
2025-01-20,NE,53602.21,213
2025-01-27,CO,77370.08,314
2025-01-27,UT,68016.11,265
2025-01-27,CA,"$87,626.94",298
2025-01-27,PN,64807.4,239
2025-01-27,NE,60622.56,229
2025-02-03,CO,78774.03,304
2025-02-03,UT,70277.76,269
2025-02-03,CA,"$81,449.70",282
2025-02-03,PN,66297.51,254
2025-02-03,NE,58824.27,229
2025-02-10,CO,81524.59,314
2025-02-10,UT,70664.53,273
2025-02-10,CA,"$73,871.59",273
2025-02-10,PN,70279.14,261
2025-02-10,NE,61730.98,219
2025-02-17,CO,114766.67,414
2025-02-17,UT,90037.51,364
2025-02-17,CA,"$113,058.09",405
2025-02-17,PN,91091.61,340
2025-02-17,NE,87135.19,303
2025-02-24,CO,90921.38,328
2025-02-24,UT,69685.94,254
2025-02-24,CA,"$77,665.79",281
2025-02-24,PN,67940.9,265
2025-02-24,NE,55636.2,222
2025-03-03,CO,83559.05,303
2025-03-03,UT,80109.48,279
2025-03-03,CA,"$74,379.46",298
2025-03-03,PN,75018.1,264
2025-03-03,NE,66530.67,241
2025-03-10,CO,81498.58,309
2025-03-10,UT,73293.57,286
2025-03-10,CA,"$82,678.31",298
2025-03-10,PN,72404.91,259
2025-03-10,NE,62761.93,227
2025-03-17,CO,76143.64,323
2025-03-17,UT,62126.67,256
2025-03-17,CA,"$68,374.10",293
2025-03-17,PN,60140.37,258
2025-03-17,NE,65727.59,240
2025-03-24,CO,75059.94,322
2025-03-24,UT,74062.3,280
2025-03-24,CA,"$70,793.32",274
2025-03-24,PN,55828.76,236
2025-03-24,NE,53000.92,228
2025-03-31,CO,79226.41,307
2025-03-31,UT,62742.6,279
2025-03-31,CA,"$70,706.14",290
2025-03-31,PN,64829.87,257
2025-03-31,NE,53505.53,228
2025-04-07,CO,74109.28,290
2025-04-07,UT,73470.96,281
2025-04-07,CA,"$77,813.72",295
2025-04-07,PN,63086.27,236
2025-04-07,NE,57909.41,219
2025-04-14,CO,72179.38,306
2025-04-14,UT,66942.36,268
2025-04-14,CA,"$60,303.94",286
2025-04-14,PN,60530.39,252
2025-04-14,NE,63935.73,247
2025-04-21,CO,66942.11,315
2025-04-21,UT,60804.14,257
2025-04-21,CA,"$68,726.34",299
2025-04-21,PN,59569.86,255
2025-04-21,NE,45022.78,216
2025-04-28,CO,71703.53,295
2025-04-28,UT,65369.92,264
2025-04-28,CA,"$65,011.20",273
2025-04-28,PN,58330.65,254
2025-04-28,NE,54625.7,233
2025-05-05,CO,65713.39,284
2025-05-05,UT,59384.8,281
2025-05-05,CA,"$60,681.51",270
2025-05-05,PN,53590.14,247
2025-05-05,NE,50281.79,216
2025-05-12,CO,59166.32,286
2025-05-12,UT,57304.91,242
2025-05-12,CA,"$65,406.58",276
2025-05-12,PN,48061.34,231
2025-05-12,NE,46347.92,221
2025-05-19,CO,62086.15,291
2025-05-19,UT,60848.56,254
2025-05-19,CA,"$58,758.86",259
2025-05-19,PN,51786.69,227
2025-05-19,NE,50524.77,213
2025-05-26,CO,69570.94,318
2025-05-26,UT,72446.29,299
2025-05-26,CA,"$64,042.04",295
2025-05-26,PN,65358.09,280
2025-05-26,NE,53125.12,255
2025-06-02,CO,64070.24,329
2025-06-02,UT,54784.89,268
2025-06-02,CA,"$64,985.65",308
2025-06-02,PN,52370.21,276
2025-06-02,NE,48396.57,218
2025-06-09,CO,57589.21,261
2025-06-09,UT,47410.46,217
2025-06-09,CA,"$58,607.22",252
2025-06-09,PN,53469.97,232
2025-06-09,NE,42202.27,190
2025-06-16,CO,55381.94,258
2025-06-16,UT,41760.77,213
2025-06-16,CA,"$45,453.18",237
2025-06-16,PN,44793.01,210
2025-06-16,NE,43053.22,199
2025-06-23,CO,51072.19,253
2025-06-23,UT,41040.79,216
2025-06-23,CA,"$50,143.46",244
2025-06-23,PN,47220.82,209
2025-06-23,NE,38252.86,190
2025-06-30,CO,60539.22,268
2025-06-30,UT,42582.72,221
2025-06-30,CA,"$49,485.29",222
2025-06-30,PN,42681.79,208
2025-06-30,NE,36279.19,191
2025-07-07,CO,50855.08,240
2025-07-07,UT,45070.52,226
2025-07-07,CA,"$45,032.39",223
2025-07-07,PN,46837.13,220
2025-07-07,NE,39398.36,176
2025-07-14,CO,46530.71,249
2025-07-14,UT,44123.42,221
2025-07-14,CA,"$47,241.31",238
2025-07-14,PN,38109.07,184
2025-07-14,NE,38919.56,175
2025-07-21,CO,45813.57,229
2025-07-21,UT,44961.21,216
2025-07-21,CA,"$43,813.71",229
2025-07-21,PN,43428.95,193
2025-07-21,NE,36546.55,169
2025-07-28,CO,45034.85,225
2025-07-28,UT,44816.11,220
2025-07-28,CA,"$49,062.05",223
2025-07-28,PN,40657.92,195
2025-07-28,NE,28553.93,148
2025-08-04,CO,48472.5,248
2025-08-04,UT,46323.79,203
2025-08-04,CA,"$43,840.66",220
2025-08-04,PN,37479.6,179
2025-08-04,NE,30930.1,158
2025-08-11,CO,57236.03,261
2025-08-11,UT,41321.38,222
2025-08-11,CA,"$46,131.16",240
2025-08-11,PN,39849.92,207
2025-08-11,NE,37622.0,190
2025-08-18,CO,49111.8,230
2025-08-18,UT,39204.32,203
2025-08-18,CA,"$47,717.86",215
2025-08-18,PN,41022.81,187
2025-08-18,NE,37063.83,160
2025-08-25,CO,46301.58,217
2025-08-25,UT,42783.78,203
2025-08-25,CA,"$42,348.75",211
2025-08-25,PN,43170.1,180
2025-08-25,NE,34867.61,161
2025-09-01,CO,50938.16,232
2025-09-01,UT,54983.5,215
2025-09-01,CA,"$55,298.18",232
2025-09-01,PN,46664.3,209
2025-09-01,NE,40422.83,186
2025-09-08,CO,47285.71,216
2025-09-08,UT,49306.63,198
2025-09-08,CA,"$47,046.72",210
2025-09-08,PN,41989.67,178
2025-09-08,NE,33878.16,159
2025-09-15,CO,50946.33,235
2025-09-15,UT,43342.08,205
2025-09-15,CA,"$47,804.28",224
2025-09-15,PN,46071.63,199
2025-09-15,NE,39687.93,178
2025-09-22,CO,56830.41,228
2025-09-22,UT,45933.25,210
2025-09-22,CA,"$45,737.94",218
2025-09-22,PN,41239.44,183
2025-09-22,NE,43793.34,169
2025-09-29,CO,45173.17,194
2025-09-29,UT,47501.21,196
2025-09-29,CA,"$48,518.73",203
2025-09-29,PN,43031.61,194
2025-09-29,NE,43286.03,172
2025-10-06,CO,49408.04,224
2025-10-06,UT,46858.69,179
2025-10-06,CA,"$46,526.09",193
2025-10-06,PN,38856.38,178
2025-10-06,NE,38007.16,174
2025-10-13,CO,49988.44,216
2025-10-13,UT,46482.03,194
2025-10-13,CA,"$45,220.52",198
2025-10-13,PN,47315.5,187
2025-10-13,NE,41097.98,178
2025-10-20,CO,54197.97,228
2025-10-20,UT,42175.95,189
2025-10-20,CA,"$53,938.24",206
2025-10-20,PN,43963.96,186
2025-10-20,NE,43092.15,168
2025-10-27,CO,55606.17,216
2025-10-27,UT,50962.67,206
2025-10-27,CA,"$46,818.21",206
2025-10-27,PN,44796.11,197
2025-10-27,NE,36688.6,160
