date,geo,campaign,impressions,clicks,cost_micros,ctr,cpa
2022-09-01,Utah,Branded | Destination,10622,960,58454427,0.090378,0.0609
2022-09-02,Utah,Branded | Destination,11019,884,65489437,0.080225,0.0741
2022-09-03,Utah,Branded | Destination,13773,1091,77415475,0.079213,0.071
2022-09-04,Utah,Branded | Destination,11525,1326,69683789,0.115054,0.0526
2022-08-29,Utah,Nonbrand | Ski Weekend,12712,798,73930380,0.062775,0.0926
2022-08-30,Utah,Nonbrand | Ski Weekend,10748,772,103336452,0.071827,0.1339
2022-08-31,Utah,Nonbrand | Ski Weekend,12895,653,74497817,0.05064,0.1141
2022-09-01,Utah,Nonbrand | Ski Weekend,9021,810,91350205,0.08979,0.1128
2022-09-02,Utah,Nonbrand | Ski Weekend,13352,659,93970474,0.049356,0.1426
2022-09-03,Utah,Nonbrand | Ski Weekend,9294,851,85454031,0.091564,0.1004
2022-09-04,Utah,Nonbrand | Ski Weekend,12288,740,103874996,0.060221,0.1404
2022-08-29,Utah,Nonbrand | Cabin Stay,8822,367,71264636,0.041601,0.1942
2022-08-30,Utah,Nonbrand | Cabin Stay,7247,345,77297555,0.047606,0.2241
2022-08-31,Utah,Nonbrand | Cabin Stay,10431,412,79795960,0.039498,0.1937
2022-09-01,Utah,Nonbrand | Cabin Stay,9419,392,81065396,0.041618,0.2068
2022-09-02,Utah,Nonbrand | Cabin Stay,7724,506,59229958,0.06551,0.1171
2022-09-03,Utah,Nonbrand | Cabin Stay,8050,471,75899917,0.058509,0.1611
2022-09-04,Utah,Nonbrand | Cabin Stay,9887,396,72719587,0.040053,0.1836
2022-08-29,CA,Search - Lodge,9221,1083,66377847,0.117449,0.0613
2022-08-30,CA,Search - Lodge,10910,972,62864657,0.089093,0.0647
2022-08-31,CA,Search - Lodge,12636,1092,63427180,0.08642,0.0581
2022-09-01,CA,Search - Lodge,9616,1168,74033365,0.121464,0.0634
2022-09-02,CA,Search - Lodge,12440,1225,57088236,0.098473,0.0466
2022-09-03,CA,Search - Lodge,12487,944,66802476,0.075599,0.0708
2022-09-04,CA,Search - Lodge,11037,1227,71651240,0.111172,0.0584
2022-08-29,CA,Nonbrand | Ski Weekend,16170,830,127307164,0.05133,0.1534
2022-08-30,CA,Nonbrand | Ski Weekend,16274,841,138645597,0.051678,0.1649
2022-08-31,CA,Nonbrand | Ski Weekend,16059,976,101028180,0.060776,0.1035
2022-09-01,CA,Nonbrand | Ski Weekend,16791,874,99310993,0.052052,0.1136
2022-09-02,CA,Nonbrand | Ski Weekend,14515,759,113664961,0.052291,0.1498
2022-09-03,CA,Nonbrand | Ski Weekend,12676,1057,131003900,0.083386,0.1239
2022-09-04,CA,Nonbrand | Ski Weekend,11750,940,102076977,0.08,0.1086
2022-08-29,CA,Nonbrand | Cabin Stay,11311,570,94871622,0.050393,0.1664
2022-08-30,CA,Nonbrand | Cabin Stay,11817,606,93095025,0.051282,0.1536
2022-08-31,CA,Nonbrand | Cabin Stay,10993,464,88659629,0.042209,0.1911
2022-09-01,CA,Nonbrand | Cabin Stay,9954,517,94170288,0.051939,0.1821
2022-09-02,CA,Nonbrand | Cabin Stay,9844,555,86102553,0.05638,0.1551
2022-09-03,CA,Nonbrand | Cabin Stay,9468,499,77201945,0.052704,0.1547
2022-09-04,CA,Nonbrand | Cabin Stay,10155,563,83641888,0.055441,0.1486
2022-08-29,PNW,Brand | Lodge,8980,705,53874722,0.078508,0.0764
2022-08-30,PNW,Brand | Lodge,9210,766,52599722,0.08317,0.0687
2022-08-31,PNW,Brand | Lodge,8207,863,49155111,0.105154,0.057
2022-09-01,PNW,Brand | Lodge,10391,897,57005023,0.086325,0.0636
2022-09-02,PNW,Brand | Lodge,7585,751,47396427,0.099011,0.0631
2022-09-03,PNW,Brand | Lodge,9974,882,52543711,0.08843,0.0596
2022-09-04,PNW,Brand | Lodge,8804,784,60011384,0.08905,0.0765
2022-08-29,PNW,Nonbrand | Ski Weekend,9319,673,90972061,0.072218,0.1352
2022-08-30,PNW,Nonbrand | Ski Weekend,12009,487,70168436,0.040553,0.1441
2022-08-31,PNW,Nonbrand | Ski Weekend,10793,621,74357172,0.057537,0.1197
2022-09-01,PNW,Nonbrand | Ski Weekend,11101,674,95048466,0.060715,0.141
2022-09-02,PNW,Nonbrand | Ski Weekend,10526,602,88730243,0.057192,0.1474
2022-09-03,PNW,Nonbrand | Ski Weekend,9695,604,83518305,0.0623,0.1383
2022-09-04,PNW,Nonbrand | Ski Weekend,9409,597,65451263,0.06345,0.1096
2022-08-29,PNW,Nonbrand | Cabin Stay,9409,466,73275791,0.049527,0.1572
2022-08-30,PNW,Nonbrand | Cabin Stay,8035,545,88637059,0.067828,0.1626
2022-08-31,PNW,Nonbrand | Cabin Stay,10136,392,92654107,0.038674,0.2364
2022-09-01,PNW,Nonbrand | Cabin Stay,11559,436,82432388,0.03772,0.1891
2022-09-02,PNW,Nonbrand | Cabin Stay,9437,512,68492683,0.054255,0.1338
2022-09-03,PNW,Nonbrand | Cabin Stay,8386,380,70772683,0.045314,0.1862
2022-09-04,PNW,Nonbrand | Cabin Stay,9501,403,82031127,0.042417,0.2036
2022-08-29,NE,Branded | Destination,9877,1005,48708440,0.101752,0.0485
2022-08-30,NE,Branded | Destination,7845,811,42315435,0.103378,0.0522
2022-08-31,NE,Branded | Destination,9620,683,61520685,0.070998,0.0901
2022-09-01,NE,Branded | Destination,7806,847,54159483,0.108506,0.0639
2022-09-02,NE,Branded | Destination,9833,874,53708561,0.088884,0.0615
2022-09-03,NE,Branded | Destination,8301,912,60037540,0.109866,0.0658
2022-09-04,NE,Branded | Destination,10029,703,53093775,0.070097,0.0755
2022-08-29,NE,Nonbrand | Ski Weekend,8539,483,72981872,0.056564,0.1511
2022-08-30,NE,Nonbrand | Ski Weekend,8921,687,78418517,0.077009,0.1141
2022-08-31,NE,Nonbrand | Ski Weekend,12956,682,89607348,0.05264,0.1314
2022-09-01,NE,Nonbrand | Ski Weekend,12158,691,63999155,0.056835,0.0926
2022-09-02,NE,Nonbrand | Ski Weekend,10691,647,92596326,0.060518,0.1431
2022-09-03,NE,Nonbrand | Ski Weekend,8445,491,88512360,0.058141,0.1803
2022-09-04,NE,Nonbrand | Ski Weekend,12332,680,91408986,0.055141,0.1344
2022-08-29,NE,Nonbrand | Cabin Stay,9749,353,80563812,0.036209,0.2282
2022-08-30,NE,Nonbrand | Cabin Stay,8956,481,65302202,0.053707,0.1358
2022-08-31,NE,Nonbrand | Cabin Stay,9401,373,78846699,0.039677,0.2114
2022-09-01,NE,Nonbrand | Cabin Stay,7305,479,72673966,0.065572,0.1517
2022-09-02,NE,Nonbrand | Cabin Stay,7815,482,81270446,0.061676,0.1686
2022-09-03,NE,Nonbrand | Cabin Stay,8134,418,61576398,0.051389,0.1473
2022-09-04,NE,Nonbrand | Cabin Stay,9527,453,71217142,0.047549,0.1572
2022-09-05,Colorado,Branded | Destination,14683,1079,61884507,0.073486,0.0574
2022-09-06,Colorado,Branded | Destination,11113,1006,71583022,0.090525,0.0712
2022-09-07,Colorado,Branded | Destination,14701,1386,73829903,0.094279,0.0533
2022-09-08,Colorado,Branded | Destination,12809,1041,88438102,0.081271,0.085
2022-09-09,Colorado,Branded | Destination,11182,1316,75222838,0.117689,0.0572
2022-09-10,Colorado,Branded | Destination,12642,1483,62028455,0.117307,0.0418
2022-09-11,Colorado,Branded | Destination,12027,1239,93050601,0.103018,0.0751
2022-09-05,Colorado,Nonbrand | Ski Weekend,11855,961,113208902,0.081063,0.1178
2022-09-06,Colorado,Nonbrand | Ski Weekend,14854,853,134269128,0.057426,0.1574
2022-09-07,Colorado,Nonbrand | Ski Weekend,14728,997,111744150,0.067694,0.1121
2022-09-08,Colorado,Nonbrand | Ski Weekend,14914,941,105036753,0.063095,0.1116
2022-09-09,Colorado,Nonbrand | Ski Weekend,17145,1062,93142074,0.061942,0.0877
2022-09-10,Colorado,Nonbrand | Ski Weekend,15354,1137,140342243,0.074052,0.1234
2022-09-11,Colorado,Nonbrand | Ski Weekend,17338,1065,130521354,0.061426,0.1226
2022-09-05,Colorado,Nonbrand | Cabin Stay,10701,700,110058560,0.065414,0.1572
2022-09-06,Colorado,Nonbrand | Cabin Stay,14186,691,113305366,0.04871,0.164
2022-09-07,Colorado,Nonbrand | Cabin Stay,11318,601,95140672,0.053101,0.1583
2022-09-08,Colorado,Nonbrand | Cabin Stay,12143,565,99596794,0.046529,0.1763
2022-09-09,Colorado,Nonbrand | Cabin Stay,14599,640,118548018,0.043839,0.1852
2022-09-10,Colorado,Nonbrand | Cabin Stay,10911,541,84719837,0.049583,0.1566
2022-09-11,Colorado,Nonbrand | Cabin Stay,10197,596,84687909,0.058449,0.1421
2022-09-05,UT,Search - Lodge,9880,1107,80341404,0.112045,0.0726
2022-09-06,UT,Search - Lodge,11808,964,76892564,0.08164,0.0798
2022-09-07,UT,Search - Lodge,14426,1284,58405107,0.089006,0.0455
2022-09-08,UT,Search - Lodge,10800,1182,64500263,0.109444,0.0546
2022-09-09,UT,Search - Lodge,11051,910,76157605,0.082345,0.0837
2022-09-10,UT,Search - Lodge,13917,1179,62916722,0.084717,0.0534
2022-09-11,UT,Search - Lodge,12939,1208,81225862,0.093361,0.0672
2022-09-05,UT,Nonbrand | Ski Weekend,14460,791,95177085,0.054703,0.1203
2022-09-06,UT,Nonbrand | Ski Weekend,14122,845,103776258,0.059836,0.1228
2022-09-07,UT,Nonbrand | Ski Weekend,14893,702,132393684,0.047136,0.1886
2022-09-08,UT,Nonbrand | Ski Weekend,11118,837,105288232,0.075283,0.1258
2022-09-09,UT,Nonbrand | Ski Weekend,14927,808,92323299,0.05413,0.1143
2022-09-10,UT,Nonbrand | Ski Weekend,10865,828,97251780,0.076208,0.1175
2022-09-11,UT,Nonbrand | Ski Weekend,14239,801,111862911,0.056254,0.1397
2022-09-05,UT,Nonbrand | Cabin Stay,8632,531,81618936,0.061515,0.1537
2022-09-06,UT,Nonbrand | Cabin Stay,8670,427,92942660,0.04925,0.2177
2022-09-07,UT,Nonbrand | Cabin Stay,9078,466,95941749,0.051333,0.2059
2022-09-08,UT,Nonbrand | Cabin Stay,11566,401,78251680,0.034671,0.1951
2022-09-09,UT,Nonbrand | Cabin Stay,10005,564,65994653,0.056372,0.117
2022-09-10,UT,Nonbrand | Cabin Stay,11549,438,77292985,0.037925,0.1765
2022-09-11,UT,Nonbrand | Cabin Stay,8736,405,81140688,0.04636,0.2003
2022-09-05,NorCal,Brand | Lodge,13329,1275,92159179,0.095656,0.0723
2022-09-06,NorCal,Brand | Lodge,14090,1140,70256687,0.080908,0.0616
2022-09-07,NorCal,Brand | Lodge,14386,1513,90892633,0.105172,0.0601
2022-09-08,NorCal,Brand | Lodge,11086,1602,60763790,0.144507,0.0379
2022-09-09,NorCal,Brand | Lodge,13207,1178,77344127,0.089195,0.0657
2022-09-10,NorCal,Brand | Lodge,13206,1507,76759176,0.114115,0.0509
2022-09-11,NorCal,Brand | Lodge,14610,1079,85914579,0.073854,0.0796
2022-09-05,NorCal,Nonbrand | Ski Weekend,17237,961,110573672,0.055752,0.1151
2022-09-06,NorCal,Nonbrand | Ski Weekend,14955,940,157260556,0.062855,0.1673
2022-09-07,NorCal,Nonbrand | Ski Weekend,16787,1081,137323008,0.064395,0.127
2022-09-08,NorCal,Nonbrand | Ski Weekend,15316,1110,144646480,0.072473,0.1303
2022-09-09,NorCal,Nonbrand | Ski Weekend,20292,1048,115627741,0.051646,0.1103
2022-09-10,NorCal,Nonbrand | Ski Weekend,16361,1149,125723176,0.070228,0.1094
2022-09-11,NorCal,Nonbrand | Ski Weekend,19388,1084,147476259,0.055911,0.136
2022-09-05,NorCal,Nonbrand | Cabin Stay,10785,545,81990237,0.050533,0.1504
2022-09-06,NorCal,Nonbrand | Cabin Stay,13516,625,111221696,0.046241,0.178
2022-09-07,NorCal,Nonbrand | Cabin Stay,9591,511,107813064,0.053279,0.211
2022-09-08,NorCal,Nonbrand | Cabin Stay,13188,559,98998630,0.042387,0.1771
2022-09-09,NorCal,Nonbrand | Cabin Stay,9758,540,96617479,0.055339,0.1789
2022-09-10,NorCal,Nonbrand | Cabin Stay,14096,488,93769976,0.03462,0.1922
2022-09-11,NorCal,Nonbrand | Cabin Stay,11989,665,106136688,0.055468,0.1596
2022-09-05,Pacific Northwest,Branded | Destination,11803,1181,59934921,0.100059,0.0507
2022-09-06,Pacific Northwest,Branded | Destination,10155,915,68783413,0.090103,0.0752
2022-09-07,Pacific Northwest,Branded | Destination,8066,808,67049180,0.100174,0.083
2022-09-08,Pacific Northwest,Branded | Destination,11925,1103,50891850,0.092495,0.0461
2022-09-09,Pacific Northwest,Branded | Destination,9853,855,49631343,0.086776,0.058
2022-09-10,Pacific Northwest,Branded | Destination,11050,1160,65206836,0.104977,0.0562
2022-09-11,Pacific Northwest,Branded | Destination,10643,1083,72120491,0.101757,0.0666
2022-09-05,Pacific Northwest,Nonbrand | Ski Weekend,15515,774,116915844,0.049887,0.1511
2022-09-06,Pacific Northwest,Nonbrand | Ski Weekend,11315,976,105550037,0.086257,0.1081
2022-09-07,Pacific Northwest,Nonbrand | Ski Weekend,11410,763,110627106,0.066871,0.145
2022-09-08,Pacific Northwest,Nonbrand | Ski Weekend,14023,782,101861368,0.055766,0.1303
2022-09-09,Pacific Northwest,Nonbrand | Ski Weekend,16680,1109,105035319,0.066487,0.0947
2022-09-10,Pacific Northwest,Nonbrand | Ski Weekend,12749,743,95673584,0.058279,0.1288
2022-09-11,Pacific Northwest,Nonbrand | Ski Weekend,13043,903,103266275,0.069233,0.1144
2022-09-05,Pacific Northwest,Nonbrand | Cabin Stay,10017,469,82994764,0.04682,0.177
2022-09-06,Pacific Northwest,Nonbrand | Cabin Stay,10422,363,97067177,0.03483,0.2674
2022-09-07,Pacific Northwest,Nonbrand | Cabin Stay,8438,420,90167790,0.049775,0.2147
2022-09-08,Pacific Northwest,Nonbrand | Cabin Stay,10326,397,83321019,0.038447,0.2099
2022-09-09,Pacific Northwest,Nonbrand | Cabin Stay,10487,529,77062057,0.050443,0.1457
2022-09-10,Pacific Northwest,Nonbrand | Cabin Stay,11346,465,89798813,0.040984,0.1931
2022-09-11,Pacific Northwest,Nonbrand | Cabin Stay,9091,534,68658945,0.058739,0.1286
2022-09-05,NewEngland,Search - Lodge,13016,1103,72184640,0.084742,0.0654
2022-09-06,NewEngland,Search - Lodge,11211,988,67661836,0.088128,0.0685
2022-09-07,NewEngland,Search - Lodge,9904,1119,63223735,0.112985,0.0565
2022-09-08,NewEngland,Search - Lodge,11595,1308,71138466,0.112807,0.0544
2022-09-09,NewEngland,Search - Lodge,12412,1269,59802048,0.10224,0.0471
2022-09-10,NewEngland,Search - Lodge,11358,1336,69894760,0.117626,0.0523
2022-09-11,NewEngland,Search - Lodge,9125,918,59957273,0.100603,0.0653
2022-09-05,NewEngland,Nonbrand | Ski Weekend,12043,717,93788003,0.059537,0.1308
2022-09-06,NewEngland,Nonbrand | Ski Weekend,14992,623,109662577,0.041555,0.176
2022-09-07,NewEngland,Nonbrand | Ski Weekend,11740,709,96518864,0.060392,0.1361
2022-09-08,NewEngland,Nonbrand | Ski Weekend,11150,846,90028746,0.075874,0.1064
2022-09-09,NewEngland,Nonbrand | Ski Weekend,14097,584,99297695,0.041427,0.17
2022-09-10,NewEngland,Nonbrand | Ski Weekend,13822,798,110244065,0.057734,0.1382
2022-09-11,NewEngland,Nonbrand | Ski Weekend,11942,869,100789828,0.072768,0.116
2022-09-05,NewEngland,Nonbrand | Cabin Stay,8972,400,72708664,0.044583,0.1818
2022-09-06,NewEngland,Nonbrand | Cabin Stay,9083,356,86259308,0.039194,0.2423
2022-09-07,NewEngland,Nonbrand | Cabin Stay,11198,402,85603621,0.035899,0.2129
2022-09-08,NewEngland,Nonbrand | Cabin Stay,7993,499,66676120,0.06243,0.1336
2022-09-09,NewEngland,Nonbrand | Cabin Stay,9721,505,95539842,0.051949,0.1892
2022-09-10,NewEngland,Nonbrand | Cabin Stay,9077,489,82606339,0.053872,0.1689
2022-09-11,NewEngland,Nonbrand | Cabin Stay,10820,359,72271849,0.033179,0.2013
2022-09-12,Rockies,Search - Lodge,11839,961,85527960,0.081172,0.089
2022-09-13,Rockies,Search - Lodge,13202,933,67683608,0.070671,0.0725
2022-09-14,Rockies,Search - Lodge,10208,1150,73745538,0.112657,0.0641
2022-09-15,Rockies,Search - Lodge,12048,1115,57570802,0.092546,0.0516
2022-09-16,Rockies,Search - Lodge,12305,1017,62604187,0.082649,0.0616
2022-09-17,Rockies,Search - Lodge,10765,1100,72150574,0.102183,0.0656
2022-09-18,Rockies,Search - Lodge,10867,1138,59997162,0.104721,0.0527
2022-09-12,Rockies,Nonbrand | Ski Weekend,13789,1104,138458950,0.080064,0.1254
2022-09-13,Rockies,Nonbrand | Ski Weekend,15107,1050,134240946,0.069504,0.1278
2022-09-14,Rockies,Nonbrand | Ski Weekend,12838,964,116840719,0.07509,0.1212
2022-09-15,Rockies,Nonbrand | Ski Weekend,16984,915,100609430,0.053874,0.11
2022-09-16,Rockies,Nonbrand | Ski Weekend,14619,877,103021250,0.05999,0.1175
2022-09-17,Rockies,Nonbrand | Ski Weekend,17050,1123,114928708,0.065865,0.1023
2022-09-18,Rockies,Nonbrand | Ski Weekend,15942,1085,121264905,0.068059,0.1118
2022-09-12,Rockies,Nonbrand | Cabin Stay,9797,553,85879689,0.056446,0.1553
2022-09-13,Rockies,Nonbrand | Cabin Stay,8610,384,99051345,0.044599,0.2579
2022-09-14,Rockies,Nonbrand | Cabin Stay,11556,547,96557766,0.047335,0.1765
2022-09-15,Rockies,Nonbrand | Cabin Stay,11074,494,73501583,0.044609,0.1488
2022-09-16,Rockies,Nonbrand | Cabin Stay,9687,491,101516660,0.050686,0.2068
2022-09-17,Rockies,Nonbrand | Cabin Stay,13087,524,97004149,0.04004,0.1851
2022-09-18,Rockies,Nonbrand | Cabin Stay,10519,506,70856931,0.048103,0.14
2022-09-12,Wasatch,Brand | Lodge,13275,1291,68320592,0.09725,0.0529
2022-09-13,Wasatch,Brand | Lodge,12372,1000,79469665,0.080828,0.0795
2022-09-14,Wasatch,Brand | Lodge,10869,982,62821659,0.090349,0.064
2022-09-15,Wasatch,Brand | Lodge,10379,1118,71461964,0.107718,0.0639
2022-09-16,Wasatch,Brand | Lodge,13164,1315,54916740,0.099894,0.0418
2022-09-17,Wasatch,Brand | Lodge,12406,1322,58884592,0.106561,0.0445
2022-09-18,Wasatch,Brand | Lodge,8866,1176,83978517,0.132642,0.0714
2022-09-12,Wasatch,Nonbrand | Ski Weekend,16050,872,101031665,0.05433,0.1159
2022-09-13,Wasatch,Nonbrand | Ski Weekend,13176,816,107287383,0.061931,0.1315
2022-09-14,Wasatch,Nonbrand | Ski Weekend,13913,1046,129474757,0.075181,0.1238
2022-09-15,Wasatch,Nonbrand | Ski Weekend,10795,877,112249804,0.081241,0.128
2022-09-16,Wasatch,Nonbrand | Ski Weekend,13145,742,108487209,0.056447,0.1462
2022-09-17,Wasatch,Nonbrand | Ski Weekend,14117,1022,93571842,0.072395,0.0916
2022-09-18,Wasatch,Nonbrand | Ski Weekend,16184,992,107462486,0.061295,0.1083
2022-09-12,Wasatch,Nonbrand | Cabin Stay,11870,360,96806277,0.030329,0.2689
2022-09-13,Wasatch,Nonbrand | Cabin Stay,8254,496,64471812,0.060092,0.13
2022-09-14,Wasatch,Nonbrand | Cabin Stay,9215,487,97653671,0.052849,0.2005
2022-09-15,Wasatch,Nonbrand | Cabin Stay,11294,466,68194461,0.041261,0.1463
2022-09-16,Wasatch,Nonbrand | Cabin Stay,11893,532,82238304,0.044732,0.1546
2022-09-17,Wasatch,Nonbrand | Cabin Stay,8301,525,76876511,0.063245,0.1464
2022-09-18,Wasatch,Nonbrand | Cabin Stay,8502,360,96128963,0.042343,0.267
2022-09-12,Northern California,Branded | Destination,11110,1053,83470360,0.094779,0.0793
2022-09-13,Northern California,Branded | Destination,14847,1123,57790040,0.075638,0.0515
2022-09-14,Northern California,Branded | Destination,11657,950,76935181,0.081496,0.081
2022-09-15,Northern California,Branded | Destination,12716,1186,84448882,0.093268,0.0712
2022-09-16,Northern California,Branded | Destination,10179,1209,56412650,0.118774,0.0467
2022-09-17,Northern California,Branded | Destination,10410,1002,62423804,0.096254,0.0623
2022-09-18,Northern California,Branded | Destination,12814,923,72544104,0.072031,0.0786
2022-09-12,Northern California,Nonbrand | Ski Weekend,14980,1037,104819388,0.069226,0.1011
2022-09-13,Northern California,Nonbrand | Ski Weekend,15604,807,125395191,0.051718,0.1554
2022-09-14,Northern California,Nonbrand | Ski Weekend,13059,866,134368620,0.066314,0.1552
2022-09-15,Northern California,Nonbrand | Ski Weekend,16151,800,123634446,0.049533,0.1545
2022-09-16,Northern California,Nonbrand | Ski Weekend,14827,833,109398342,0.056181,0.1313
2022-09-17,Northern California,Nonbrand | Ski Weekend,16327,994,108643817,0.060881,0.1093
2022-09-18,Northern California,Nonbrand | Ski Weekend,13022,798,104707153,0.061281,0.1312
2022-09-12,Northern California,Nonbrand | Cabin Stay,11787,376,83354462,0.0319,0.2217
2022-09-13,Northern California,Nonbrand | Cabin Stay,8042,431,69929185,0.053594,0.1622
2022-09-14,Northern California,Nonbrand | Cabin Stay,8190,453,63567467,0.055311,0.1403
2022-09-15,Northern California,Nonbrand | Cabin Stay,9698,464,97875387,0.047845,0.2109
2022-09-16,Northern California,Nonbrand | Cabin Stay,8711,400,90621235,0.045919,0.2266
2022-09-17,Northern California,Nonbrand | Cabin Stay,9113,491,85153037,0.053879,0.1734
2022-09-18,Northern California,Nonbrand | Cabin Stay,10507,492,64310905,0.046826,0.1307
2022-09-12,PN,Search - Lodge,11168,1020,52390803,0.091332,0.0514
2022-09-13,PN,Search - Lodge,11862,829,59281144,0.069887,0.0715
2022-09-14,PN,Search - Lodge,11126,923,59165177,0.082959,0.0641
2022-09-15,PN,Search - Lodge,9416,817,71351738,0.086767,0.0873
2022-09-16,PN,Search - Lodge,9789,1154,65529843,0.117887,0.0568
2022-09-17,PN,Search - Lodge,9817,825,62616120,0.084038,0.0759
2022-09-18,PN,Search - Lodge,10292,876,63131865,0.085115,0.0721
2022-09-12,PN,Nonbrand | Ski Weekend,10327,598,91215042,0.057906,0.1525
2022-09-13,PN,Nonbrand | Ski Weekend,10493,554,81999981,0.052797,0.148
2022-09-14,PN,Nonbrand | Ski Weekend,10676,766,90737291,0.07175,0.1185
2022-09-15,PN,Nonbrand | Ski Weekend,12056,717,95273997,0.059472,0.1329
2022-09-16,PN,Nonbrand | Ski Weekend,12325,606,71472528,0.049168,0.1179
2022-09-17,PN,Nonbrand | Ski Weekend,9693,694,91735380,0.071598,0.1322
2022-09-18,PN,Nonbrand | Ski Weekend,11816,662,81175661,0.056026,0.1226
2022-09-12,PN,Nonbrand | Cabin Stay,7498,441,70081013,0.058816,0.1589
2022-09-13,PN,Nonbrand | Cabin Stay,7968,362,62012281,0.045432,0.1713
2022-09-14,PN,Nonbrand | Cabin Stay,6275,398,61347585,0.063426,0.1541
2022-09-15,PN,Nonbrand | Cabin Stay,7635,444,71143175,0.058153,0.1602
2022-09-16,PN,Nonbrand | Cabin Stay,8721,329,63906258,0.037725,0.1942
2022-09-17,PN,Nonbrand | Cabin Stay,7317,332,59293624,0.045374,0.1786
2022-09-18,PN,Nonbrand | Cabin Stay,8861,452,68125201,0.05101,0.1507
2022-09-12,New England,Brand | Lodge,6721,904,63575463,0.134504,0.0703
2022-09-13,New England,Brand | Lodge,10300,713,51576418,0.069223,0.0723
2022-09-14,New England,Brand | Lodge,8988,802,46182462,0.08923,0.0576
2022-09-15,New England,Brand | Lodge,7888,916,47011646,0.116126,0.0513
2022-09-16,New England,Brand | Lodge,8319,835,44090643,0.100373,0.0528
2022-09-17,New England,Brand | Lodge,9803,828,49808717,0.084464,0.0602
2022-09-18,New England,Brand | Lodge,8412,791,54301277,0.094032,0.0686
2022-09-12,New England,Nonbrand | Ski Weekend,12751,549,102084614,0.043055,0.1859
2022-09-13,New England,Nonbrand | Ski Weekend,9766,789,89675406,0.08079,0.1137
2022-09-14,New England,Nonbrand | Ski Weekend,11688,744,68089555,0.063655,0.0915
2022-09-15,New England,Nonbrand | Ski Weekend,9321,579,79671534,0.062118,0.1376
2022-09-16,New England,Nonbrand | Ski Weekend,10708,666,103235890,0.062196,0.155
2022-09-17,New England,Nonbrand | Ski Weekend,11350,757,75469414,0.066696,0.0997
2022-09-18,New England,Nonbrand | Ski Weekend,9918,580,70697565,0.05848,0.1219
2022-09-12,New England,Nonbrand | Cabin Stay,6814,372,52605395,0.054593,0.1414
2022-09-13,New England,Nonbrand | Cabin Stay,7300,360,63473751,0.049315,0.1763
2022-09-14,New England,Nonbrand | Cabin Stay,6090,282,66364945,0.046305,0.2353
2022-09-15,New England,Nonbrand | Cabin Stay,7471,261,53596651,0.034935,0.2054
2022-09-16,New England,Nonbrand | Cabin Stay,7857,380,69025468,0.048365,0.1816
2022-09-17,New England,Nonbrand | Cabin Stay,8931,375,72968745,0.041989,0.1946
2022-09-18,New England,Nonbrand | Cabin Stay,6625,297,51107642,0.04483,0.1721
2022-09-19,CO Rockies,Brand | Lodge,13529,1119,89122446,0.082711,0.0796
2022-09-20,CO Rockies,Brand | Lodge,11885,1149,64680898,0.096676,0.0563
2022-09-21,CO Rockies,Brand | Lodge,14282,1346,71574947,0.094245,0.0532
2022-09-22,CO Rockies,Brand | Lodge,14053,1405,91611394,0.099979,0.0652
