date,geo,campaign_name,impressions,clicks,spend,ctr
2022-10-24,NE,Prospecting | Trail,10632,127,98.31,0.011945
2022-10-24,SE,Retargeting | Site Visitors,3342,55,38.62,0.016457
2022-10-25,SE,Retargeting | Site Visitors,3857,81,38.97,0.021001
2022-10-26,SE,Retargeting | Site Visitors,4630,78,42.61,0.016847
2022-10-27,SE,Retargeting | Site Visitors,3179,80,43.22,0.025165
2022-10-28,SE,Retargeting | Site Visitors,3847,72,46.68,0.018716
2022-10-29,SE,Retargeting | Site Visitors,3048,65,49.79,0.021325
2022-10-30,SE,Retargeting | Site Visitors,4365,72,42.2,0.016495
2022-10-24,MW,Prospecting | Trail,9609,107,91.11,0.011135
2022-10-25,MW,Prospecting | Trail,7957,87,71.37,0.010934
2022-10-26,MW,Prospecting | Trail,7220,88,83.89,0.012188
2022-10-27,MW,Prospecting | Trail,7648,130,103.01,0.016998
2022-10-28,MW,Prospecting | Trail,9998,100,84.12,0.010002
2022-10-29,MW,Prospecting | Trail,8594,112,91.32,0.013032
2022-10-30,MW,Prospecting | Trail,10077,113,74.0,0.011214
2022-10-24,MW,Retargeting | Site Visitors,5338,98,62.18,0.018359
2022-10-25,MW,Retargeting | Site Visitors,5625,100,54.77,0.017778
2022-10-26,MW,Retargeting | Site Visitors,4723,102,63.63,0.021596
2022-10-27,MW,Retargeting | Site Visitors,5332,80,51.84,0.015004
2022-10-28,MW,Retargeting | Site Visitors,4471,101,47.28,0.02259
2022-10-29,MW,Retargeting | Site Visitors,5190,100,70.29,0.019268
2022-10-30,MW,Retargeting | Site Visitors,4091,98,49.86,0.023955
2022-10-24,MT,Prospecting | Trail,5012,54,45.13,0.010774
2022-10-25,MT,Prospecting | Trail,6039,77,49.91,0.01275
2022-10-26,MT,Prospecting | Trail,5825,54,55.0,0.00927
2022-10-27,MT,Prospecting | Trail,6975,74,62.94,0.010609
2022-10-28,MT,Prospecting | Trail,4984,62,55.67,0.01244
2022-10-29,MT,Prospecting | Trail,5556,65,54.7,0.011699
2022-10-30,MT,Prospecting | Trail,5336,79,66.01,0.014805
2022-10-24,MT,Retargeting | Site Visitors,2817,52,37.86,0.018459
2022-10-25,MT,Retargeting | Site Visitors,3147,61,38.24,0.019384
2022-10-26,MT,Retargeting | Site Visitors,2568,45,27.18,0.017523
2022-10-27,MT,Retargeting | Site Visitors,3106,65,33.57,0.020927
2022-10-28,MT,Retargeting | Site Visitors,2563,49,28.52,0.019118
2022-10-29,MT,Retargeting | Site Visitors,2809,60,36.92,0.02136
2022-10-30,MT,Retargeting | Site Visitors,2773,62,25.25,0.022358
2022-10-24,WE,Prospecting | Trail,14380,157,$115.90,0.010918
2022-10-25,WE,Prospecting | Trail,12050,143,$142.40,0.011867
2022-10-26,WE,Prospecting | Trail,12691,157,$103.07,0.012371
2022-10-27,WE,Prospecting | Trail,10811,127,$132.29,0.011747
2022-10-28,WE,Prospecting | Trail,14542,140,$132.75,0.009627
2022-10-29,WE,Prospecting | Trail,10484,149,$97.25,0.014212
2022-10-30,WE,Prospecting | Trail,13368,154,$141.92,0.01152
2022-10-24,WE,Retargeting | Site Visitors,5064,98,$46.59,0.019352
2022-10-25,WE,Retargeting | Site Visitors,5593,73,$69.58,0.013052
2022-10-26,WE,Retargeting | Site Visitors,4687,99,$60.20,0.021122
2022-10-27,WE,Retargeting | Site Visitors,5391,71,$57.45,0.01317
2022-10-28,WE,Retargeting | Site Visitors,5569,106,$65.83,0.019034
2022-10-29,WE,Retargeting | Site Visitors,5166,106,$60.56,0.020519
2022-10-30,WE,Retargeting | Site Visitors,5506,103,$65.00,0.018707
2022-10-31,NE,Prospecting | Trail,9187,102,112.03,0.011103
2022-11-01,NE,Prospecting | Trail,11548,131,91.09,0.011344
2022-11-02,NE,Prospecting | Trail,10337,124,112.94,0.011996
2022-11-03,NE,Prospecting | Trail,11930,113,97.93,0.009472
2022-11-04,NE,Prospecting | Trail,8386,104,97.25,0.012402
2022-11-05,NE,Prospecting | Trail,7897,120,78.21,0.015196
2022-11-06,NE,Prospecting | Trail,9737,127,86.94,0.013043
2022-10-31,NE,Retargeting | Site Visitors,5143,97,45.95,0.018861
2022-11-01,NE,Retargeting | Site Visitors,5190,121,52.79,0.023314
2022-11-02,NE,Retargeting | Site Visitors,3946,97,60.42,0.024582
2022-11-03,NE,Retargeting | Site Visitors,4641,91,51.0,0.019608
2022-11-04,NE,Retargeting | Site Visitors,4547,80,64.23,0.017594
2022-11-05,NE,Retargeting | Site Visitors,5257,87,49.6,0.016549
2022-11-06,NE,Retargeting | Site Visitors,4787,98,61.36,0.020472
2022-10-31,MA,Prospecting | Trail,9287,140,105.52,0.015075
2022-11-01,MA,Prospecting | Trail,9357,121,93.7,0.012931
2022-11-02,MA,Prospecting | Trail,13382,149,113.67,0.011134
2022-11-03,MA,Prospecting | Trail,11139,136,116.49,0.012209
2022-11-04,MA,Prospecting | Trail,10120,108,98.11,0.010672
2022-11-05,MA,Prospecting | Trail,11029,107,104.69,0.009702
2022-11-06,MA,Prospecting | Trail,13571,165,131.09,0.012158
2022-10-31,MA,Retargeting | Site Visitors,4269,77,53.92,0.018037
2022-11-01,MA,Retargeting | Site Visitors,4665,77,50.23,0.016506
2022-11-02,MA,Retargeting | Site Visitors,4496,80,44.35,0.017794
2022-11-03,MA,Retargeting | Site Visitors,3802,99,57.54,0.026039
2022-11-04,MA,Retargeting | Site Visitors,4359,75,49.2,0.017206
2022-11-05,MA,Retargeting | Site Visitors,5503,92,54.04,0.016718
2022-11-06,MA,Retargeting | Site Visitors,4804,82,57.54,0.017069
2022-10-31,SE,Prospecting | Trail,8718,103,71.95,0.011815
2022-11-01,SE,Prospecting | Trail,7795,78,97.69,0.010006
2022-11-02,SE,Prospecting | Trail,6368,105,80.5,0.016489
2022-11-03,SE,Prospecting | Trail,8190,103,76.08,0.012576
2022-11-04,SE,Prospecting | Trail,7147,70,65.76,0.009794
2022-11-05,SE,Prospecting | Trail,7544,88,67.98,0.011665
2022-11-06,SE,Prospecting | Trail,8838,76,75.12,0.008599
2022-10-31,SE,Retargeting | Site Visitors,3744,93,37.56,0.02484
2022-11-01,SE,Retargeting | Site Visitors,3718,75,36.94,0.020172
2022-11-02,SE,Retargeting | Site Visitors,4311,77,51.88,0.017861
2022-11-03,SE,Retargeting | Site Visitors,3688,67,53.21,0.018167
2022-11-04,SE,Retargeting | Site Visitors,4672,87,36.15,0.018622
2022-11-05,SE,Retargeting | Site Visitors,3908,62,52.31,0.015865
2022-11-06,SE,Retargeting | Site Visitors,3524,90,48.95,0.025539
2022-10-31,MW,Prospecting | Trail,11021,146,98.81,0.013247
2022-11-01,MW,Prospecting | Trail,9649,132,111.5,0.01368
2022-11-02,MW,Prospecting | Trail,9566,131,95.08,0.013694
2022-11-03,MW,Prospecting | Trail,10610,114,99.52,0.010745
2022-11-04,MW,Prospecting | Trail,10837,154,100.84,0.014211
2022-11-05,MW,Prospecting | Trail,10640,130,102.72,0.012218
2022-11-06,MW,Prospecting | Trail,10137,117,101.65,0.011542
2022-10-31,MW,Retargeting | Site Visitors,5082,102,58.74,0.020071
2022-11-01,MW,Retargeting | Site Visitors,5054,76,60.59,0.015038
2022-11-02,MW,Retargeting | Site Visitors,4881,93,48.59,0.019053
2022-11-03,MW,Retargeting | Site Visitors,3959,76,61.12,0.019197
2022-11-04,MW,Retargeting | Site Visitors,3808,101,59.92,0.026523
2022-11-05,MW,Retargeting | Site Visitors,5402,96,57.35,0.017771
2022-11-06,MW,Retargeting | Site Visitors,5485,97,40.91,0.017685
2022-10-31,MT,Prospecting | Trail,5074,86,52.09,0.016949
2022-11-01,MT,Prospecting | Trail,5517,67,49.61,0.012144
2022-11-02,MT,Prospecting | Trail,5287,74,74.51,0.013997
2022-11-03,MT,Prospecting | Trail,7576,63,65.54,0.008316
2022-11-04,MT,Prospecting | Trail,5857,56,48.35,0.009561
2022-11-05,MT,Prospecting | Trail,6217,66,67.78,0.010616
2022-11-06,MT,Prospecting | Trail,6096,70,50.04,0.011483
2022-10-31,MT,Retargeting | Site Visitors,3874,65,39.46,0.016779
2022-11-01,MT,Retargeting | Site Visitors,2718,60,38.08,0.022075
2022-11-02,MT,Retargeting | Site Visitors,3489,69,34.66,0.019776
2022-11-03,MT,Retargeting | Site Visitors,3884,49,47.62,0.012616
2022-11-04,MT,Retargeting | Site Visitors,4021,60,46.81,0.014922
2022-11-05,MT,Retargeting | Site Visitors,3931,71,33.96,0.018062
2022-11-06,MT,Retargeting | Site Visitors,3010,69,46.06,0.022924
2022-10-31,WE,Prospecting | Trail,13592,144,$105.77,0.010594
2022-11-01,WE,Prospecting | Trail,11997,163,$118.19,0.013587
2022-11-02,WE,Prospecting | Trail,13669,162,$141.49,0.011852
2022-11-03,WE,Prospecting | Trail,11930,118,$104.90,0.009891
2022-11-04,WE,Prospecting | Trail,12069,139,$96.33,0.011517
2022-11-05,WE,Prospecting | Trail,12518,136,$142.62,0.010864
2022-11-06,WE,Prospecting | Trail,9354,165,$124.96,0.01764
2022-10-31,WE,Retargeting | Site Visitors,5438,90,$65.85,0.01655
2022-11-01,WE,Retargeting | Site Visitors,4445,65,$47.11,0.014623
2022-11-02,WE,Retargeting | Site Visitors,5181,93,$55.14,0.01795
2022-11-03,WE,Retargeting | Site Visitors,4226,95,$43.83,0.02248
2022-11-04,WE,Retargeting | Site Visitors,4762,96,$45.40,0.02016
2022-11-05,WE,Retargeting | Site Visitors,4390,85,$53.29,0.019362
2022-11-06,WE,Retargeting | Site Visitors,3982,71,$62.24,0.01783
2022-11-07,NE,Prospecting | Trail,14783,169,121.29,0.011432
2022-11-08,NE,Prospecting | Trail,10328,125,110.87,0.012103
2022-11-09,NE,Prospecting | Trail,9637,111,117.88,0.011518
2022-11-10,NE,Prospecting | Trail,11377,139,107.19,0.012218
2022-11-11,NE,Prospecting | Trail,10866,129,124.22,0.011872
2022-11-12,NE,Prospecting | Trail,13989,164,135.25,0.011723
2022-11-13,NE,Prospecting | Trail,13741,138,113.56,0.010043
2022-11-07,NE,Retargeting | Site Visitors,4559,101,61.49,0.022154
2022-11-08,NE,Retargeting | Site Visitors,3914,87,56.83,0.022228
2022-11-09,NE,Retargeting | Site Visitors,5111,74,57.41,0.014479
2022-11-10,NE,Retargeting | Site Visitors,5293,97,58.69,0.018326
2022-11-11,NE,Retargeting | Site Visitors,4199,88,54.33,0.020957
2022-11-12,NE,Retargeting | Site Visitors,5372,70,42.05,0.013031
2022-11-13,NE,Retargeting | Site Visitors,4664,89,49.99,0.019082
2022-11-07,MA,Prospecting | Trail,7437,105,78.4,0.014119
2022-11-08,MA,Prospecting | Trail,7478,94,71.07,0.01257
2022-11-09,MA,Prospecting | Trail,10203,116,87.6,0.011369
2022-11-10,MA,Prospecting | Trail,9514,118,83.17,0.012403
2022-11-11,MA,Prospecting | Trail,9548,112,90.24,0.01173
2022-11-12,MA,Prospecting | Trail,6657,94,88.44,0.01412
2022-11-13,MA,Prospecting | Trail,9807,117,95.39,0.01193
2022-11-07,MA,Retargeting | Site Visitors,3672,71,49.97,0.019336
2022-11-08,MA,Retargeting | Site Visitors,5403,101,59.47,0.018693
2022-11-09,MA,Retargeting | Site Visitors,4799,90,44.69,0.018754
2022-11-10,MA,Retargeting | Site Visitors,4510,78,55.99,0.017295
2022-11-11,MA,Retargeting | Site Visitors,3694,95,53.41,0.025717
2022-11-12,MA,Retargeting | Site Visitors,5434,100,63.79,0.018403
2022-11-13,MA,Retargeting | Site Visitors,5062,100,47.29,0.019755
2022-11-07,SE,Prospecting | Trail,10326,119,93.25,0.011524
2022-11-08,SE,Prospecting | Trail,7746,109,93.24,0.014072
2022-11-09,SE,Prospecting | Trail,10329,94,77.22,0.009101
2022-11-10,SE,Prospecting | Trail,10288,98,91.51,0.009526
2022-11-11,SE,Prospecting | Trail,10484,111,104.62,0.010588
2022-11-12,SE,Prospecting | Trail,8779,115,96.24,0.013099
2022-11-13,SE,Prospecting | Trail,8620,118,96.3,0.013689
2022-11-07,SE,Retargeting | Site Visitors,3712,89,45.95,0.023976
2022-11-08,SE,Retargeting | Site Visitors,4947,86,42.37,0.017384
2022-11-09,SE,Retargeting | Site Visitors,3555,73,45.32,0.020534
2022-11-10,SE,Retargeting | Site Visitors,3706,98,46.61,0.026444
2022-11-11,SE,Retargeting | Site Visitors,3997,69,47.92,0.017263
2022-11-12,SE,Retargeting | Site Visitors,3940,68,46.41,0.017259
2022-11-13,SE,Retargeting | Site Visitors,4942,92,56.59,0.018616
2022-11-07,MW,Prospecting | Trail,11004,141,83.19,0.012814
2022-11-08,MW,Prospecting | Trail,9051,108,122.06,0.011932
2022-11-09,MW,Prospecting | Trail,9283,143,87.11,0.015405
2022-11-10,MW,Prospecting | Trail,11815,128,115.18,0.010834
2022-11-11,MW,Prospecting | Trail,8528,94,117.77,0.011023
2022-11-12,MW,Prospecting | Trail,9250,98,88.72,0.010595
2022-11-13,MW,Prospecting | Trail,12346,108,84.49,0.008748
2022-11-07,MW,Retargeting | Site Visitors,3881,85,48.93,0.021902
2022-11-08,MW,Retargeting | Site Visitors,4494,74,48.91,0.016466
2022-11-09,MW,Retargeting | Site Visitors,4200,64,37.19,0.015238
2022-11-10,MW,Retargeting | Site Visitors,3643,95,38.97,0.026077
2022-11-11,MW,Retargeting | Site Visitors,3296,68,46.08,0.020631
2022-11-12,MW,Retargeting | Site Visitors,4412,67,39.55,0.015186
2022-11-13,MW,Retargeting | Site Visitors,3036,73,50.43,0.024045
2022-11-07,MT,Prospecting | Trail,8268,91,81.72,0.011006
2022-11-08,MT,Prospecting | Trail,6767,98,70.88,0.014482
2022-11-09,MT,Prospecting | Trail,8612,101,67.16,0.011728
2022-11-10,MT,Prospecting | Trail,8196,90,69.97,0.010981
2022-11-11,MT,Prospecting | Trail,6921,72,65.21,0.010403
2022-11-12,MT,Prospecting | Trail,6523,87,84.87,0.013337
2022-11-13,MT,Prospecting | Trail,6571,93,68.4,0.014153
2022-11-07,MT,Retargeting | Site Visitors,2299,59,31.29,0.025663
2022-11-08,MT,Retargeting | Site Visitors,3272,74,31.46,0.022616
2022-11-09,MT,Retargeting | Site Visitors,3198,59,34.2,0.018449
2022-11-10,MT,Retargeting | Site Visitors,3296,55,42.52,0.016687
2022-11-11,MT,Retargeting | Site Visitors,3339,58,32.88,0.01737
2022-11-12,MT,Retargeting | Site Visitors,3196,58,32.76,0.018148
2022-11-13,MT,Retargeting | Site Visitors,3134,52,44.84,0.016592
2022-11-07,WE,Prospecting | Trail,10589,158,$125.49,0.014921
2022-11-08,WE,Prospecting | Trail,14228,125,$127.13,0.008785
2022-11-09,WE,Prospecting | Trail,11510,163,$124.51,0.014162
2022-11-10,WE,Prospecting | Trail,11200,152,$95.57,0.013571
2022-11-11,WE,Prospecting | Trail,9808,123,$115.02,0.012541
2022-11-12,WE,Prospecting | Trail,11750,173,$97.11,0.014723
2022-11-13,WE,Prospecting | Trail,13427,134,$123.80,0.00998
2022-11-07,WE,Retargeting | Site Visitors,5663,89,$46.26,0.015716
2022-11-08,WE,Retargeting | Site Visitors,5362,86,$64.86,0.016039
2022-11-09,WE,Retargeting | Site Visitors,3959,89,$67.45,0.02248
2022-11-10,WE,Retargeting | Site Visitors,5357,100,$58.95,0.018667
2022-11-11,WE,Retargeting | Site Visitors,5253,96,$46.39,0.018275
2022-11-12,WE,Retargeting | Site Visitors,4274,113,$55.15,0.026439
2022-11-13,WE,Retargeting | Site Visitors,3966,79,$50.06,0.019919
2022-11-14,NE,Prospecting | Trail,9307,93,93.66,0.009992
2022-11-15,NE,Prospecting | Trail,9745,119,85.31,0.012211
2022-11-16,NE,Prospecting | Trail,9966,115,97.94,0.011539
2022-11-17,NE,Prospecting | Trail,7353,81,81.64,0.011016
2022-11-18,NE,Prospecting | Trail,10250,91,110.68,0.008878
2022-11-19,NE,Prospecting | Trail,9278,121,99.87,0.013042
2022-11-20,NE,Prospecting | Trail,10537,121,81.96,0.011483
2022-11-14,NE,Retargeting | Site Visitors,4524,87,56.79,0.019231
2022-11-15,NE,Retargeting | Site Visitors,4285,91,61.9,0.021237
2022-11-16,NE,Retargeting | Site Visitors,4148,91,62.94,0.021938
2022-11-17,NE,Retargeting | Site Visitors,5615,94,54.47,0.016741
2022-11-18,NE,Retargeting | Site Visitors,4489,87,51.1,0.019381
2022-11-19,NE,Retargeting | Site Visitors,5800,125,66.57,0.021552
2022-11-20,NE,Retargeting | Site Visitors,6280,129,50.33,0.020541
2022-11-14,MA,Prospecting | Trail,11122,131,125.1,0.011778
2022-11-15,MA,Prospecting | Trail,12411,143,103.51,0.011522
2022-11-16,MA,Prospecting | Trail,8651,101,106.44,0.011675
2022-11-17,MA,Prospecting | Trail,12161,140,91.81,0.011512
2022-11-18,MA,Prospecting | Trail,9042,115,108.58,0.012718
2022-11-19,MA,Prospecting | Trail,10639,101,95.67,0.009493
2022-11-20,MA,Prospecting | Trail,10498,116,99.24,0.01105
2022-11-14,MA,Retargeting | Site Visitors,6249,112,71.92,0.017923
2022-11-15,MA,Retargeting | Site Visitors,5444,93,69.99,0.017083
2022-11-16,MA,Retargeting | Site Visitors,4882,135,65.02,0.027653
2022-11-17,MA,Retargeting | Site Visitors,6068,125,64.05,0.0206
2022-11-18,MA,Retargeting | Site Visitors,4925,103,51.78,0.020914
2022-11-19,MA,Retargeting | Site Visitors,4462,87,64.46,0.019498
2022-11-20,MA,Retargeting | Site Visitors,5660,109,46.24,0.019258
2022-11-14,SE,Prospecting | Trail,11465,118,95.54,0.010292
2022-11-15,SE,Prospecting | Trail,9609,124,99.03,0.012905
2022-11-16,SE,Prospecting | Trail,7691,101,80.69,0.013132
2022-11-17,SE,Prospecting | Trail,7435,127,82.33,0.017081
2022-11-18,SE,Prospecting | Trail,7905,119,91.11,0.015054
2022-11-19,SE,Prospecting | Trail,10252,97,82.42,0.009462
2022-11-20,SE,Prospecting | Trail,9877,130,98.38,0.013162
2022-11-14,SE,Retargeting | Site Visitors,3590,64,43.81,0.017827
2022-11-15,SE,Retargeting | Site Visitors,4719,67,42.36,0.014198
2022-11-16,SE,Retargeting | Site Visitors,3826,68,38.91,0.017773
2022-11-17,SE,Retargeting | Site Visitors,3237,80,43.45,0.024714
2022-11-18,SE,Retargeting | Site Visitors,4271,64,48.84,0.014985
2022-11-19,SE,Retargeting | Site Visitors,3250,78,41.7,0.024
2022-11-20,SE,Retargeting | Site Visitors,3274,71,41.88,0.021686
2022-11-14,MW,Prospecting | Trail,11364,153,112.14,0.013464
2022-11-15,MW,Prospecting | Trail,9444,143,84.34,0.015142
2022-11-16,MW,Prospecting | Trail,8748,136,90.84,0.015546
2022-11-17,MW,Prospecting | Trail,10261,118,85.02,0.0115
2022-11-18,MW,Prospecting | Trail,7957,102,112.17,0.012819
2022-11-19,MW,Prospecting | Trail,11500,109,113.94,0.009478
2022-11-20,MW,Prospecting | Trail,9411,108,74.69,0.011476
2022-11-14,MW,Retargeting | Site Visitors,4624,107,42.35,0.02314
2022-11-15,MW,Retargeting | Site Visitors,5280,91,45.87,0.017235
2022-11-16,MW,Retargeting | Site Visitors,3516,87,56.23,0.024744
2022-11-17,MW,Retargeting | Site Visitors,5326,69,54.47,0.012955
2022-11-18,MW,Retargeting | Site Visitors,4632,75,58.88,0.016192
2022-11-19,MW,Retargeting | Site Visitors,3795,69,48.88,0.018182
2022-11-20,MW,Retargeting | Site Visitors,4682,98,59.67,0.020931
2022-11-14,MT,Prospecting | Trail,6144,78,53.38,0.012695
2022-11-15,MT,Prospecting | Trail,6765,65,71.72,0.009608
2022-11-16,MT,Prospecting | Trail,6316,56,49.11,0.008866
2022-11-17,MT,Prospecting | Trail,5308,62,56.17,0.01168
2022-11-18,MT,Prospecting | Trail,6220,57,52.91,0.009164
2022-11-19,MT,Prospecting | Trail,4948,63,55.9,0.012732
2022-11-20,MT,Prospecting | Trail,4779,77,57.49,0.016112
2022-11-14,MT,Retargeting | Site Visitors,2146,43,35.66,0.020037
2022-11-15,MT,Retargeting | Site Visitors,2460,58,26.21,0.023577
2022-11-16,MT,Retargeting | Site Visitors,3044,66,29.24,0.021682
2022-11-17,MT,Retargeting | Site Visitors,2912,46,32.5,0.015797
2022-11-18,MT,Retargeting | Site Visitors,2699,55,33.18,0.020378
2022-11-19,MT,Retargeting | Site Visitors,3038,54,33.45,0.017775
2022-11-20,MT,Retargeting | Site Visitors,2988,51,31.55,0.017068
2022-11-14,WE,Prospecting | Trail,11263,116,$84.89,0.010299
2022-11-15,WE,Prospecting | Trail,10227,109,$95.41,0.010658
2022-11-16,WE,Prospecting | Trail,11136,90,$127.03,0.008082
2022-11-17,WE,Prospecting | Trail,11115,110,$93.71,0.009897
2022-11-18,WE,Prospecting | Trail,11906,131,$91.16,0.011003
2022-11-19,WE,Prospecting | Trail,8898,135,$101.25,0.015172
2022-11-20,WE,Prospecting | Trail,8954,130,$126.84,0.014519
2022-11-14,WE,Retargeting | Site Visitors,5336,101,$59.75,0.018928
2022-11-15,WE,Retargeting | Site Visitors,4822,106,$65.60,0.021983
2022-11-16,WE,Retargeting | Site Visitors,5867,98,$62.50,0.016704
2022-11-17,WE,Retargeting | Site Visitors,5663,79,$57.03,0.01395
2022-11-18,WE,Retargeting | Site Visitors,4241,76,$46.28,0.01792
2022-11-19,WE,Retargeting | Site Visitors,4068,102,$48.03,0.025074
2022-11-20,WE,Retargeting | Site Visitors,4883,107,$61.93,0.021913
2022-11-21,NE,Prospecting | Trail,11425,113,96.45,0.009891
2022-11-22,NE,Prospecting | Trail,11710,116,102.9,0.009906
2022-11-23,NE,Prospecting | Trail,9254,115,105.84,0.012427
2022-11-24,NE,Prospecting | Trail,7862,136,76.32,0.017298
2022-11-25,NE,Prospecting | Trail,9477,133,85.97,0.014034
2022-11-26,NE,Prospecting | Trail,10783,132,98.64,0.012241
2022-11-27,NE,Prospecting | Trail,8548,129,110.65,0.015091
2022-11-21,NE,Retargeting | Site Visitors,6628,127,55.67,0.019161
2022-11-22,NE,Retargeting | Site Visitors,5730,110,57.52,0.019197
2022-11-23,NE,Retargeting | Site Visitors,6049,88,55.99,0.014548
2022-11-24,NE,Retargeting | Site Visitors,4825,109,55.06,0.022591
2022-11-25,NE,Retargeting | Site Visitors,4783,114,63.48,0.023834
2022-11-26,NE,Retargeting | Site Visitors,6105,84,79.42,0.013759
2022-11-27,NE,Retargeting | Site Visitors,4714,105,79.45,0.022274
2022-11-21,MA,Prospecting | Trail,9723,87,112.74,0.008948
2022-11-22,MA,Prospecting | Trail,8467,98,85.51,0.011574
2022-11-23,MA,Prospecting | Trail,8548,130,88.22,0.015208
2022-11-24,MA,Prospecting | Trail,11743,104,73.68,0.008856
2022-11-25,MA,Prospecting | Trail,11046,127,108.22,0.011497
2022-11-26,MA,Prospecting | Trail,8257,96,87.48,0.011626
2022-11-27,MA,Prospecting | Trail,10104,120,109.46,0.011876
2022-11-21,MA,Retargeting | Site Visitors,5375,97,55.42,0.018047
2022-11-22,MA,Retargeting | Site Visitors,5380,133,68.59,0.024721
2022-11-23,MA,Retargeting | Site Visitors,6017,105,75.53,0.017451
2022-11-24,MA,Retargeting | Site Visitors,5180,109,65.94,0.021042
2022-11-25,MA,Retargeting | Site Visitors,6318,108,60.44,0.017094
2022-11-26,MA,Retargeting | Site Visitors,4679,90,51.55,0.019235
2022-11-27,MA,Retargeting | Site Visitors,4575,111,54.07,0.024262
2022-11-21,SE,Prospecting | Trail,8757,121,91.42,0.013818
2022-11-22,SE,Prospecting | Trail,9375,88,86.49,0.009387
2022-11-23,SE,Prospecting | Trail,10067,97,97.32,0.009635
2022-11-24,SE,Prospecting | Trail,8473,100,73.28,0.011802
2022-11-25,SE,Prospecting | Trail,8272,86,96.99,0.010397
2022-11-26,SE,Prospecting | Trail,9552,107,92.36,0.011202
2022-11-27,SE,Prospecting | Trail,7986,101,74.46,0.012647
2022-11-21,SE,Retargeting | Site Visitors,4750,110,54.6,0.023158
2022-11-22,SE,Retargeting | Site Visitors,4455,93,56.39,0.020875
2022-11-23,SE,Retargeting | Site Visitors,4762,94,45.29,0.01974
2022-11-24,SE,Retargeting | Site Visitors,4450,117,59.01,0.026292
2022-11-25,SE,Retargeting | Site Visitors,4346,105,61.01,0.02416
2022-11-26,SE,Retargeting | Site Visitors,5874,81,51.46,0.01379
2022-11-27,SE,Retargeting | Site Visitors,5568,89,65.6,0.015984
2022-11-21,MW,Prospecting | Trail,9410,90,80.32,0.009564
2022-11-22,MW,Prospecting | Trail,8741,113,72.2,0.012928
2022-11-23,MW,Prospecting | Trail,9058,82,89.55,0.009053
2022-11-24,MW,Prospecting | Trail,8413,94,68.39,0.011173
2022-11-25,MW,Prospecting | Trail,7029,114,90.11,0.016219
2022-11-26,MW,Prospecting | Trail,9594,103,91.15,0.010736
2022-11-27,MW,Prospecting | Trail,7549,77,94.25,0.0102
2022-11-21,MW,Retargeting | Site Visitors,3502,63,49.11,0.01799
2022-11-22,MW,Retargeting | Site Visitors,4347,68,52.95,0.015643
2022-11-23,MW,Retargeting | Site Visitors,3333,88,40.14,0.026403
2022-11-24,MW,Retargeting | Site Visitors,4653,69,46.03,0.014829
2022-11-25,MW,Retargeting | Site Visitors,3913,64,44.71,0.016356
