week_start,geo,promotional_event,offer_intensity,promotion_class
2023-06-26,MT,0,0.0,none
2023-06-26,WE,0,0.0,none
2023-07-03,NE,0,0.0,none
2023-07-03,MA,0,0.0,none
2023-07-03,SE,0,0.0,none
2023-07-03,MW,0,0.0,none
2023-07-03,MT,0,0.0,none
2023-07-03,WE,0,0.0,none
2023-07-10,NE,0,0.0,none
2023-07-10,MA,0,0.0,none
2023-07-10,SE,0,0.0,none
2023-07-10,MW,0,0.0,none
2023-07-10,MT,0,0.0,none
2023-07-10,WE,0,0.0,none
2023-07-17,NE,0,0.0,none
2023-07-17,MA,0,0.0,none
2023-07-17,SE,0,0.0,none
2023-07-17,MW,0,0.0,none
2023-07-17,MT,0,0.0,none
2023-07-17,WE,0,0.0,none
2023-07-24,NE,1,0.157,independent
2023-07-24,MA,1,0.166,independent
2023-07-24,SE,1,0.171,independent
2023-07-24,MW,1,0.181,independent
2023-07-24,MT,1,0.169,independent
2023-07-24,WE,1,0.149,independent
2023-07-31,NE,0,0.0,none
2023-07-31,MA,0,0.0,none
2023-07-31,SE,0,0.0,none
2023-07-31,MW,0,0.0,none
2023-07-31,MT,0,0.0,none
2023-07-31,WE,0,0.0,none
2023-08-07,NE,0,0.0,none
2023-08-07,MA,0,0.0,none
2023-08-07,SE,0,0.0,none
2023-08-07,MW,0,0.0,none
2023-08-07,MT,0,0.0,none
2023-08-07,WE,0,0.0,none
2023-08-14,NE,0,0.0,none
2023-08-14,MA,0,0.0,none
2023-08-14,SE,0,0.0,none
2023-08-14,MW,0,0.0,none
2023-08-14,MT,0,0.0,none
2023-08-14,WE,0,0.0,none
2023-08-21,NE,1,0.237,coordinated_with_media
2023-08-21,MA,1,0.241,coordinated_with_media
2023-08-21,SE,1,0.254,coordinated_with_media
2023-08-21,MW,1,0.227,coordinated_with_media
2023-08-21,MT,1,0.253,coordinated_with_media
2023-08-21,WE,1,0.239,coordinated_with_media
2023-08-28,NE,0,0.0,none
2023-08-28,MA,0,0.0,none
2023-08-28,SE,0,0.0,none
2023-08-28,MW,0,0.0,none
2023-08-28,MT,0,0.0,none
2023-08-28,WE,0,0.0,none
2023-09-04,NE,0,0.0,none
2023-09-04,MA,0,0.0,none
2023-09-04,SE,0,0.0,none
2023-09-04,MW,0,0.0,none
2023-09-04,MT,0,0.0,none
2023-09-04,WE,0,0.0,none
2023-09-11,NE,0,0.0,none
2023-09-11,MA,0,0.0,none
2023-09-11,SE,0,0.0,none
2023-09-11,MW,0,0.0,none
2023-09-11,MT,0,0.0,none
2023-09-11,WE,0,0.0,none
2023-09-18,NE,0,0.0,none
2023-09-18,MA,0,0.0,none
2023-09-18,SE,0,0.0,none
2023-09-18,MW,0,0.0,none
2023-09-18,MT,0,0.0,none
2023-09-18,WE,0,0.0,none
2023-09-25,NE,0,0.0,none
2023-09-25,MA,0,0.0,none
2023-09-25,SE,0,0.0,none
2023-09-25,MW,0,0.0,none
2023-09-25,MT,0,0.0,none
2023-09-25,WE,0,0.0,none
2023-10-02,NE,0,0.0,none
2023-10-02,MA,0,0.0,none
2023-10-02,SE,0,0.0,none
2023-10-02,MW,0,0.0,none
2023-10-02,MT,0,0.0,none
2023-10-02,WE,0,0.0,none
2023-10-09,NE,1,0.176,independent
2023-10-09,MA,1,0.184,independent
2023-10-09,SE,1,0.174,independent
2023-10-09,MW,1,0.174,independent
2023-10-09,MT,1,0.159,independent
2023-10-09,WE,1,0.159,independent
2023-10-16,NE,0,0.0,none
2023-10-16,MA,0,0.0,none
2023-10-16,SE,0,0.0,none
2023-10-16,MW,0,0.0,none
2023-10-16,MT,0,0.0,none
2023-10-16,WE,0,0.0,none
2023-10-23,NE,0,0.0,none
2023-10-23,MA,0,0.0,none
2023-10-23,SE,0,0.0,none
2023-10-23,MW,0,0.0,none
2023-10-23,MT,0,0.0,none
2023-10-23,WE,0,0.0,none
2023-10-30,NE,1,0.257,coordinated_with_media
2023-10-30,MA,1,0.236,coordinated_with_media
2023-10-30,SE,1,0.234,coordinated_with_media
2023-10-30,MW,1,0.284,coordinated_with_media
2023-10-30,MT,1,0.3,coordinated_with_media
2023-10-30,WE,1,0.253,coordinated_with_media
2023-11-06,NE,0,0.0,none
2023-11-06,MA,0,0.0,none
2023-11-06,SE,0,0.0,none
2023-11-06,MW,0,0.0,none
2023-11-06,MT,0,0.0,none
2023-11-06,WE,0,0.0,none
2023-11-13,NE,0,0.0,none
2023-11-13,MA,0,0.0,none
2023-11-13,SE,0,0.0,none
2023-11-13,MW,0,0.0,none
2023-11-13,MT,0,0.0,none
2023-11-13,WE,0,0.0,none
2023-11-20,NE,1,0.278,coordinated_with_media
2023-11-20,MA,1,0.237,coordinated_with_media
2023-11-20,SE,1,0.277,coordinated_with_media
2023-11-20,MW,1,0.282,coordinated_with_media
2023-11-20,MT,1,0.298,coordinated_with_media
2023-11-20,WE,1,0.254,coordinated_with_media
2023-11-27,NE,1,0.27,coordinated_with_media
2023-11-27,MA,1,0.261,coordinated_with_media
2023-11-27,SE,1,0.23,coordinated_with_media
2023-11-27,MW,1,0.228,coordinated_with_media
2023-11-27,MT,1,0.275,coordinated_with_media
2023-11-27,WE,1,0.232,coordinated_with_media
2023-12-04,NE,0,0.0,none
2023-12-04,MA,0,0.0,none
2023-12-04,SE,0,0.0,none
2023-12-04,MW,0,0.0,none
2023-12-04,MT,0,0.0,none
2023-12-04,WE,0,0.0,none
2023-12-11,NE,0,0.0,none
2023-12-11,MA,0,0.0,none
2023-12-11,SE,0,0.0,none
2023-12-11,MW,0,0.0,none
2023-12-11,MT,0,0.0,none
2023-12-11,WE,0,0.0,none
2023-12-18,NE,0,0.0,none
2023-12-18,MA,0,0.0,none
2023-12-18,SE,0,0.0,none
2023-12-18,MW,0,0.0,none
2023-12-18,MT,0,0.0,none
2023-12-18,WE,0,0.0,none
2023-12-25,NE,1,0.189,independent
2023-12-25,MA,1,0.182,independent
2023-12-25,SE,1,0.153,independent
2023-12-25,MW,1,0.167,independent
2023-12-25,MT,1,0.158,independent
2023-12-25,WE,1,0.151,independent
2024-01-01,NE,0,0.0,none
2024-01-01,MA,0,0.0,none
2024-01-01,SE,0,0.0,none
2024-01-01,MW,0,0.0,none
2024-01-01,MT,0,0.0,none
2024-01-01,WE,0,0.0,none
2024-01-08,NE,1,0.232,coordinated_with_media
2024-01-08,MA,1,0.282,coordinated_with_media
2024-01-08,SE,1,0.292,coordinated_with_media
2024-01-08,MW,1,0.238,coordinated_with_media
2024-01-08,MT,1,0.262,coordinated_with_media
2024-01-08,WE,1,0.232,coordinated_with_media
2024-01-15,NE,0,0.0,none
2024-01-15,MA,0,0.0,none
2024-01-15,SE,0,0.0,none
2024-01-15,MW,0,0.0,none
2024-01-15,MT,0,0.0,none
2024-01-15,WE,0,0.0,none
2024-01-22,NE,0,0.0,none
2024-01-22,MA,0,0.0,none
2024-01-22,SE,0,0.0,none
2024-01-22,MW,0,0.0,none
2024-01-22,MT,0,0.0,none
2024-01-22,WE,0,0.0,none
2024-01-29,NE,0,0.0,none
2024-01-29,MA,0,0.0,none
2024-01-29,SE,0,0.0,none
2024-01-29,MW,0,0.0,none
2024-01-29,MT,0,0.0,none
2024-01-29,WE,0,0.0,none
2024-02-05,NE,0,0.0,none
2024-02-05,MA,0,0.0,none
2024-02-05,SE,0,0.0,none
2024-02-05,MW,0,0.0,none
2024-02-05,MT,0,0.0,none
2024-02-05,WE,0,0.0,none
2024-02-12,NE,0,0.0,none
2024-02-12,MA,0,0.0,none
2024-02-12,SE,0,0.0,none
2024-02-12,MW,0,0.0,none
2024-02-12,MT,0,0.0,none
2024-02-12,WE,0,0.0,none
2024-02-19,NE,0,0.0,none
2024-02-19,MA,0,0.0,none
2024-02-19,SE,0,0.0,none
2024-02-19,MW,0,0.0,none
2024-02-19,MT,0,0.0,none
2024-02-19,WE,0,0.0,none
2024-02-26,NE,0,0.0,none
2024-02-26,MA,0,0.0,none
2024-02-26,SE,0,0.0,none
2024-02-26,MW,0,0.0,none
2024-02-26,MT,0,0.0,none
2024-02-26,WE,0,0.0,none
2024-03-04,NE,0,0.0,none
2024-03-04,MA,0,0.0,none
2024-03-04,SE,0,0.0,none
2024-03-04,MW,0,0.0,none
2024-03-04,MT,0,0.0,none
2024-03-04,WE,0,0.0,none
2024-03-11,NE,1,0.188,independent
2024-03-11,MA,1,0.164,independent
2024-03-11,SE,1,0.141,independent
2024-03-11,MW,1,0.181,independent
2024-03-11,MT,1,0.182,independent
2024-03-11,WE,1,0.153,independent
2024-03-18,NE,1,0.22,coordinated_with_media
2024-03-18,MA,1,0.233,coordinated_with_media
2024-03-18,SE,1,0.255,coordinated_with_media
2024-03-18,MW,1,0.294,coordinated_with_media
2024-03-18,MT,1,0.26,coordinated_with_media
2024-03-18,WE,1,0.295,coordinated_with_media
2024-03-25,NE,0,0.0,none
2024-03-25,MA,0,0.0,none
2024-03-25,SE,0,0.0,none
2024-03-25,MW,0,0.0,none
2024-03-25,MT,0,0.0,none
2024-03-25,WE,0,0.0,none
2024-04-01,NE,0,0.0,none
2024-04-01,MA,0,0.0,none
2024-04-01,SE,0,0.0,none
2024-04-01,MW,0,0.0,none
2024-04-01,MT,0,0.0,none
2024-04-01,WE,0,0.0,none
2024-04-08,NE,0,0.0,none
2024-04-08,MA,0,0.0,none
2024-04-08,SE,0,0.0,none
2024-04-08,MW,0,0.0,none
2024-04-08,MT,0,0.0,none
2024-04-08,WE,0,0.0,none
2024-04-15,NE,0,0.0,none
2024-04-15,MA,0,0.0,none
2024-04-15,SE,0,0.0,none
2024-04-15,MW,0,0.0,none
2024-04-15,MT,0,0.0,none
2024-04-15,WE,0,0.0,none
2024-04-22,NE,0,0.0,none
2024-04-22,MA,0,0.0,none
2024-04-22,SE,0,0.0,none
2024-04-22,MW,0,0.0,none
2024-04-22,MT,0,0.0,none
2024-04-22,WE,0,0.0,none
2024-04-29,NE,0,0.0,none
2024-04-29,MA,0,0.0,none
2024-04-29,SE,0,0.0,none
2024-04-29,MW,0,0.0,none
2024-04-29,MT,0,0.0,none
2024-04-29,WE,0,0.0,none
2024-05-06,NE,0,0.0,none
2024-05-06,MA,0,0.0,none
2024-05-06,SE,0,0.0,none
2024-05-06,MW,0,0.0,none
2024-05-06,MT,0,0.0,none
2024-05-06,WE,0,0.0,none
2024-05-13,NE,0,0.0,none
2024-05-13,MA,0,0.0,none
2024-05-13,SE,0,0.0,none
2024-05-13,MW,0,0.0,none
2024-05-13,MT,0,0.0,none
2024-05-13,WE,0,0.0,none
2024-05-20,NE,0,0.0,none
2024-05-20,MA,0,0.0,none
2024-05-20,SE,0,0.0,none
2024-05-20,MW,0,0.0,none
2024-05-20,MT,0,0.0,none
2024-05-20,WE,0,0.0,none
2024-05-27,NE,1,0.235,coordinated_with_media
2024-05-27,MA,1,0.221,coordinated_with_media
2024-05-27,SE,1,0.285,coordinated_with_media
2024-05-27,MW,1,0.278,coordinated_with_media
2024-05-27,MT,1,0.27,coordinated_with_media
2024-05-27,WE,1,0.236,coordinated_with_media
2024-06-03,NE,0,0.0,none
2024-06-03,MA,0,0.0,none
2024-06-03,SE,0,0.0,none
2024-06-03,MW,0,0.0,none
2024-06-03,MT,0,0.0,none
2024-06-03,WE,0,0.0,none
2024-06-10,NE,0,0.0,none
2024-06-10,MA,0,0.0,none
2024-06-10,SE,0,0.0,none
2024-06-10,MW,0,0.0,none
2024-06-10,MT,0,0.0,none
2024-06-10,WE,0,0.0,none
2024-06-17,NE,0,0.0,none
2024-06-17,MA,0,0.0,none
2024-06-17,SE,0,0.0,none
2024-06-17,MW,0,0.0,none
2024-06-17,MT,0,0.0,none
2024-06-17,WE,0,0.0,none
2024-06-24,NE,0,0.0,none
2024-06-24,MA,0,0.0,none
2024-06-24,SE,0,0.0,none
2024-06-24,MW,0,0.0,none
2024-06-24,MT,0,0.0,none
2024-06-24,WE,0,0.0,none
2024-07-01,NE,0,0.0,none
2024-07-01,MA,0,0.0,none
2024-07-01,SE,0,0.0,none
2024-07-01,MW,0,0.0,none
2024-07-01,MT,0,0.0,none
2024-07-01,WE,0,0.0,none
2024-07-08,NE,0,0.0,none
2024-07-08,MA,0,0.0,none
2024-07-08,SE,0,0.0,none
2024-07-08,MW,0,0.0,none
2024-07-08,MT,0,0.0,none
2024-07-08,WE,0,0.0,none
2024-07-15,NE,0,0.0,none
2024-07-15,MA,0,0.0,none
2024-07-15,SE,0,0.0,none
2024-07-15,MW,0,0.0,none
2024-07-15,MT,0,0.0,none
2024-07-15,WE,0,0.0,none
2024-07-22,NE,0,0.0,none
2024-07-22,MA,0,0.0,none
2024-07-22,SE,0,0.0,none
2024-07-22,MW,0,0.0,none
2024-07-22,MT,0,0.0,none
2024-07-22,WE,0,0.0,none
2024-07-29,NE,0,0.0,none
2024-07-29,MA,0,0.0,none
2024-07-29,SE,0,0.0,none
2024-07-29,MW,0,0.0,none
2024-07-29,MT,0,0.0,none
2024-07-29,WE,0,0.0,none
2024-08-05,NE,1,0.29,coordinated_with_media
2024-08-05,MA,1,0.24,coordinated_with_media
2024-08-05,SE,1,0.255,coordinated_with_media
2024-08-05,MW,1,0.253,coordinated_with_media
2024-08-05,MT,1,0.283,coordinated_with_media
2024-08-05,WE,1,0.286,coordinated_with_media
2024-08-12,NE,1,0.188,independent
2024-08-12,MA,1,0.144,independent
2024-08-12,SE,1,0.161,independent
2024-08-12,MW,1,0.142,independent
2024-08-12,MT,1,0.15,independent
2024-08-12,WE,1,0.164,independent
2024-08-19,NE,0,0.0,none
2024-08-19,MA,0,0.0,none
2024-08-19,SE,0,0.0,none
2024-08-19,MW,0,0.0,none
2024-08-19,MT,0,0.0,none
2024-08-19,WE,0,0.0,none
2024-08-26,NE,0,0.0,none
2024-08-26,MA,0,0.0,none
2024-08-26,SE,0,0.0,none
2024-08-26,MW,0,0.0,none
2024-08-26,MT,0,0.0,none
2024-08-26,WE,0,0.0,none
2024-09-02,NE,0,0.0,none
2024-09-02,MA,0,0.0,none
2024-09-02,SE,0,0.0,none
2024-09-02,MW,0,0.0,none
2024-09-02,MT,0,0.0,none
2024-09-02,WE,0,0.0,none
2024-09-09,NE,0,0.0,none
2024-09-09,MA,0,0.0,none
2024-09-09,SE,0,0.0,none
2024-09-09,MW,0,0.0,none
2024-09-09,MT,0,0.0,none
2024-09-09,WE,0,0.0,none
2024-09-16,NE,0,0.0,none
2024-09-16,MA,0,0.0,none
2024-09-16,SE,0,0.0,none
2024-09-16,MW,0,0.0,none
2024-09-16,MT,0,0.0,none
2024-09-16,WE,0,0.0,none
2024-09-23,NE,0,0.0,none
2024-09-23,MA,0,0.0,none
2024-09-23,SE,0,0.0,none
2024-09-23,MW,0,0.0,none
2024-09-23,MT,0,0.0,none
2024-09-23,WE,0,0.0,none
2024-09-30,NE,0,0.0,none
2024-09-30,MA,0,0.0,none
2024-09-30,SE,0,0.0,none
2024-09-30,MW,0,0.0,none
2024-09-30,MT,0,0.0,none
2024-09-30,WE,0,0.0,none
2024-10-07,NE,0,0.0,none
2024-10-07,MA,0,0.0,none
2024-10-07,SE,0,0.0,none
2024-10-07,MW,0,0.0,none
2024-10-07,MT,0,0.0,none
2024-10-07,WE,0,0.0,none
2024-10-14,NE,1,0.253,coordinated_with_media
2024-10-14,MA,1,0.251,coordinated_with_media
2024-10-14,SE,1,0.282,coordinated_with_media
2024-10-14,MW,1,0.297,coordinated_with_media
2024-10-14,MT,1,0.272,coordinated_with_media
2024-10-14,WE,1,0.23,coordinated_with_media
2024-10-21,NE,0,0.0,none
2024-10-21,MA,0,0.0,none
2024-10-21,SE,0,0.0,none
2024-10-21,MW,0,0.0,none
2024-10-21,MT,0,0.0,none
2024-10-21,WE,0,0.0,none
2024-10-28,NE,1,0.165,independent
2024-10-28,MA,1,0.16,independent
2024-10-28,SE,1,0.149,independent
2024-10-28,MW,1,0.164,independent
2024-10-28,MT,1,0.165,independent
2024-10-28,WE,1,0.186,independent
2024-11-04,NE,0,0.0,none
2024-11-04,MA,0,0.0,none
2024-11-04,SE,0,0.0,none
2024-11-04,MW,0,0.0,none
2024-11-04,MT,0,0.0,none
2024-11-04,WE,0,0.0,none
2024-11-11,NE,0,0.0,none
2024-11-11,MA,0,0.0,none
2024-11-11,SE,0,0.0,none
2024-11-11,MW,0,0.0,none
2024-11-11,MT,0,0.0,none
2024-11-11,WE,0,0.0,none
2024-11-18,NE,1,0.289,coordinated_with_media
2024-11-18,MA,1,0.247,coordinated_with_media
2024-11-18,SE,1,0.265,coordinated_with_media
2024-11-18,MW,1,0.225,coordinated_with_media
2024-11-18,MT,1,0.278,coordinated_with_media
2024-11-18,WE,1,0.263,coordinated_with_media
2024-11-25,NE,1,0.222,coordinated_with_media
2024-11-25,MA,1,0.246,coordinated_with_media
2024-11-25,SE,1,0.287,coordinated_with_media
2024-11-25,MW,1,0.277,coordinated_with_media
2024-11-25,MT,1,0.242,coordinated_with_media
2024-11-25,WE,1,0.287,coordinated_with_media
2024-12-02,NE,0,0.0,none
2024-12-02,MA,0,0.0,none
2024-12-02,SE,0,0.0,none
2024-12-02,MW,0,0.0,none
2024-12-02,MT,0,0.0,none
2024-12-02,WE,0,0.0,none
2024-12-09,NE,0,0.0,none
2024-12-09,MA,0,0.0,none
2024-12-09,SE,0,0.0,none
2024-12-09,MW,0,0.0,none
2024-12-09,MT,0,0.0,none
2024-12-09,WE,0,0.0,none
2024-12-16,NE,0,0.0,none
2024-12-16,MA,0,0.0,none
2024-12-16,SE,0,0.0,none
2024-12-16,MW,0,0.0,none
2024-12-16,MT,0,0.0,none
2024-12-16,WE,0,0.0,none
2024-12-23,NE,1,0.26,coordinated_with_media
2024-12-23,MA,1,0.248,coordinated_with_media
2024-12-23,SE,1,0.246,coordinated_with_media
2024-12-23,MW,1,0.296,coordinated_with_media
2024-12-23,MT,1,0.226,coordinated_with_media
2024-12-23,WE,1,0.273,coordinated_with_media
2024-12-30,NE,0,0.0,none
2024-12-30,MA,0,0.0,none
2024-12-30,SE,0,0.0,none
2024-12-30,MW,0,0.0,none
2024-12-30,MT,0,0.0,none
2024-12-30,WE,0,0.0,none
2025-01-06,NE,0,0.0,none
2025-01-06,MA,0,0.0,none
2025-01-06,SE,0,0.0,none
2025-01-06,MW,0,0.0,none
2025-01-06,MT,0,0.0,none
2025-01-06,WE,0,0.0,none
2025-01-13,NE,1,0.184,independent
2025-01-13,MA,1,0.186,independent
2025-01-13,SE,1,0.157,independent
2025-01-13,MW,1,0.185,independent
2025-01-13,MT,1,0.179,independent
2025-01-13,WE,1,0.175,independent
2025-01-20,NE,0,0.0,none
2025-01-20,MA,0,0.0,none
2025-01-20,SE,0,0.0,none
2025-01-20,MW,0,0.0,none
2025-01-20,MT,0,0.0,none
2025-01-20,WE,0,0.0,none
2025-01-27,NE,0,0.0,none
2025-01-27,MA,0,0.0,none
2025-01-27,SE,0,0.0,none
2025-01-27,MW,0,0.0,none
2025-01-27,MT,0,0.0,none
2025-01-27,WE,0,0.0,none
2025-02-03,NE,0,0.0,none
2025-02-03,MA,0,0.0,none
2025-02-03,SE,0,0.0,none
2025-02-03,MW,0,0.0,none
2025-02-03,MT,0,0.0,none
2025-02-03,WE,0,0.0,none
2025-02-10,NE,0,0.0,none
2025-02-10,MA,0,0.0,none
2025-02-10,SE,0,0.0,none
2025-02-10,MW,0,0.0,none
2025-02-10,MT,0,0.0,none
2025-02-10,WE,0,0.0,none
2025-02-17,NE,0,0.0,none
2025-02-17,MA,0,0.0,none
2025-02-17,SE,0,0.0,none
2025-02-17,MW,0,0.0,none
2025-02-17,MT,0,0.0,none
2025-02-17,WE,0,0.0,none
2025-02-24,NE,0,0.0,none
2025-02-24,MA,0,0.0,none
2025-02-24,SE,0,0.0,none
2025-02-24,MW,0,0.0,none
2025-02-24,MT,0,0.0,none
2025-02-24,WE,0,0.0,none
2025-03-03,NE,1,0.279,coordinated_with_media
2025-03-03,MA,1,0.279,coordinated_with_media
2025-03-03,SE,1,0.298,coordinated_with_media
2025-03-03,MW,1,0.284,coordinated_with_media
2025-03-03,MT,1,0.27,coordinated_with_media
2025-03-03,WE,1,0.284,coordinated_with_media
2025-03-10,NE,0,0.0,none
2025-03-10,MA,0,0.0,none
2025-03-10,SE,0,0.0,none
2025-03-10,MW,0,0.0,none
2025-03-10,MT,0,0.0,none
2025-03-10,WE,0,0.0,none
2025-03-17,NE,0,0.0,none
2025-03-17,MA,0,0.0,none
2025-03-17,SE,0,0.0,none
2025-03-17,MW,0,0.0,none
2025-03-17,MT,0,0.0,none
2025-03-17,WE,0,0.0,none
2025-03-24,NE,0,0.0,none
2025-03-24,MA,0,0.0,none
2025-03-24,SE,0,0.0,none
2025-03-24,MW,0,0.0,none
2025-03-24,MT,0,0.0,none
2025-03-24,WE,0,0.0,none
2025-03-31,NE,1,0.181,independent
2025-03-31,MA,1,0.168,independent
2025-03-31,SE,1,0.152,independent
2025-03-31,MW,1,0.18,independent
2025-03-31,MT,1,0.164,independent
2025-03-31,WE,1,0.189,independent
2025-04-07,NE,0,0.0,none
2025-04-07,MA,0,0.0,none
2025-04-07,SE,0,0.0,none
2025-04-07,MW,0,0.0,none
2025-04-07,MT,0,0.0,none
2025-04-07,WE,0,0.0,none
2025-04-14,NE,0,0.0,none
2025-04-14,MA,0,0.0,none
2025-04-14,SE,0,0.0,none
2025-04-14,MW,0,0.0,none
2025-04-14,MT,0,0.0,none
2025-04-14,WE,0,0.0,none
2025-04-21,NE,0,0.0,none
2025-04-21,MA,0,0.0,none
2025-04-21,SE,0,0.0,none
2025-04-21,MW,0,0.0,none
2025-04-21,MT,0,0.0,none
2025-04-21,WE,0,0.0,none
2025-04-28,NE,0,0.0,none
2025-04-28,MA,0,0.0,none
2025-04-28,SE,0,0.0,none
2025-04-28,MW,0,0.0,none
2025-04-28,MT,0,0.0,none
2025-04-28,WE,0,0.0,none
2025-05-05,NE,0,0.0,none
2025-05-05,MA,0,0.0,none
