timeperiod,geo,campaign,impressions,clicks,spend,ctr,cpc
10/28/2022,MA,Nonbrand | Outdoor Apparel,13839,417,84.41,0.030132,0.2024
10/29/2022,MA,Nonbrand | Outdoor Apparel,13246,551,100.52,0.041597,0.1824
10/30/2022,MA,Nonbrand | Outdoor Apparel,11178,419,118.56,0.037484,0.283
10/24/2022,SE,Search - Brand,8200,799,59.47,0.097439,0.0744
10/25/2022,SE,Search - Brand,9324,874,43.61,0.093737,0.0499
10/26/2022,SE,Search - Brand,9578,888,54.49,0.092712,0.0614
10/27/2022,SE,Search - Brand,7833,614,46.34,0.078386,0.0755
10/28/2022,SE,Search - Brand,6949,903,46.04,0.129947,0.051
10/29/2022,SE,Search - Brand,6480,649,53.67,0.100154,0.0827
10/30/2022,SE,Search - Brand,8246,613,58.67,0.074339,0.0957
10/24/2022,SE,Nonbrand | Trail Running,9120,443,86.43,0.048575,0.1951
10/25/2022,SE,Nonbrand | Trail Running,10486,323,113.68,0.030803,0.352
10/26/2022,SE,Nonbrand | Trail Running,12092,397,99.23,0.032832,0.2499
10/27/2022,SE,Nonbrand | Trail Running,10316,364,92.87,0.035285,0.2551
10/28/2022,SE,Nonbrand | Trail Running,11957,439,106.87,0.036715,0.2434
10/29/2022,SE,Nonbrand | Trail Running,12267,497,120.7,0.040515,0.2429
10/30/2022,SE,Nonbrand | Trail Running,11612,394,88.66,0.03393,0.225
10/24/2022,SE,Nonbrand | Outdoor Apparel,10007,352,90.59,0.035175,0.2574
10/25/2022,SE,Nonbrand | Outdoor Apparel,10090,345,89.89,0.034192,0.2605
10/26/2022,SE,Nonbrand | Outdoor Apparel,8539,362,78.16,0.042394,0.2159
10/27/2022,SE,Nonbrand | Outdoor Apparel,8652,427,80.98,0.049353,0.1897
10/28/2022,SE,Nonbrand | Outdoor Apparel,10280,448,70.51,0.04358,0.1574
10/29/2022,SE,Nonbrand | Outdoor Apparel,10015,423,76.14,0.042237,0.18
10/30/2022,SE,Nonbrand | Outdoor Apparel,10884,482,88.86,0.044285,0.1844
10/24/2022,MW,Brand Search,11298,870,60.21,0.077005,0.0692
10/25/2022,MW,Brand Search,8982,936,60.98,0.104208,0.0651
10/26/2022,MW,Brand Search,8557,972,52.6,0.113591,0.0541
10/27/2022,MW,Brand Search,8331,747,63.3,0.089665,0.0847
10/28/2022,MW,Brand Search,8712,820,63.9,0.094123,0.0779
10/29/2022,MW,Brand Search,8621,1036,57.65,0.120172,0.0556
10/30/2022,MW,Brand Search,11375,904,62.96,0.079473,0.0697
10/24/2022,MW,Nonbrand | Trail Running,13593,519,114.54,0.038181,0.2207
10/25/2022,MW,Nonbrand | Trail Running,11413,560,118.81,0.049067,0.2122
10/26/2022,MW,Nonbrand | Trail Running,10847,579,104.35,0.053379,0.1802
10/27/2022,MW,Nonbrand | Trail Running,13372,452,140.41,0.033802,0.3106
10/28/2022,MW,Nonbrand | Trail Running,11203,456,107.01,0.040703,0.2347
10/29/2022,MW,Nonbrand | Trail Running,15735,450,138.14,0.028599,0.307
10/30/2022,MW,Nonbrand | Trail Running,13760,531,95.03,0.03859,0.179
10/24/2022,MW,Nonbrand | Outdoor Apparel,11546,472,108.79,0.04088,0.2305
10/25/2022,MW,Nonbrand | Outdoor Apparel,12178,497,114.82,0.040811,0.231
10/26/2022,MW,Nonbrand | Outdoor Apparel,13193,383,76.37,0.029031,0.1994
10/27/2022,MW,Nonbrand | Outdoor Apparel,9500,526,104.44,0.055368,0.1986
10/28/2022,MW,Nonbrand | Outdoor Apparel,9801,514,78.17,0.052444,0.1521
10/29/2022,MW,Nonbrand | Outdoor Apparel,10098,411,93.36,0.040701,0.2271
10/30/2022,MW,Nonbrand | Outdoor Apparel,13060,481,90.8,0.03683,0.1888
10/24/2022,MT,Branded Search,7296,766,55.39,0.104989,0.0723
10/25/2022,MT,Branded Search,6540,741,45.12,0.113303,0.0609
10/26/2022,MT,Branded Search,7216,720,44.59,0.099778,0.0619
10/27/2022,MT,Branded Search,7570,663,36.88,0.087583,0.0556
10/28/2022,MT,Branded Search,6713,519,46.9,0.077313,0.0904
10/29/2022,MT,Branded Search,8650,636,50.71,0.073526,0.0797
10/30/2022,MT,Branded Search,6806,586,45.47,0.0861,0.0776
10/24/2022,MT,Nonbrand | Trail Running,7122,361,78.87,0.050688,0.2185
10/25/2022,MT,Nonbrand | Trail Running,10307,316,89.15,0.030659,0.2821
10/26/2022,MT,Nonbrand | Trail Running,10079,290,66.67,0.028773,0.2299
10/27/2022,MT,Nonbrand | Trail Running,10651,288,92.61,0.02704,0.3216
10/28/2022,MT,Nonbrand | Trail Running,9134,324,76.37,0.035472,0.2357
10/29/2022,MT,Nonbrand | Trail Running,7346,344,75.54,0.046828,0.2196
10/30/2022,MT,Nonbrand | Trail Running,8066,342,91.42,0.0424,0.2673
10/24/2022,MT,Nonbrand | Outdoor Apparel,6407,331,75.15,0.051662,0.227
10/25/2022,MT,Nonbrand | Outdoor Apparel,8152,278,63.6,0.034102,0.2288
10/26/2022,MT,Nonbrand | Outdoor Apparel,8690,319,73.08,0.036709,0.2291
10/27/2022,MT,Nonbrand | Outdoor Apparel,7688,373,58.64,0.048517,0.1572
10/28/2022,MT,Nonbrand | Outdoor Apparel,9304,281,65.65,0.030202,0.2336
10/29/2022,MT,Nonbrand | Outdoor Apparel,6933,363,60.24,0.052358,0.1659
10/30/2022,MT,Nonbrand | Outdoor Apparel,8440,323,70.8,0.03827,0.2192
10/24/2022,WE,Search - Brand,12844,806,78.53,0.062753,0.0974
10/25/2022,WE,Search - Brand,9148,1054,57.13,0.115216,0.0542
10/26/2022,WE,Search - Brand,11902,1150,58.34,0.096622,0.0507
10/27/2022,WE,Search - Brand,9771,944,61.86,0.096612,0.0655
10/28/2022,WE,Search - Brand,10083,991,64.88,0.098284,0.0655
10/29/2022,WE,Search - Brand,11326,848,79.89,0.074872,0.0942
10/30/2022,WE,Search - Brand,9053,915,73.79,0.101071,0.0806
10/24/2022,WE,Nonbrand | Trail Running,12873,481,105.8,0.037365,0.22
10/25/2022,WE,Nonbrand | Trail Running,11498,530,112.72,0.046095,0.2127
10/26/2022,WE,Nonbrand | Trail Running,11028,509,120.89,0.046155,0.2375
10/27/2022,WE,Nonbrand | Trail Running,14996,496,108.09,0.033075,0.2179
10/28/2022,WE,Nonbrand | Trail Running,11751,424,130.52,0.036082,0.3078
10/29/2022,WE,Nonbrand | Trail Running,15831,389,121.68,0.024572,0.3128
10/30/2022,WE,Nonbrand | Trail Running,12470,514,123.37,0.041219,0.24
10/24/2022,WE,Nonbrand | Outdoor Apparel,14070,544,99.54,0.038664,0.183
10/25/2022,WE,Nonbrand | Outdoor Apparel,13973,428,101.65,0.030631,0.2375
10/26/2022,WE,Nonbrand | Outdoor Apparel,16139,453,126.22,0.028069,0.2786
10/27/2022,WE,Nonbrand | Outdoor Apparel,13722,632,114.39,0.046057,0.181
10/28/2022,WE,Nonbrand | Outdoor Apparel,13858,656,94.74,0.047337,0.1444
10/29/2022,WE,Nonbrand | Outdoor Apparel,11226,551,130.91,0.049082,0.2376
10/30/2022,WE,Nonbrand | Outdoor Apparel,11892,610,129.55,0.051295,0.2124
10/31/2022,NE,Branded Search,8222,730,60.24,0.088786,0.0825
11/01/2022,NE,Branded Search,9806,941,63.4,0.095962,0.0674
11/02/2022,NE,Branded Search,9506,815,55.22,0.085735,0.0678
11/03/2022,NE,Branded Search,11553,711,66.18,0.061542,0.0931
11/04/2022,NE,Branded Search,11182,934,72.99,0.083527,0.0782
11/05/2022,NE,Branded Search,9826,715,65.93,0.072766,0.0922
11/06/2022,NE,Branded Search,9166,981,59.31,0.107026,0.0605
10/31/2022,NE,Nonbrand | Trail Running,11659,464,140.74,0.039798,0.3033
11/01/2022,NE,Nonbrand | Trail Running,12146,538,134.1,0.044294,0.2493
11/02/2022,NE,Nonbrand | Trail Running,15743,542,129.43,0.034428,0.2388
11/03/2022,NE,Nonbrand | Trail Running,13486,463,131.35,0.034332,0.2837
11/04/2022,NE,Nonbrand | Trail Running,12772,378,103.87,0.029596,0.2748
11/05/2022,NE,Nonbrand | Trail Running,14499,420,101.55,0.028968,0.2418
11/06/2022,NE,Nonbrand | Trail Running,12102,513,99.88,0.04239,0.1947
10/31/2022,NE,Nonbrand | Outdoor Apparel,11035,527,112.77,0.047757,0.214
11/01/2022,NE,Nonbrand | Outdoor Apparel,10132,462,99.85,0.045598,0.2161
11/02/2022,NE,Nonbrand | Outdoor Apparel,9856,532,86.28,0.053977,0.1622
11/03/2022,NE,Nonbrand | Outdoor Apparel,13491,578,108.27,0.042843,0.1873
11/04/2022,NE,Nonbrand | Outdoor Apparel,13437,603,113.16,0.044876,0.1877
11/05/2022,NE,Nonbrand | Outdoor Apparel,14491,573,106.0,0.039542,0.185
11/06/2022,NE,Nonbrand | Outdoor Apparel,11747,423,80.87,0.036009,0.1912
10/31/2022,MA,Search - Brand,9305,1032,75.57,0.110908,0.0732
11/01/2022,MA,Search - Brand,11554,1051,65.49,0.090964,0.0623
11/02/2022,MA,Search - Brand,9204,882,55.58,0.095828,0.063
11/03/2022,MA,Search - Brand,9889,1096,61.31,0.11083,0.0559
11/04/2022,MA,Search - Brand,11562,819,73.34,0.070835,0.0896
11/05/2022,MA,Search - Brand,9807,929,57.7,0.094728,0.0621
11/06/2022,MA,Search - Brand,10386,829,69.92,0.079819,0.0843
10/31/2022,MA,Nonbrand | Trail Running,12978,525,121.67,0.040453,0.2317
11/01/2022,MA,Nonbrand | Trail Running,14150,508,110.24,0.035901,0.217
11/02/2022,MA,Nonbrand | Trail Running,10977,461,102.58,0.041997,0.2225
11/03/2022,MA,Nonbrand | Trail Running,13186,524,114.89,0.039739,0.2193
11/04/2022,MA,Nonbrand | Trail Running,12740,554,100.28,0.043485,0.181
11/05/2022,MA,Nonbrand | Trail Running,12857,377,109.32,0.029323,0.29
11/06/2022,MA,Nonbrand | Trail Running,9964,418,131.37,0.041951,0.3143
10/31/2022,MA,Nonbrand | Outdoor Apparel,9283,455,99.58,0.049014,0.2189
11/01/2022,MA,Nonbrand | Outdoor Apparel,9644,393,77.59,0.040751,0.1974
11/02/2022,MA,Nonbrand | Outdoor Apparel,10975,372,76.02,0.033895,0.2044
11/03/2022,MA,Nonbrand | Outdoor Apparel,8551,386,65.34,0.045141,0.1693
11/04/2022,MA,Nonbrand | Outdoor Apparel,9708,413,97.2,0.042542,0.2354
11/05/2022,MA,Nonbrand | Outdoor Apparel,12774,468,72.81,0.036637,0.1556
11/06/2022,MA,Nonbrand | Outdoor Apparel,8629,526,95.79,0.060957,0.1821
10/31/2022,SE,Brand Search,8815,905,54.86,0.102666,0.0606
11/01/2022,SE,Brand Search,8033,724,53.74,0.090128,0.0742
11/02/2022,SE,Brand Search,7638,879,50.21,0.115082,0.0571
11/03/2022,SE,Brand Search,8332,883,49.53,0.105977,0.0561
11/04/2022,SE,Brand Search,9634,824,65.39,0.08553,0.0794
11/05/2022,SE,Brand Search,9813,745,43.63,0.07592,0.0586
11/06/2022,SE,Brand Search,7337,758,64.11,0.103312,0.0846
10/31/2022,SE,Nonbrand | Trail Running,8920,454,90.67,0.050897,0.1997
11/01/2022,SE,Nonbrand | Trail Running,10538,350,89.08,0.033213,0.2545
11/02/2022,SE,Nonbrand | Trail Running,9907,433,95.34,0.043706,0.2202
11/03/2022,SE,Nonbrand | Trail Running,10287,372,84.28,0.036162,0.2266
11/04/2022,SE,Nonbrand | Trail Running,8295,328,97.36,0.039542,0.2968
11/05/2022,SE,Nonbrand | Trail Running,9785,314,71.82,0.03209,0.2287
11/06/2022,SE,Nonbrand | Trail Running,10917,446,96.16,0.040854,0.2156
10/31/2022,SE,Nonbrand | Outdoor Apparel,11096,398,69.23,0.035869,0.174
11/01/2022,SE,Nonbrand | Outdoor Apparel,11291,450,93.38,0.039855,0.2075
11/02/2022,SE,Nonbrand | Outdoor Apparel,12217,299,96.11,0.024474,0.3214
11/03/2022,SE,Nonbrand | Outdoor Apparel,9933,427,89.43,0.042988,0.2094
11/04/2022,SE,Nonbrand | Outdoor Apparel,11727,326,75.68,0.027799,0.2322
11/05/2022,SE,Nonbrand | Outdoor Apparel,8416,414,97.35,0.049192,0.2351
11/06/2022,SE,Nonbrand | Outdoor Apparel,8117,448,90.32,0.055193,0.2016
10/31/2022,MW,Branded Search,11276,779,68.08,0.069085,0.0874
11/01/2022,MW,Branded Search,10775,692,57.78,0.064223,0.0835
11/02/2022,MW,Branded Search,7655,783,49.59,0.102286,0.0633
11/03/2022,MW,Branded Search,7359,867,61.06,0.117815,0.0704
11/04/2022,MW,Branded Search,8286,685,50.47,0.08267,0.0737
11/05/2022,MW,Branded Search,10886,792,50.3,0.072754,0.0635
11/06/2022,MW,Branded Search,7407,692,70.05,0.093425,0.1012
10/31/2022,MW,Nonbrand | Trail Running,13636,432,89.28,0.031681,0.2067
11/01/2022,MW,Nonbrand | Trail Running,12604,395,127.04,0.031339,0.3216
11/02/2022,MW,Nonbrand | Trail Running,13062,360,112.32,0.027561,0.312
11/03/2022,MW,Nonbrand | Trail Running,13947,519,90.85,0.037212,0.1751
11/04/2022,MW,Nonbrand | Trail Running,9790,418,128.87,0.042697,0.3083
11/05/2022,MW,Nonbrand | Trail Running,12289,472,113.2,0.038408,0.2398
11/06/2022,MW,Nonbrand | Trail Running,9621,472,111.47,0.049059,0.2362
10/31/2022,MW,Nonbrand | Outdoor Apparel,10098,483,98.35,0.047831,0.2036
11/01/2022,MW,Nonbrand | Outdoor Apparel,11821,336,87.6,0.028424,0.2607
11/02/2022,MW,Nonbrand | Outdoor Apparel,8203,346,79.49,0.04218,0.2297
11/03/2022,MW,Nonbrand | Outdoor Apparel,11492,472,94.17,0.041072,0.1995
11/04/2022,MW,Nonbrand | Outdoor Apparel,11071,466,79.07,0.042092,0.1697
11/05/2022,MW,Nonbrand | Outdoor Apparel,8808,424,73.26,0.048138,0.1728
11/06/2022,MW,Nonbrand | Outdoor Apparel,10034,417,88.88,0.041559,0.2131
10/31/2022,MT,Search - Brand,8708,702,36.66,0.080616,0.0522
11/01/2022,MT,Search - Brand,8569,718,37.58,0.08379,0.0523
11/02/2022,MT,Search - Brand,6769,625,51.67,0.092333,0.0827
11/03/2022,MT,Search - Brand,6457,695,48.27,0.107635,0.0695
11/04/2022,MT,Search - Brand,6577,612,46.18,0.093052,0.0755
11/05/2022,MT,Search - Brand,6187,593,48.14,0.095846,0.0812
11/06/2022,MT,Search - Brand,6709,692,51.35,0.103145,0.0742
10/31/2022,MT,Nonbrand | Trail Running,9003,353,70.5,0.039209,0.1997
11/01/2022,MT,Nonbrand | Trail Running,9417,307,88.85,0.032601,0.2894
11/02/2022,MT,Nonbrand | Trail Running,10017,370,74.41,0.036937,0.2011
11/03/2022,MT,Nonbrand | Trail Running,8265,350,95.3,0.042347,0.2723
11/04/2022,MT,Nonbrand | Trail Running,7999,336,70.61,0.042005,0.2101
11/05/2022,MT,Nonbrand | Trail Running,6986,308,67.11,0.044088,0.2179
11/06/2022,MT,Nonbrand | Trail Running,10382,401,98.06,0.038625,0.2445
10/31/2022,MT,Nonbrand | Outdoor Apparel,8029,279,67.05,0.034749,0.2403
11/01/2022,MT,Nonbrand | Outdoor Apparel,6694,327,70.38,0.04885,0.2152
11/02/2022,MT,Nonbrand | Outdoor Apparel,6370,305,61.96,0.047881,0.2031
11/03/2022,MT,Nonbrand | Outdoor Apparel,8882,298,71.67,0.033551,0.2405
11/04/2022,MT,Nonbrand | Outdoor Apparel,8589,297,52.25,0.034579,0.1759
11/05/2022,MT,Nonbrand | Outdoor Apparel,8699,278,73.53,0.031958,0.2645
11/06/2022,MT,Nonbrand | Outdoor Apparel,6952,401,58.55,0.057681,0.146
10/31/2022,WE,Brand Search,12663,854,66.32,0.067441,0.0777
11/01/2022,WE,Brand Search,10138,1023,72.83,0.100907,0.0712
11/02/2022,WE,Brand Search,11153,1041,83.28,0.093338,0.08
11/03/2022,WE,Brand Search,12899,1195,65.6,0.092643,0.0549
11/04/2022,WE,Brand Search,12228,834,72.4,0.068204,0.0868
11/05/2022,WE,Brand Search,9534,1155,85.11,0.121145,0.0737
11/06/2022,WE,Brand Search,11519,913,67.32,0.07926,0.0737
10/31/2022,WE,Nonbrand | Trail Running,16785,606,151.25,0.036104,0.2496
11/01/2022,WE,Nonbrand | Trail Running,12768,658,116.76,0.051535,0.1774
11/02/2022,WE,Nonbrand | Trail Running,13418,559,146.25,0.04166,0.2616
11/03/2022,WE,Nonbrand | Trail Running,12154,606,128.71,0.04986,0.2124
11/04/2022,WE,Nonbrand | Trail Running,17001,486,113.6,0.028587,0.2337
11/05/2022,WE,Nonbrand | Trail Running,13838,607,123.45,0.043865,0.2034
11/06/2022,WE,Nonbrand | Trail Running,14998,484,138.74,0.032271,0.2867
10/31/2022,WE,Nonbrand | Outdoor Apparel,9845,444,94.26,0.045099,0.2123
11/01/2022,WE,Nonbrand | Outdoor Apparel,12146,391,110.33,0.032192,0.2822
11/02/2022,WE,Nonbrand | Outdoor Apparel,14021,514,84.22,0.036659,0.1639
11/03/2022,WE,Nonbrand | Outdoor Apparel,11382,506,104.9,0.044456,0.2073
11/04/2022,WE,Nonbrand | Outdoor Apparel,13753,486,113.96,0.035338,0.2345
11/05/2022,WE,Nonbrand | Outdoor Apparel,9587,547,93.91,0.057056,0.1717
11/06/2022,WE,Nonbrand | Outdoor Apparel,11829,547,91.94,0.046242,0.1681
11/07/2022,NE,Search - Brand,8140,1115,56.03,0.136978,0.0502
11/08/2022,NE,Search - Brand,9783,956,70.23,0.097721,0.0735
11/09/2022,NE,Search - Brand,9172,974,69.21,0.106193,0.0711
11/10/2022,NE,Search - Brand,12630,1017,79.38,0.080523,0.0781
11/11/2022,NE,Search - Brand,9070,780,58.79,0.085998,0.0754
11/12/2022,NE,Search - Brand,11918,1014,64.12,0.085081,0.0632
11/13/2022,NE,Search - Brand,10709,1016,59.34,0.094873,0.0584
11/07/2022,NE,Nonbrand | Trail Running,14534,399,101.33,0.027453,0.254
11/08/2022,NE,Nonbrand | Trail Running,13721,563,128.85,0.041032,0.2289
11/09/2022,NE,Nonbrand | Trail Running,14453,405,135.83,0.028022,0.3354
11/10/2022,NE,Nonbrand | Trail Running,9888,469,111.7,0.047431,0.2382
11/11/2022,NE,Nonbrand | Trail Running,13885,512,136.2,0.036874,0.266
11/12/2022,NE,Nonbrand | Trail Running,14138,560,135.32,0.03961,0.2416
11/13/2022,NE,Nonbrand | Trail Running,14311,555,114.63,0.038781,0.2065
11/07/2022,NE,Nonbrand | Outdoor Apparel,9803,336,105.4,0.034275,0.3137
11/08/2022,NE,Nonbrand | Outdoor Apparel,11921,455,87.74,0.038168,0.1928
11/09/2022,NE,Nonbrand | Outdoor Apparel,11384,380,104.16,0.03338,0.2741
11/10/2022,NE,Nonbrand | Outdoor Apparel,9829,501,83.44,0.050972,0.1665
11/11/2022,NE,Nonbrand | Outdoor Apparel,12196,340,84.0,0.027878,0.247
11/12/2022,NE,Nonbrand | Outdoor Apparel,11316,487,97.64,0.043036,0.2005
11/13/2022,NE,Nonbrand | Outdoor Apparel,9432,372,75.01,0.03944,0.2016
11/07/2022,MA,Brand Search,9551,964,58.34,0.100932,0.0605
11/08/2022,MA,Brand Search,7543,840,48.05,0.111362,0.0572
11/09/2022,MA,Brand Search,9027,836,58.8,0.092611,0.0703
11/10/2022,MA,Brand Search,8683,749,49.01,0.086261,0.0654
11/11/2022,MA,Brand Search,9688,939,56.46,0.096924,0.0601
11/12/2022,MA,Brand Search,10152,798,67.3,0.078605,0.0843
11/13/2022,MA,Brand Search,8923,697,68.86,0.078113,0.0988
11/07/2022,MA,Nonbrand | Trail Running,14235,570,128.1,0.040042,0.2247
11/08/2022,MA,Nonbrand | Trail Running,11595,554,111.87,0.047779,0.2019
11/09/2022,MA,Nonbrand | Trail Running,13013,512,91.67,0.039345,0.179
11/10/2022,MA,Nonbrand | Trail Running,11239,434,115.27,0.038616,0.2656
11/11/2022,MA,Nonbrand | Trail Running,17091,588,129.56,0.034404,0.2203
11/12/2022,MA,Nonbrand | Trail Running,12581,496,129.52,0.039425,0.2611
11/13/2022,MA,Nonbrand | Trail Running,11213,507,121.79,0.045215,0.2402
11/07/2022,MA,Nonbrand | Outdoor Apparel,10087,485,82.42,0.048082,0.1699
11/08/2022,MA,Nonbrand | Outdoor Apparel,11320,500,113.36,0.04417,0.2267
11/09/2022,MA,Nonbrand | Outdoor Apparel,11886,402,102.13,0.033821,0.2541
11/10/2022,MA,Nonbrand | Outdoor Apparel,12621,411,78.12,0.032565,0.1901
11/11/2022,MA,Nonbrand | Outdoor Apparel,13267,530,103.54,0.039949,0.1954
11/12/2022,MA,Nonbrand | Outdoor Apparel,12045,437,109.98,0.036281,0.2517
11/13/2022,MA,Nonbrand | Outdoor Apparel,9000,506,84.35,0.056222,0.1667
11/07/2022,SE,Branded Search,7704,963,69.78,0.125,0.0725
11/08/2022,SE,Branded Search,9344,685,65.81,0.073309,0.0961
11/09/2022,SE,Branded Search,11039,688,61.38,0.062324,0.0892
11/10/2022,SE,Branded Search,7701,771,50.27,0.100117,0.0652
11/11/2022,SE,Branded Search,9709,687,57.53,0.070759,0.0837
11/12/2022,SE,Branded Search,11929,907,68.91,0.076033,0.076
11/13/2022,SE,Branded Search,9106,836,52.12,0.091808,0.0623
11/07/2022,SE,Nonbrand | Trail Running,13379,414,95.48,0.030944,0.2306
11/08/2022,SE,Nonbrand | Trail Running,10319,416,123.23,0.040314,0.2962
11/09/2022,SE,Nonbrand | Trail Running,13362,446,108.71,0.033378,0.2437
11/10/2022,SE,Nonbrand | Trail Running,10320,441,124.81,0.042733,0.283
11/11/2022,SE,Nonbrand | Trail Running,10195,444,97.85,0.043551,0.2204
11/12/2022,SE,Nonbrand | Trail Running,11688,520,87.84,0.04449,0.1689
11/13/2022,SE,Nonbrand | Trail Running,13509,353,115.32,0.026131,0.3267
11/07/2022,SE,Nonbrand | Outdoor Apparel,10015,476,87.67,0.047529,0.1842
11/08/2022,SE,Nonbrand | Outdoor Apparel,9734,464,92.66,0.047668,0.1997
11/09/2022,SE,Nonbrand | Outdoor Apparel,10389,411,103.03,0.039561,0.2507
11/10/2022,SE,Nonbrand | Outdoor Apparel,11121,445,98.07,0.040014,0.2204
11/11/2022,SE,Nonbrand | Outdoor Apparel,11058,415,72.88,0.037529,0.1756
11/12/2022,SE,Nonbrand | Outdoor Apparel,11384,472,88.48,0.041462,0.1875
11/13/2022,SE,Nonbrand | Outdoor Apparel,11245,374,86.77,0.033259,0.232
11/07/2022,MW,Search - Brand,7512,693,61.33,0.092252,0.0885
11/08/2022,MW,Search - Brand,7883,859,54.98,0.108969,0.064
11/09/2022,MW,Search - Brand,7349,853,43.9,0.11607,0.0515
11/10/2022,MW,Search - Brand,8198,705,43.49,0.085997,0.0617
11/11/2022,MW,Search - Brand,9664,844,44.34,0.087334,0.0525
11/12/2022,MW,Search - Brand,7273,765,63.72,0.105184,0.0833
11/13/2022,MW,Search - Brand,8082,696,46.4,0.086117,0.0667
11/07/2022,MW,Nonbrand | Trail Running,11818,308,123.71,0.026062,0.4017
11/08/2022,MW,Nonbrand | Trail Running,10065,465,90.36,0.0462,0.1943
11/09/2022,MW,Nonbrand | Trail Running,10123,467,97.51,0.046133,0.2088
11/10/2022,MW,Nonbrand | Trail Running,13178,452,119.28,0.0343,0.2639
11/11/2022,MW,Nonbrand | Trail Running,13871,350,107.49,0.025232,0.3071
11/12/2022,MW,Nonbrand | Trail Running,8934,459,92.4,0.051377,0.2013
11/13/2022,MW,Nonbrand | Trail Running,13751,389,113.06,0.028289,0.2906
11/07/2022,MW,Nonbrand | Outdoor Apparel,11718,395,118.8,0.033709,0.3008
11/08/2022,MW,Nonbrand | Outdoor Apparel,10429,534,105.0,0.051203,0.1966
11/09/2022,MW,Nonbrand | Outdoor Apparel,13954,393,85.54,0.028164,0.2177
11/10/2022,MW,Nonbrand | Outdoor Apparel,10171,464,90.27,0.04562,0.1945
11/11/2022,MW,Nonbrand | Outdoor Apparel,12078,502,95.47,0.041563,0.1902
11/12/2022,MW,Nonbrand | Outdoor Apparel,9705,402,82.57,0.041422,0.2054
11/13/2022,MW,Nonbrand | Outdoor Apparel,10364,549,81.06,0.052972,0.1476
11/07/2022,MT,Brand Search,6826,890,61.7,0.130384,0.0693
11/08/2022,MT,Brand Search,9184,884,43.41,0.096254,0.0491
11/09/2022,MT,Brand Search,9445,722,60.31,0.076443,0.0835
11/10/2022,MT,Brand Search,8093,767,58.83,0.094773,0.0767
