time,geo,kpi_orders,kpi_revenue,revenue_per_kpi,population,paid_search_impressions,paid_search_spend,paid_social_video_impressions,paid_social_video_spend,retail_media_impressions,retail_media_spend,organic_sessions,email_sends,weather_index,competitor_price_index,promotional_event,holiday_flag
2023-01-23,SE,495,60022.41,121.26,47400000,224595,1814.44,126040,1291.99,0.0,0.0,3935,11373,36.158,111.907,1,0
2023-01-23,MW,506,60506.46,119.58,40100000,222266,1810.03,127963,1317.22,0.0,0.0,4195,11380,33.687,111.574,1,0
2023-01-23,MT,441,53669.78,121.7,17600000,202751,1638.01,101561,1048.5,0.0,0.0,3789,9693,38.773,111.131,1,0
2023-01-23,WE,615,75170.03,122.23,51900000,247473,2004.23,166281,1710.78,0.0,0.0,5401,13231,34.355,110.337,1,0
2023-01-30,NE,470,57447.56,122.23,55200000,221699,1798.43,108550,1118.06,0.0,0.0,4579,10100,38.644,110.977,0,0
2023-01-30,MA,450,53815.65,119.59,31800000,216712,1749.1,92686,959.81,0.0,0.0,4115,9868,37.34,110.003,0,0
2023-01-30,SE,408,50865.43,124.67,47400000,214415,1742.29,82797,854.28,0.0,0.0,4053,8557,38.899,110.432,0,0
2023-01-30,MW,424,49998.08,117.92,40100000,214598,1730.52,88581,922.87,0.0,0.0,4104,9477,38.193,111.849,0,0
2023-01-30,MT,353,43787.23,124.04,17600000,166055,1354.98,71657,742.71,0.0,0.0,3312,7313,41.666,109.803,0,0
2023-01-30,WE,517,63676.33,123.17,51900000,251629,2034.31,121928,1257.61,0.0,0.0,4699,10395,39.2,111.902,0,0
2023-02-06,NE,500,62362.4,124.72,55200000,235637,1881.56,118283,1224.08,0.0,0.0,4351,10487,40.169,111.235,0,0
2023-02-06,MA,454,55740.83,122.78,31800000,225393,1816.98,105758,1085.52,0.0,0.0,4186,9449,37.359,111.699,0,0
2023-02-06,SE,403,49746.74,123.44,47400000,185014,1499.62,91804,955.56,0.0,0.0,4085,8777,40.355,110.215,0,0
2023-02-06,MW,451,54517.63,120.88,40100000,211955,1723.62,97614,1008.62,0.0,0.0,3947,8771,41.364,110.3,0,0
2023-02-06,MT,349,41470.2,118.83,17600000,171388,1393.85,70221,732.2,0.0,0.0,3502,7462,40.831,110.252,0,0
2023-02-06,WE,558,69647.81,124.82,51900000,240449,1931.24,106766,1113.7,0.0,0.0,5230,11622,39.103,109.718,0,0
2023-02-13,NE,506,61881.93,122.3,55200000,235756,1917.8,107814,1115.15,0.0,0.0,4622,10396,43.928,111.268,0,0
2023-02-13,MA,472,56525.64,119.76,31800000,220351,1769.92,100849,1038.91,0.0,0.0,4434,9797,42.231,110.18,0,0
2023-02-13,SE,429,52113.73,121.48,47400000,202066,1622.7,87390,910.78,0.0,0.0,3868,8347,44.105,110.283,0,0
2023-02-13,MW,445,54229.05,121.86,40100000,213552,1721.93,88611,925.5,0.0,0.0,3878,8740,40.421,111.542,0,0
2023-02-13,MT,361,44761.77,123.99,17600000,171245,1377.33,80147,831.27,0.0,0.0,3445,7455,44.004,110.0,0,0
2023-02-13,WE,499,59382.62,119.0,51900000,256908,2092.78,119329,1227.92,0.0,0.0,5224,10914,41.384,110.354,0,0
2023-02-20,NE,574,71007.07,123.71,55200000,259285,2111.39,118492,1225.37,0.0,0.0,4730,12010,46.241,112.056,1,0
2023-02-20,MA,536,67576.6,126.08,31800000,226882,1843.39,101948,1050.11,0.0,0.0,4679,11826,44.65,112.227,1,0
2023-02-20,SE,491,61823.26,125.91,47400000,203201,1643.38,98956,1017.67,0.0,0.0,4228,10533,44.689,110.732,1,0
2023-02-20,MW,520,64114.95,123.3,40100000,209042,1694.02,103991,1079.44,0.0,0.0,4255,11592,42.429,111.501,1,0
2023-02-20,MT,413,50101.32,121.31,17600000,174040,1418.58,72647,754.39,0.0,0.0,3529,8747,45.675,110.19,1,0
2023-02-20,WE,615,76093.41,123.73,51900000,243916,1962.67,121965,1260.46,0.0,0.0,4649,14035,42.087,111.092,1,0
2023-02-27,NE,514,64222.65,124.95,55200000,254883,2069.64,114549,1179.58,0.0,0.0,5013,11445,45.055,111.969,0,0
2023-02-27,MA,493,61664.42,125.08,31800000,241767,1968.18,117898,1219.89,0.0,0.0,4159,10682,46.719,112.601,0,0
2023-02-27,SE,447,53948.72,120.69,47400000,202257,1640.96,105510,1092.61,0.0,0.0,3817,9361,48.189,111.63,0,0
2023-02-27,MW,453,54389.37,120.06,40100000,205018,1661.42,103015,1061.07,0.0,0.0,4054,9887,47.234,111.966,0,0
2023-02-27,MT,369,44180.63,119.73,17600000,182309,1464.99,83083,854.2,0.0,0.0,3466,8077,51.454,111.143,0,0
2023-02-27,WE,541,65925.64,121.86,51900000,267467,2162.32,119179,1231.33,0.0,0.0,5346,11342,48.496,110.659,0,0
2023-03-06,NE,578,70898.57,122.66,55200000,262425,2129.04,129943,1343.08,65874.0,1135.66,5313,11834,48.82,111.592,0,0
2023-03-06,MA,585,70618.93,120.72,31800000,274250,2211.31,109616,1129.51,65699.0,1138.17,4868,11267,47.077,111.967,0,0
2023-03-06,SE,487,61233.72,125.74,47400000,223451,1804.91,102505,1057.06,55218.0,958.7,4314,9815,51.432,112.082,0,0
2023-03-06,MW,496,60281.75,121.54,40100000,238035,1926.6,116264,1196.57,58010.0,1007.91,4602,10671,50.404,112.471,0,0
2023-03-06,MT,450,53983.87,119.96,17600000,199096,1620.88,85999,888.04,52324.0,904.95,3967,8846,52.181,111.322,0,0
2023-03-06,WE,640,76836.19,120.06,51900000,284725,2304.02,128585,1339.71,76600.0,1326.31,5713,11877,50.742,112.982,0,0
2023-03-13,NE,592,69188.15,116.87,55200000,282829,2309.21,120933,1260.77,66991.0,1158.6,4983,11827,52.609,112.667,0,0
2023-03-13,MA,528,63966.38,121.15,31800000,246759,2005.68,118734,1226.43,62754.0,1085.99,5031,11410,50.272,111.81,0,0
2023-03-13,SE,500,59953.32,119.91,47400000,235417,1924.53,98432,1013.54,56567.0,978.48,4309,9720,52.297,111.205,0,0
2023-03-13,MW,513,61024.58,118.96,40100000,257118,2096.41,121287,1253.22,58300.0,1010.84,4272,10665,51.684,112.896,0,0
2023-03-13,MT,441,52201.19,118.37,17600000,203136,1643.75,96312,989.41,47021.0,815.77,4144,9028,58.123,110.961,0,0
2023-03-13,WE,639,76971.65,120.46,51900000,309919,2516.53,132543,1372.26,70507.0,1217.65,5599,13059,53.963,111.902,0,0
2023-03-20,NE,602,73172.62,121.55,55200000,262547,2131.95,137860,1429.82,64219.0,1112.89,5035,11314,56.114,112.326,0,0
2023-03-20,MA,549,65464.75,119.24,31800000,275172,2234.71,112778,1177.55,66780.0,1156.41,4768,11728,54.171,112.89,0,0
2023-03-20,SE,518,63966.91,123.49,47400000,241951,1960.24,98043,1023.06,61092.0,1057.2,4477,9720,56.487,111.63,0,0
2023-03-20,MW,556,67638.61,121.65,40100000,264625,2143.75,103270,1077.52,59904.0,1038.45,4473,10609,53.781,111.918,0,0
2023-03-20,MT,414,48894.82,118.1,17600000,189524,1531.01,101735,1054.43,50970.0,884.69,4188,8230,59.335,111.404,0,0
2023-03-20,WE,641,74720.88,116.57,51900000,292057,2372.66,136554,1408.56,79470.0,1375.73,5896,12775,56.732,111.769,0,0
2023-03-27,NE,612,73370.11,119.89,55200000,293114,2364.41,133303,1380.45,67596.0,1171.81,5423,12313,59.409,112.469,0,0
2023-03-27,MA,569,66467.1,116.81,31800000,283759,2304.62,113807,1188.06,65144.0,1130.79,4819,10951,57.043,111.66,0,0
2023-03-27,SE,501,59352.36,118.47,47400000,246886,1993.79,102697,1069.91,60599.0,1047.1,4314,9978,59.556,111.887,0,0
2023-03-27,MW,545,66787.07,122.55,40100000,229175,1858.14,105799,1096.7,61234.0,1057.98,4682,10048,59.272,111.563,0,0
2023-03-27,MT,473,56284.91,119.0,17600000,196078,1580.06,89163,924.45,48899.0,844.57,4239,8990,58.979,111.254,0,0
2023-03-27,WE,641,74895.02,116.84,51900000,288046,2313.69,120546,1248.02,75928.0,1311.57,5722,12233,59.108,112.217,0,0
2023-04-03,NE,749,86362.39,115.3,55200000,334493,2704.12,177809,1837.52,71253.0,1233.21,6357,15431,60.434,113.012,1,0
2023-04-03,MA,685,82212.28,120.02,31800000,283650,2292.56,176986,1819.78,71390.0,1231.67,5402,15235,59.988,112.263,1,0
2023-04-03,SE,617,72216.18,117.04,47400000,271061,2187.43,141737,1465.7,60565.0,1047.55,5318,13014,58.817,111.634,1,0
2023-04-03,MW,620,71489.17,115.31,40100000,276160,2234.75,158033,1626.21,65396.0,1132.84,5552,14179,59.542,112.517,1,0
2023-04-03,MT,560,64778.04,115.68,17600000,231744,1880.24,145852,1502.32,58102.0,1006.98,4293,11937,67.622,112.09,1,0
2023-04-03,WE,770,94216.54,122.36,51900000,335292,2698.44,175194,1809.97,81808.0,1411.04,6270,16094,58.931,111.788,1,0
2023-04-10,NE,637,73789.48,115.84,55200000,307861,2492.18,120234,1243.22,70155.0,1218.9,5768,12122,62.488,110.559,0,0
2023-04-10,MA,562,64438.54,114.66,31800000,265253,2130.37,117860,1214.3,64960.0,1125.96,5372,12007,59.951,110.849,0,0
2023-04-10,SE,524,60272.66,115.02,47400000,239106,1920.95,103579,1072.91,58893.0,1023.72,4453,10144,61.496,111.792,0,0
2023-04-10,MW,547,66244.51,121.11,40100000,240019,1939.71,119626,1241.45,60362.0,1042.5,4552,10141,64.281,110.994,0,0
2023-04-10,MT,447,54301.54,121.48,17600000,203387,1652.39,86413,891.45,52269.0,901.61,4163,8886,66.904,110.506,0,0
2023-04-10,WE,618,71215.82,115.24,51900000,296358,2399.26,127639,1321.98,72976.0,1265.62,6060,12871,63.928,111.23,0,0
2023-04-17,NE,610,73370.92,120.28,55200000,275415,2238.05,124489,1290.33,71749.0,1241.56,5584,12032,66.088,109.507,0,0
2023-04-17,MA,584,67299.22,115.24,31800000,265896,2168.23,130693,1348.58,70735.0,1224.78,5542,12254,63.3,109.835,0,0
2023-04-17,SE,530,60090.78,113.38,47400000,235171,1919.8,96040,996.45,58171.0,1006.5,4411,11058,62.202,110.963,0,0
2023-04-17,MW,500,59587.92,119.18,40100000,244340,1973.86,109838,1136.13,63182.0,1091.16,5084,11523,65.319,110.385,0,0
2023-04-17,MT,459,52889.3,115.23,17600000,216677,1748.83,93951,978.18,51702.0,891.05,4283,9412,69.802,111.74,0,0
2023-04-17,WE,676,77251.59,114.28,51900000,309540,2528.21,138366,1432.99,74721.0,1288.54,6206,12979,64.436,111.501,0,0
2023-04-24,NE,599,68682.75,114.66,55200000,300683,2454.8,128273,1338.63,70792.0,1221.16,5542,13155,65.048,109.996,0,0
2023-04-24,MA,559,66007.7,118.08,31800000,288357,2361.92,129174,1331.95,67429.0,1167.06,4964,11253,65.44,110.494,0,0
2023-04-24,SE,545,62913.68,115.44,47400000,256864,2100.24,107575,1111.67,59326.0,1022.44,4521,10205,65.096,111.907,0,0
2023-04-24,MW,546,64905.7,118.87,40100000,243422,1958.23,103200,1069.17,62350.0,1075.88,4917,10639,68.357,109.412,0,0
2023-04-24,MT,490,55781.18,113.84,17600000,212813,1704.61,92807,964.68,54732.0,947.74,4413,9033,68.848,110.612,0,0
2023-04-24,WE,666,78546.31,117.94,51900000,321476,2618.45,145471,1508.24,70431.0,1218.57,6028,13726,67.312,110.216,0,0
2023-05-01,NE,637,71350.26,112.01,55200000,296521,2376.79,130947,1349.86,72858.0,1265.18,6045,12195,69.127,110.951,0,0
2023-05-01,MA,613,71930.93,117.34,31800000,287908,2351.22,122273,1257.01,69844.0,1208.5,4941,12811,69.272,110.48,0,0
2023-05-01,SE,582,67083.73,115.26,47400000,264590,2131.1,110495,1139.12,56421.0,974.85,4561,11174,69.8,111.214,0,0
2023-05-01,MW,556,62720.03,112.81,40100000,262498,2114.95,123477,1279.56,63221.0,1098.16,5141,10408,70.674,109.024,0,0
2023-05-01,MT,473,55098.23,116.49,17600000,223391,1795.1,98388,1009.16,51983.0,901.6,4100,9735,73.989,109.582,0,0
2023-05-01,WE,711,82037.44,115.38,51900000,331781,2687.37,145158,1499.88,73327.0,1271.05,5592,12691,69.773,111.373,0,0
2023-05-08,NE,652,72861.54,111.75,55200000,280128,2280.29,127670,1332.41,73110.0,1269.28,6039,16102,71.696,109.568,1,0
2023-05-08,MA,659,76964.31,116.79,31800000,266320,2137.46,125302,1296.6,66557.0,1152.68,5468,15175,72.162,109.877,1,0
2023-05-08,SE,588,66410.84,112.94,47400000,235693,1909.37,117471,1210.41,63979.0,1109.1,5014,12722,71.368,108.674,1,0
2023-05-08,MW,607,70922.58,116.84,40100000,249141,2015.58,113757,1178.24,57897.0,1001.89,4979,12742,67.756,108.226,1,0
2023-05-08,MT,507,59875.64,118.1,17600000,206782,1662.0,109827,1135.88,56074.0,968.88,4308,11674,75.014,108.785,1,0
2023-05-08,WE,727,83579.35,114.96,51900000,308380,2514.3,128743,1338.5,74686.0,1290.64,5833,16725,68.662,108.319,1,0
2023-05-15,NE,588,69181.37,117.66,55200000,298836,2403.88,126709,1323.1,71244.0,1228.53,6076,13647,73.355,108.856,0,0
2023-05-15,MA,605,71424.14,118.06,31800000,282571,2309.0,128147,1316.73,65683.0,1136.23,5753,12553,72.739,108.935,0,0
2023-05-15,SE,566,64337.8,113.67,47400000,238375,1910.54,107799,1112.06,59031.0,1018.26,5103,10247,70.492,107.976,0,0
2023-05-15,MW,569,63302.77,111.25,40100000,263035,2148.66,116472,1203.6,60299.0,1044.98,4956,11328,72.842,108.487,0,0
2023-05-15,MT,494,54992.28,111.32,17600000,221239,1802.39,102729,1058.68,55383.0,957.74,4373,9321,75.716,109.549,0,0
2023-05-15,WE,671,79093.49,117.87,51900000,312286,2510.55,133003,1377.41,75587.0,1304.66,6150,14520,71.137,108.093,0,0
2023-05-22,NE,648,72160.71,111.36,55200000,298715,2391.46,135929,1403.6,72182.0,1248.72,6043,13200,70.244,107.64,0,0
2023-05-22,MA,601,67763.09,112.75,31800000,280811,2252.79,127774,1316.43,72180.0,1251.88,5789,11895,72.244,109.414,0,0
2023-05-22,SE,559,65744.13,117.61,47400000,259269,2096.82,121331,1249.58,64663.0,1121.07,4757,11265,74.694,109.251,0,0
2023-05-22,MW,542,64263.31,118.57,40100000,263530,2118.05,113914,1189.09,61728.0,1065.91,5010,11976,72.377,108.261,0,0
2023-05-22,MT,456,52883.96,115.97,17600000,231368,1865.69,99225,1019.07,53070.0,918.26,4296,9464,74.684,109.685,0,0
2023-05-22,WE,678,75699.3,111.65,51900000,337491,2759.08,140221,1461.17,78510.0,1358.14,6466,12904,72.657,109.496,0,0
2023-05-29,NE,636,75315.01,118.42,55200000,307411,2469.46,120249,1250.55,74880.0,1294.81,5857,13876,71.732,107.876,0,0
2023-05-29,MA,640,72845.7,113.82,31800000,280226,2281.53,128715,1324.08,65715.0,1137.15,5354,11379,71.528,107.289,0,0
2023-05-29,SE,531,59770.03,112.56,47400000,248894,2027.72,124084,1281.86,61204.0,1061.46,5166,10955,74.875,108.043,0,0
2023-05-29,MW,578,66876.47,115.7,40100000,270320,2189.21,123999,1288.37,58666.0,1015.87,4679,11991,74.531,107.781,0,0
2023-05-29,MT,468,53534.63,114.39,17600000,213213,1721.89,88461,912.79,57377.0,993.38,4390,10073,75.707,107.868,0,0
2023-05-29,WE,674,78885.97,117.04,51900000,310702,2531.32,157471,1630.0,78029.0,1353.06,6136,14210,73.351,106.715,0,0
2023-06-05,NE,625,73725.07,117.96,55200000,285713,2295.23,117414,1212.91,64634.0,1120.99,5488,12421,73.532,106.175,0,0
2023-06-05,MA,539,62402.94,115.78,31800000,247451,2001.64,124007,1275.63,63327.0,1100.12,4714,10836,76.139,105.417,0,0
2023-06-05,SE,521,58596.73,112.47,47400000,237553,1936.52,113073,1172.61,56494.0,980.19,4542,10726,72.562,106.165,0,0
2023-06-05,MW,550,64383.55,117.06,40100000,251899,2035.2,112155,1151.87,59634.0,1031.42,4951,10290,73.51,106.447,0,0
2023-06-05,MT,434,49489.4,114.03,17600000,207020,1655.88,97126,1006.21,47161.0,818.21,3772,8613,78.857,105.801,0,0
2023-06-05,WE,674,75835.97,112.52,51900000,300222,2427.91,117221,1213.99,74897.0,1298.54,5423,13049,75.549,106.71,0,0
2023-06-12,NE,762,86991.38,114.16,55200000,294773,2376.29,167363,1725.64,79386.0,1374.56,5982,14952,74.106,107.178,1,0
2023-06-12,MA,669,77758.69,116.23,31800000,300715,2431.86,171033,1755.35,67079.0,1161.75,5781,14527,73.233,107.333,1,0
2023-06-12,SE,600,72068.97,120.11,47400000,228277,1848.23,143855,1487.21,61879.0,1073.33,4492,12817,72.686,105.806,1,0
2023-06-12,MW,624,73994.8,118.58,40100000,275826,2230.67,164612,1692.12,62558.0,1083.37,5054,12628,72.285,106.81,1,0
2023-06-12,MT,536,61417.29,114.58,17600000,211692,1706.31,137465,1416.18,54014.0,935.85,3949,11027,78.652,106.862,1,0
2023-06-12,WE,727,83306.23,114.59,51900000,311200,2525.5,190914,1962.63,78074.0,1356.48,5932,16259,73.174,106.92,1,0
2023-06-19,NE,598,68091.86,113.87,55200000,290939,2346.12,118684,1241.29,66182.0,1149.24,4932,11859,75.155,105.226,0,0
2023-06-19,MA,597,70069.14,117.37,31800000,269519,2186.3,127100,1311.79,64459.0,1115.34,4944,11167,74.207,107.067,0,0
2023-06-19,SE,494,58242.23,117.9,47400000,234880,1911.88,109123,1118.37,56877.0,988.9,4172,9826,74.887,105.72,0,0
2023-06-19,MW,474,56418.22,119.03,40100000,234848,1886.53,117972,1217.88,59889.0,1035.0,4633,9924,74.628,104.719,0,0
2023-06-19,MT,433,52324.61,120.84,17600000,194208,1575.6,86247,895.83,50210.0,872.35,3650,9276,76.934,105.166,0,0
2023-06-19,WE,619,74195.74,119.86,51900000,296202,2402.2,145874,1511.77,73662.0,1274.59,5264,12764,75.03,106.161,0,0
2023-06-26,NE,539,63564.61,117.93,55200000,276444,2215.04,119013,1236.19,63030.0,1089.18,5152,11894,74.261,104.122,0,0
2023-06-26,MA,567,65125.27,114.86,31800000,259618,2082.22,117083,1218.67,63942.0,1111.0,5242,11281,71.489,104.356,0,0
2023-06-26,SE,514,60520.44,117.74,47400000,245868,1994.69,96471,1000.62,52906.0,916.42,4454,10445,75.422,106.696,0,0
2023-06-26,MW,501,60662.13,121.08,40100000,247887,1989.66,110818,1146.78,55729.0,966.35,4707,11054,73.702,104.575,0,0
2023-06-26,MT,444,53108.77,119.61,17600000,210407,1702.42,76825,795.07,46405.0,804.54,3861,8669,78.329,105.548,0,0
2023-06-26,WE,598,72554.75,121.33,51900000,274390,2221.39,134657,1387.61,72887.0,1263.87,5468,12546,71.858,104.945,0,0
2023-07-03,NE,585,68098.61,116.41,55200000,268959,2165.27,111444,1158.65,73219.0,1267.63,5067,11956,74.708,104.812,0,0
2023-07-03,MA,523,61780.9,118.13,31800000,262241,2140.27,117616,1216.17,62667.0,1082.99,4740,11137,72.883,105.592,0,0
2023-07-03,SE,455,52256.79,114.85,47400000,212078,1707.03,106719,1104.35,55610.0,958.21,4167,9557,73.497,103.192,0,0
2023-07-03,MW,488,57217.84,117.25,40100000,227425,1834.61,96635,1005.81,55250.0,955.98,4262,9998,73.421,103.67,0,0
2023-07-03,MT,462,55180.74,119.44,17600000,187794,1506.66,87488,906.12,45865.0,795.45,3759,8517,78.14,104.54,0,0
2023-07-03,WE,680,80004.67,117.65,51900000,296880,2392.63,120717,1252.13,65133.0,1128.51,5626,12533,73.155,105.079,0,0
2023-07-10,NE,581,69113.83,118.96,55200000,269404,2183.42,116336,1213.36,69966.0,1211.03,5091,11727,70.228,104.551,0,0
2023-07-10,MA,585,68998.79,117.95,31800000,273652,2216.16,111738,1162.45,59776.0,1037.19,4571,11786,71.406,104.993,0,0
2023-07-10,SE,540,63379.78,117.37,47400000,231704,1861.21,107055,1100.72,53745.0,932.45,4654,9557,71.295,104.369,0,0
2023-07-10,MW,509,59221.95,116.35,40100000,244431,1979.21,98767,1018.65,54881.0,948.15,4893,9866,72.169,104.669,0,0
2023-07-10,MT,433,51032.1,117.86,17600000,185985,1503.21,85076,881.8,49388.0,853.03,3979,8654,76.299,103.333,0,0
2023-07-10,WE,635,76389.58,120.3,51900000,292875,2361.14,138680,1424.17,70572.0,1217.87,5977,13025,71.718,104.127,0,0
2023-07-17,NE,551,68059.21,123.52,55200000,280450,2258.61,118830,1240.11,61303.0,1060.44,5255,11681,70.47,103.629,0,0
2023-07-17,MA,580,70469.99,121.5,31800000,244181,1993.43,119126,1238.93,60963.0,1054.69,4905,10992,70.792,103.938,0,0
2023-07-17,SE,479,57337.96,119.7,47400000,222342,1795.22,92101,951.01,55920.0,966.0,4096,9490,70.098,103.079,0,0
2023-07-17,MW,500,61023.85,122.05,40100000,241907,1976.49,107850,1122.3,55608.0,961.38,4855,10727,68.403,104.243,0,0
2023-07-17,MT,425,52453.24,123.42,17600000,192363,1550.25,71523,741.95,52292.0,905.3,3911,8966,74.968,104.13,0,0
2023-07-17,WE,642,76999.25,119.94,51900000,296782,2388.94,128088,1328.07,70894.0,1228.58,5602,13110,70.387,104.411,0,0
2023-07-24,NE,606,71010.0,117.18,55200000,269261,2178.72,127203,1322.12,64831.0,1122.42,4802,14542,66.189,104.278,1,0
2023-07-24,MA,562,69648.49,123.93,31800000,232706,1872.52,126380,1305.04,62084.0,1071.86,5138,13709,68.117,101.954,1,0
2023-07-24,SE,528,64673.16,122.49,47400000,218639,1774.4,93569,972.76,53332.0,923.76,4079,11758,67.762,102.746,1,0
2023-07-24,MW,541,66640.87,123.18,40100000,230231,1858.99,111422,1156.96,56519.0,975.72,4778,12362,70.667,104.354,1,0
2023-07-24,MT,493,57960.2,117.57,17600000,208286,1678.7,79515,818.31,44218.0,766.09,3550,9494,73.61,105.023,1,0
2023-07-24,WE,674,83689.79,124.17,51900000,294738,2371.05,136123,1412.15,65531.0,1135.82,5743,13838,68.694,103.272,1,0
2023-07-31,NE,562,67833.03,120.7,55200000,254721,2032.84,113832,1179.99,65673.0,1139.16,5315,11521,68.302,101.864,0,0
2023-07-31,MA,544,65612.23,120.61,31800000,242223,1939.76,104886,1087.12,62963.0,1093.1,5164,10849,67.93,102.23,0,0
2023-07-31,SE,492,58127.47,118.15,47400000,221518,1781.6,91399,948.96,53540.0,929.79,4290,8977,68.263,102.179,0,0
2023-07-31,MW,499,59286.57,118.81,40100000,228915,1851.83,117352,1211.82,57546.0,995.85,4719,10400,66.149,103.197,0,0
2023-07-31,MT,444,52996.42,119.36,17600000,176115,1425.46,70365,729.84,48151.0,833.93,3709,8930,68.061,102.41,0,0
2023-07-31,WE,604,72617.86,120.23,51900000,293552,2371.74,124415,1292.78,68854.0,1190.46,5495,13067,67.643,104.425,0,0
2023-08-07,NE,566,69506.18,122.8,55200000,264506,2146.31,126845,1307.95,64388.0,1114.99,5365,10769,62.434,102.938,0,0
2023-08-07,MA,556,69784.37,125.51,31800000,256603,2067.42,105555,1096.46,57474.0,993.49,4739,10566,66.845,103.532,0,0
2023-08-07,SE,488,58070.25,119.0,47400000,222664,1808.22,97149,1008.22,51278.0,888.77,4014,10125,62.392,103.943,0,0
2023-08-07,MW,467,56496.31,120.98,40100000,236080,1923.31,90749,938.4,58924.0,1022.1,4303,9738,62.703,104.093,0,0
2023-08-07,MT,406,51100.51,125.86,17600000,198887,1600.15,77566,798.19,47508.0,825.51,3577,8916,67.853,103.658,0,0
2023-08-07,WE,596,74400.2,124.83,51900000,279090,2238.34,110692,1147.78,71053.0,1228.3,5300,11498,66.663,102.336,0,0
2023-08-14,NE,573,70785.56,123.54,55200000,251855,2042.33,108691,1127.31,59185.0,1022.95,5384,11246,63.128,102.15,0,0
2023-08-14,MA,496,59721.13,120.41,31800000,252979,2062.11,117684,1218.07,60772.0,1055.36,4500,10417,62.2,102.409,0,0
2023-08-14,SE,466,58614.56,125.78,47400000,208488,1690.37,99570,1025.03,54161.0,935.45,4117,9829,63.209,103.589,0,0
2023-08-14,MW,506,62693.91,123.9,40100000,217262,1742.49,100684,1039.03,56194.0,974.14,4484,10366,61.472,102.624,0,0
2023-08-14,MT,420,50455.02,120.13,17600000,182649,1482.75,67492,702.22,44477.0,771.76,3466,8185,66.429,102.935,0,0
2023-08-14,WE,595,74446.37,125.12,51900000,261809,2104.54,129460,1335.6,69783.0,1207.3,5349,12707,61.621,103.268,0,0
2023-08-21,NE,667,78999.13,118.44,55200000,302389,2445.77,177968,1829.11,70808.0,1229.82,5053,14323,60.598,103.442,1,0
2023-08-21,MA,601,73405.69,122.14,31800000,248592,2013.58,145704,1508.32,63688.0,1102.18,4890,13563,58.255,103.24,1,0
2023-08-21,SE,547,65687.76,120.09,47400000,227039,1842.89,146814,1505.37,51737.0,895.69,4850,11519,57.64,103.613,1,0
2023-08-21,MW,574,69384.34,120.88,40100000,245930,1983.19,147340,1510.31,56029.0,970.71,4867,11785,59.684,103.86,1,0
